line_no,en,vi,tr,es
1252,And now I was mad.,Giờ thì tôi cáu điên lên thật.,İşte bunun üstüne kızdım.,Entonces me volví loco.
1253,I ducked underneath my shoulder belt so I could lean across the console toward her.,Tôi chui đầu qua đai an toàn đeo chéo vai để có thể nghiêng người qua bộ phận điều khiển mà nhìn cô ấy.,"Konsolun öbür tarafına, Margo’ya doğru eğilebileyim diye başımı emniyet kemerinin altından geçirdim.",Pasé por debajo del cinturón de seguridad para poder acercarme a ella.
1254,“After everything YOU did for ME?” I almost shouted.,“Sau tất cả những gì CẬU đã làm cho TỚ sao?” tôi gần như gào lên.,"“SENİN, BENİM için yaptığın bunca şeyden sonra öyle mi?’ dedim neredeyse bağırarak.",—¿Después de todo lo que has hecho por mí? —casi grité.
1255,She wanted confident?,Cô ấy muốn tự tin ư? Tôi đang tự tin lên đây.,Kendine güven mi istiyordu?,¿No quería que confiara en mí mismo?
1256,I was getting confident.,Cô ấy muốn tự tin ư? Tôi đang tự tin lên đây.,İşte kendime güveniyordum.,Pues ahí lo tenía—.
1257,“Did you call MY friend’s father who was screwing MY boyfriend so no one would know that I was calling?,"“Cậu có gọi điện cho bố của bạn TỚ, đứa bạn đang quặp lấy bạn trai CỦA TỚ để không ai phát hiện ra là tớ đã gọi điện không?","“Kimse benim aradığımı anlamasın diye, BENİM sevgilimi beceren BENİM arkadaşımın babasım sen mi aradın?","¿Llamaste tú al padre de mi amiga, que estaba follándose a mi novio, para que nadie se enterara de que quién llamaba era yo?"
1258,Did you chauffeur MY ass all around the world not because you are oh-so-important to me but because I needed a ride and you were close by?,"Cậu có lái xe chở cái bàn tọa CỦA TỚ đi loạn lên khắp nơi, không phải vì cậu ôi-quá-quan-trọng với tớ, mà vì tớ cần đi nhờ và cậu ở ngay cạnh không?","‘Ah benim için çok değerli’ olduğun için değil de, arabaya ihtiyacım vardı ve sen de yakındaydın diye dünyanın çevresinde BENİM kıçıma şoförlüğü sen mi yaptın?","¿Me has hecho de chófer no porque seas importante para mí, sino porque necesitaba un coche y te tenía a mano?"
1259,Is that the kind of shit you’ve done for me tonight?”,Đó có phải là những thứ thổ tả cậu đã làm cho tớ trong đêm nay không?”,Bu gece benim için yediğin haltlar bu tür şeyler mi?,¿Es esa la mierda que has hecho por mí esta noche?
1260,She wouldn’t look at me.,Margo không nhìn tôi.,Bana bakmıyordu.,No me miraba.
1261,She just stared straight ahead at the vinyl siding of the furniture store.,"Cô ấy chỉ nhìn thẳng trước mặt, về phía lớp cửa bao bằng nhựa của cửa hàng nội thất.","Sadece gözünü ileriye dikmiş, mobilya mağazasının cephesine bakıyordu.","Miraba al frente, hacia el revestimiento de plástico de la tienda de muebles."
1262,“You think I needed you?,“Cậu tưởng tớ cần cậu sao?,“Sana ihtiyacım olduğunu mu sanıyorsun?,—¿Crees que te necesitaba?
1263,You don’t think I could have given Myrna Mountweazel a Benadryl so she’d sleep through my stealing the safe from under my parents’ bed?,Cậu không nghĩ rằng tớ có thể cho Myrna Mountweazel một liều Benadryl để nó ngủ chết giấc trong khi tớ khua cái két dưới gầm giường bố mẹ đi sao?,Ben annemle babamın yatağının altından kasayı ça larken Myrna Mountweazel’a uyusun diye Benadryl verebileceğimi düşünmüyor musun?,¿No crees que podría haber dado a Myrna Mountweazel un sedante para que se durmiera y robar la caja de debajo de la cama de mis padres?
1264,Or snuck into your bedroom while you were sleeping and taken your car key?,"Hoặc mò vào phòng cậu trong khi cậu đang ngủ và nẫng chìa khóa xe cậu đi ư? Tớ không cần cậu, ngốc ạ.",Ya da sen uyurken odana gizlice girip arabanın anahtarını alabileceğimi?,¿O colarme en tu habitación mientras dormías y cogerte las llaves del coche?
1266,I picked you.,Tớ đã chọn cậu.,Seni seçtim.,Te he elegido.
1267,And then you picked me back.”,Rồi chính cậu đã chọn lại tớ.” Giờ Margo nhìn tôi. “Và điều đó như một lời hứa.,Sonra sen de beni seçtin.”,Y luego tú me has elegido a mí.
1269,“And that’s like a promise.,Rồi chính cậu đã chọn lại tớ.” Giờ Margo nhìn tôi. “Và điều đó như một lời hứa.,“Ve bu bir tür söz gibi bir şey.,Y esto es como una promesa.
1270,At least for tonight.,Ít nhất cho đêm nay.,En azından bu geceliğine.,Al menos por esta noche.
1271,In sickness and in health.,Khi ốm đau cũng như khi khỏe mạnh.,Hastalıkta ve sağlıkta.,En la salud y en la enfermedad.
1272,In good times and in bad.,Lúc thuận lợi cũng như lúc khó khăn.,"İyi günde, kötü günde.",En lo bueno y en lo malo.
1273,"For richer, for poorer.",Khi giàu hơn cũng như khi nghèo đi.,Zenginlikte ve yoksullukta.,En la riqueza y en la pobreza.
1274,Till dawn do us part.”,Cho đến khi nào bình minh chia lìa chúng ta.”,Şafak bizi ayırana kadar.,Hasta que el amanecer nos separe.
1275,"I started the car and pulled out of the parking lot, but all her teamwork stuff aside, I still felt like I was getting badgered into something, and I wanted the last word.","Tôi khởi động máy và lái xe ra khỏi bãi đỗ, nhưng gạt tất cả những gì liên quan đến tinh thần đồng đội của Margo sang bên, tôi vẫn cảm thấy như mình bị buộc làm một điều gì đó, và tôi muốn nói cho ra ngô ra khoai.","Arabayı çalıştırıp park yerinden çıktım fakat bütün o takım çalışması ıvır zıvırı bir yana, hâlâ başımın eti yenerek bir şeye zorlanıyormuşum gibi hissediyordum ve son sözü ben söylemek istiyordum.","Encendí el coche y salí del aparcamiento, pero, dejando de lado su rollo sobre el trabajo en equipo, sentía que estaba presionándome y quería decir la última palabra."
1276,"“Fine, but when Sea-World, Incorporated or whatever sends a letter to Duke University saying that miscreant Quentin Jacobsen broke into their facility at four thirty in the morning with a wild-eyed lass at his side, Duke University will be mad.","“Được thôi, nhưng khi SeaWorld, công ty hoặc bất cứ cá nhân nào viết thư đến Đại học Duke, nói rằng cái cậu Quentin Jacobsen đầy tội lỗi đã đột nhập cơ sở vật chất của họ vào lúc bốn giờ ba mươi phút sáng cùng với cô nàng đồng hành có cặp mắt hoang dại, thì Đại học Duke sẽ điên lên đấy.","“İyi. Ama SeaWorld ya da her neyse, Duke Üniversitesi’ne zalim Quentin Jacobsen’m, yanında vahşi bakışlı bir genç kızla, sabahın dört buçuğunda, tesislerine zorla girdiğini söyleyen bir mektup gönderdiğinde Duke Üniversitesi fena kızacak.","—Muy bien, pero cuando el SeaWorld o quien sea escriba a la Universidad de Duke diciendo que el desaprensivo Quentin Jacobsen allanó su edificio a las cuatro y media de la madrugada con una muchachita de mirada salvaje, la Universidad de Duke se pondrá furiosa."
1277,"Also, my parents will be mad.”",Mà bố mẹ tớ cũng phát điên luôn.”,Annemle babam da fena kızacak.,Y mis padres también.
1279,"You’re going to be a very successful lawyer-or-something and get married and have babies and live your whole little life, and then you’re going to die, and in your last moments, when you’re choking on your own bile in the nursing home, you’ll say to yourself: ‘Well, I wasted my whole goddamned life, but at least I broke into SeaWorld with Margo Roth Spiegelman my senior year of high school.","“Q ơi, cậu sẽ theo học ở Duke. Cậu sẽ trở thành luật-sư-hay-gì-đó công thành danh toại, lập gia đình, sinh con và sống hết cuộc đời con con này. Đến phút lâm chung, những khoảnh khắc cuối cùng của cuộc đời, khi cay đắng nghẹn ngào trong nhà thương, cậu sẽ tự nhủ: ‘Ồ, mình đã lãng phí cả cuộc đời chết giẫm này, nhưng chí ít vào năm cuối cùng ở trường phổ thông, mình đã lén vào SeaWorld cùng với Margo Roth Spiegelman.","Çok başarılı bir avukat falaıi olacaksın, evleneceksin, çocukların olacak, bütün o küçük hayatı yaşayacaksın, sonra öleceksin ve son dakikalarında, huzurevinde kendi safranda boğulurken kendine diyeceksin ki: Teki, lanet olası hayatımm tümünü boşa harcamış olabilirim ama en azmdan lise son sınıfta Margo Roth Spiegelman’la SeaWorld’e izinsiz girdim.","Serás un abogado con mucho éxito, o lo que sea, te casarás, tendrás hijos, vivirás tu vida mediocre y te morirás, y en tus últimos momentos, cuando estés ahogándote en tu propia bilis en la residencia de ancianos, te dirás: «Bueno, he desperdiciado toda mi puta vida, pero al menos el último año de instituto entré en el SeaWorld con Margo Roth Spiegelman."
1280,At least I carpe’d that one diem.’”,"Ít nhất mình đã có một ngày huy hoàng, carpe diem.",En azmdan bir diem’ı carpe yaptım.,"Al menos, carpeé un diem»."
1281,"“Noctem,” I corrected.","“Một đêm huy hoàng, carpe noctem[5],” tôi sửa.","“Noctem,” diye düzelttim.",—Noctem —la corregí.
1282,"“Okay, you are the Grammar King again.","“Được rồi, cậu lại là Vua Ngữ Pháp. Cậu vừa giành lại ngai vàng rồi đó.","‘Tamam, Dilbilgisi Kralı tekrar sensin.","—De acuerdo, vuelves a ser el rey de la gramática."
1283,You’ve regained your throne.,"“Được rồi, cậu lại là Vua Ngữ Pháp. Cậu vừa giành lại ngai vàng rồi đó.",Tahtım geri kazandın.,Acabas de recuperar el trono.
1284,Now take me to SeaWorld.”,Giờ đưa tớ tới SeaWorld thôi.”,Şimdi beni SeaWorld’e götür.,Ahora llévame al SeaWorld.
1285,"As we drove silently down I-4, I found myself thinking about the day that the guy in the gray suit showed up dead.","Lặng lẽ lái xe dọc cao tốc I-4, tôi nhận ra mình đang nghĩ đến người đàn ông mặc bộ đồ xám bị phát hiện đã chết năm đó.","I4’te sessizce ilerlerken, kendimi gri takım elbiseli adamın öldüğü günü düşünürken buldum.","Mientras avanzábamos en silencio por la I-4, me descubrí a mí mismo pensando en el día en que el tipo del traje gris apareció muerto."
1286,"Maybe that’s the reason she chose me, I thought.","Có thể đó là lí do cô ấy đã chọn mình, tôi nghĩ.","Belki Margo’nun beni seçmesinin nedeni bu, diye düşündüm.","«Quizá por eso me ha elegido», pensé."
1287,"And that’s when, finally, I remembered what she said about the dead guy and the strings— and about herself and the strings.","Và khi đó, cuối cùng, tôi nhớ ra những gì Margo đã nói về người chết và những dây nối–về chính cô ấy và những dây nối.","Tam o anda, nihayet, Margo’nun ölü adam ve iplerle ilgili söylediklerini hatırladım... ayrıca kendisi ve iplerle ilgili söylediklerini de.",Y en ese momento recordé por fin lo que me había dicho sobre el muerto y los hilos. Y sobre ella y los hilos.
1288,"“Margo,” I said, breaking our silence.","“Margo này,” tôi lên tiếng phá vỡ bầu im lặng.","“Margo,” dedim suskunluğumuzu bozarak.",—Margo —le dije rompiendo el silencio.
1289,"“Q,” she said.","“Q,” cô ấy đáp.","“Q,” dedi.",—Q —me contestó.
1290,“You said . . .,“Cậu từng nói...,“Dedin ki...,—Dijiste…
1291,"When the guy died, you said maybe all the strings inside him broke, and then you just said that about yourself, that the last string broke.”","Người đàn ông bị chết năm ấy, cậu từng nói rằng có lẽ tất cả những dây nối bên trong ông ta đã đứt hết, rồi lúc nãy cậu vừa nói về chính cậu, và dây nối cuối cùng bị đứt.","Adam öldüğünde, belki de içindeki tüm ipler kopmuştur dedin ve sonra demin bunu kendin için de söyledin, son ipin koptuğunu.","Cuando aquel tipo murió, dijiste que quizá se le habían roto los hilos por dentro, y hace un rato has dicho lo mismo de ti, que el último hilo se había roto."
1292,She half laughed.,Margo nửa bật cười.,Güler gibiydi.,Se medio rió.
1293,“You worry too much.,“Cậu lo lắng quá nhiều rồi đấy.,“Fazla endişeleniyorsun.,—Te preocupas demasiado.
1294,I don’t want some kids to find me swarmed with flies on a Saturday morning in Jefferson Park.”,Tớ không muốn đứa trẻ con nào tìm thấy tớ trong cảnh ruồi bâu kiến đậu vào một sáng thứ Bảy ở Công viên Jefferson đâu.” Cô ấy nghỉ một nhịp rồi nói điều cốt lõi.,"Birkaç çocuğun beni bir cumartesi sabahı, üstüme sinekler üşüşmüş halde Jefferson Park’ta bulmasını istemem.”",No quiero que unos críos me encuentren cubierta de moscas un sábado por la mañana en Jefferson Park.
1296,“I’m too vain for that fate.”,“Tớ quá tự kiêu cho một kết cục như vậy.”,“Bu kader için fazla gösterişçiyim.,—Esperó un momento antes de rematar la frase—: Soy demasiado presumida para acabar así.
1297,"I laughed, relieved, and exited the interstate.","Tôi cười khì, thở phào và lái xe ra khỏi cao tốc liên bang.","Güldüm, rahatladım ve eyaletler arası yoldan çıktım.",Me reí aliviado y salí de la autopista.
1298,"We turned onto International Drive, the tourism capital of the world.","Chúng tôi rẽ vào đường International Drive, thủ phủ mua sắm của xứ này.","International Bulvarı’na döndük, dünyanın turizm başkenti.","Giramos en International Drive, la capital mundial del turismo."
1299,"There were a thousand shops on International Drive, and they all sold the exact same thing: crap.","Có đến cả ngàn cửa hàng ở International Drive, tất cả đều bán một thứ giống nhau: thứ bỏ đi.",International Bulvarı’nda binlerce dükkân vardı ve hepsi tam anlamıyla aynı şeyi satıyordu: çer çöp.,En International Drive había mil tiendas que vendían exactamente lo mismo: mierda.
1300,"Crap molded into seashells, key rings, glass turtles, Florida-shaped refrigerator magnets, plastic pink flamingos, whatever.","Những thứ bỏ đi dưới đủ mọi hình dạng: vỏ sò, móc đeo chìa khóa, đồi mồi bằng thủy tinh, nam châm gắn tủ lạnh hình bang Florida, hồng hạc bằng nhựa, gi gỉ gì gi đủ thứ.","Denizkabuğu şeklinde biçimlendirilmiş çer çöp, anahtarlıklar, cam kaplumbağalar, Florida şeklinde buzdolabı mıknatısları, pembe plastik flamingolar, ne olursa.","Mierda con forma de conchas, llaveros, tortugas de cristal, imanes para el frigorífico con la forma de Florida, flamencos rosas de plástico y cosas por el estilo."
1301,"In fact, there were several stores on I-Drive that sold actual, literal armadillo crap—$4. 95 a bag.","Thực ra có vài cửa hàng trên đường I-Drive bán thứ bỏ đi thật, nghĩa đen, phân con ta-tu, bốn đô-la chín mươi lăm xu một túi.",Aslında IBulvan’nda gerçek armadillo pisliği satan dükkânlar bile vardı... poşeti 4. 95 dolara.,"De hecho, en International Drive había varias tiendas que vendían mierda real y literal de armadillo, a 4. 95 dólares la bolsa."
1302,"But at 4:50 in the morning, the tourists were sleeping.","Nhưng vào 4:50 sáng, khách du lịch vẫn còn đang ngủ.",Ama sabah (MACMe turistler uyuyordu.,Pero a las 4:50 de la madrugada los turistas estaban durmiendo.
1303,"The Drive was completely dead, like everything else, as we drove past store after parking lot after store after parking lot.","Con đường hoàn toàn vắng ngắt, giống như những đường phố khác, khi chúng tôi lái xe qua hết bãi đỗ này đến bãi đỗ khác.","Biz ardı ardına dükkânları ve park yerlerini geçip giderken bulvar tamamen ölüydü, diğer her şey gibi.","Drive, como todo lo demás, estaba completamente muerto mientras dejábamos atrás tiendas, aparcamientos, más tiendas y más aparcamientos."
1304,"“SeaWorld is just past the parkway,” Margo said.","“Đi qua hàng cây kia là đến SeaWorld,” Margo nói.","“SeaWorld ağaçlı bulvarı geçtikten hemen sonra,” dedi Margo.",—El SeaWorld está justo detrás de la autopista —dijo Margo.
1305,"She was in the wayback of the minivan again, rifling through a backpack or something.","Cô ấy ra sau xe, lục tìm trong ba-lô hay cái gì đó.","Yine minivanın arka tarafmdaydı, bir sırt çantasını ya da onun gibi bir şeyi karıştırıyordu.","Estaba de nuevo en la parte de atrás del coche, rebuscando en una mochila o algo así—."
1306,"“I got all these satellite maps and drew our plan of attack, but I can’t freaking find them anywhere.","“Tớ có đủ bản đồ vệ tinh và đã vạch kế hoạch tác chiến của chúng ta, nhưng quái lạ sao chả thấy đâu nhỉ.",“Bütün uydu haritalarını alıp saldırı planımızı çizmiştim ama lanet şeyleri bir türlü bulamıyorum.,"Tengo un montón de mapas satélite y dibujé nuestro plan de ataque, pero no los encuentro por ninguna parte."
1307,"But anyway, just go right past the parkway, and on your left there will be this souvenir shop.”","Dù sao cứ đi qua đoạn đường có hàng cây, bên tay trái sẽ là một cửa hàng bán đồ lưu niệm.”","Ama her neyse, bulvardan sağa sap, solunda hediyelik eşya dükkâm olacak.","En fin, gira a la derecha después de la autopista, y a la izquierda verás una tienda de souvenirs."
1308,"“On my left, there are about seventeen thousand souvenir shops.”",“Bên tay trái tớ có khoảng mười bảy ngàn cửa hàng bán đồ lưu niệm.”,“Solumda yaklaşık on yedi bin tane hediyelik eşya dükkâm var.,—A la izquierda hay unas diecisiete mil tiendas de souvenirs.
1309,"“Right, but there will only be one right after the parkway.”","“Đúng, nhưng chỉ có một ngay sau khi đi hết qua hàng cây thôi.",“Doğru ama bulvardan sonra sadece bir tane olacak.,"—Sí, pero justo después de la autopista habrá solo una."
1310,"And sure enough, there was only one, and so I pulled into the empty parking lot and parked the car directly beneath a streetlight, because cars are always getting stolen on I-Drive.","Quả là chính xác, chỉ có một cửa hàng như vậy, tôi đưa xe vào chỗ đỗ trống, dừng ngay dưới một cột đèn đường, vì ở I-Drive này rất dễ bị mất xe.","Sahiden de yalnızca bir tane vardı, böylece boş park yerine çekip arabayı doğruca bir sokak lambasının altına park ettim, çünkü IBulvarı’nda arabalar sürekli çalmıyordu. Ancak gerçek","Y por supuesto había solo una, así que me metí en el aparcamiento vacío y aparqué el coche debajo de una farola, porque en International Drive siempre roban coches."
1311,"And while only a truly masochistic car thief would ever think of jacking the Chrysler, I still didn’t relish the thought of explaining to my mom how and why her car went missing in the small hours of a school night.","Chắc chỉ có gã đạo chích siêu quái đản mới tìm cách thổi bay chiếc Chrysler này, nhưng tôi cũng không khoái nghĩ đến việc phải giải thích với mẹ làm thế nào và tại sao xe của mẹ đã biến mất trong mấy tiếng đồng hồ khuya khoắt này.","ten mazoşist bir araba hırsızı Chrysler’ı çalmayı düşünecek olsa bile, anneme ertesi gün okul olan bir gecenin ilerlemiş saatlerinde arabanın neden ve nasıl kaybolduğunu açıklama düşüncesinden yine de hazzetmemiştim.","Y aunque solo a un ladrón de coches masoquista se le ocurriría trincar el Chrysler, no me apetecía tener que explicarle a mi madre cómo y por qué su coche había desaparecido en plena madrugada de un día de clase."
1312,"We stood outside, leaning against the back of the minivan, the air so warm and thick I felt my clothes clinging to my skin.","Chúng tôi đứng bên ngoài, dựa vào đuôi chiếc minivan, không khí nóng và nặng đến mức tôi thấy quần áo như dính chặt lên da mình.","Dışarıda minivanın arkasına yaslanarak durduk, hava o kadar ılık ve yoğundu ki kıyafetlerimin üstüme yapıştığını hissettim.","Nos quedamos fuera, apoyados en la parte de atrás del monovolumen. El aire era tan cálido y denso que se me pegaba la ropa a la piel."
1313,"I felt scared again, as if people I couldn’t see were looking at me.","Tôi lại có cảm giác rờn rợn, như thể ai đó đang nhìn tôi mà tôi lại không thấy họ.",Sanki göremediğim insanlar bana bakıyormuş gibi tekrar korkmaya başladım.,"Volvía a estar asustado, como si gente a la que no veía estuviera mirándome."
1314,"It had been too dark for too long, and my gut ached from the hours of worrying.","Đêm tối quá lâu, bụng dạ tôi đau nhói sau nhiều tiếng đồng hồ lo lắng căng thẳng.",Çok uzun zamandır çok karanlıktı ve endişe dolu saatler nedeniyle karnım ağrıyordu.,La noche había sido muy larga y llevaba tantas horas preocupado que me dolía la barriga.
1315,"Margo had found her maps, and by the light of the street lamp, her spray-paint-blue fingertip traced our route.","Margo đã tìm thấy bản đồ, dưới ánh đèn đường, đầu ngón tay dính sơn xanh của cô ấy dò theo tuyến đường.","Margo haritaları buldu ve sokak lambasının ışığı altında, sprey boyah mavi parmağı güzergahımızı takip etti.",Margo había encontrado los mapas y trazaba nuestra ruta con el dedo azul a la luz de la farola.
1316,"“I think there’s a fence right there,” she said, pointing to a wooden patch we’d hit just after crossing the parkway.","“Tớ nghĩ ngay đây có một đoạn hàng rào,” cô ấy nói, giơ tay chỉ một vạt um tùm phía bên kia con đường có hàng cây. “Tớ đã đọc trên mạng.","“Sanırım tam şurada bir çit var,” dedi, bulvarı geçtikten hemen sonra karşılaştığımız tahtadan bir yeri işaret ederek.",—Creo que aquí hay una valla —me dijo señalando una zona de bosque con la que nos habíamos topado nada más pasar la autopista—.
1318,"They installed it a few years ago after some drunk guy walked into the park in the middle of the night and decided to go swimming with Shamu, who promptly killed him.”","Mấy năm trước người ta dựng hàng rào vì một gã say nào đó nửa đêm mò vào công viên và nảy ra ý tưởng bơi cùng Shamu, cho nên đã bị Shamu xực luôn.”",Sarhoş bir adam gecenin bir yarısı parka girip Shamu’yla yüzmeye karar vermiş ki hayvan da onu öldürmüş.,"La pusieron hace unos años porque un borracho entró en el parque en plena noche y decidió darse un baño con la orca Shamu, que no tardó en matarlo."
1319,“Seriously?”,“Có chuyện ấy thật sao?”,“Cidden mi?,—¿En serio?
1320,"“Yeah, so if that guy can make it in drunk, surely we can make it in sober.","“Ừ, nhưng nếu gã đó hành động trong cơn say, thì chúng ta sẽ ra tay khi hoàn toàn tỉnh táo.","“Evet, yani o adam sarhoşken bunu yapabiliyorsa, biz ayıkken kesinlikle yapabiliriz.","—Sí, así que si aquel tipo pudo entrar borracho, seguro que nosotros, que no hemos bebido, también podremos."
1321,"I mean, we’re ninjas.”",Tụi mình là ninja mà.”,Sonuçta biz ninjayız.,"Vaya, somos ninjas."
1322,"“Well, maybe you’re a ninja,” I said.","“À, chắc cậu là ninja thôi,” tôi nói.","“Şey, belki sen bir ninjasm,” dedim.","—Bueno, quizá tú eres una ninja —le dije."
1323,"“You’re just a really loud, awkward ninja,” Margo said, “but we are both ninjas.”","“Cậu là chàng ninja ồn ào và lắm chuyện,” Margo nói, “nhưng hai đứa mình đều là ninja.”","“Sen sadece gerçekten gürültücü, sakar bir ninjasın,” dedi Margo, “ama ikimiz de ninjayız.”","—Los dos somos ninjas, solo que tú eres un ninja torpe y ruidoso —dijo Margo."
1324,"She tucked her hair behind her ears, pulled up her hood, and scrunched it shut with a drawstring; the streetlight lit up the sharp features of her pale face.","Cô ấy vén tóc ra sau vành tai, đội mũ lên, thít chặt dây rút; ánh sáng từ ngọn đèn đường rọi lên những nét sắc sảo trên khuôn mặt nhợt nhạt của cô ấy.",Saçını kulaklarının arkasına attı; kapüşonunu başma çekip ipiyle hışırdatarak büzdü; sokak lambası solgun yüzünün keskin hatlarını aydınlatıyordu.,"Se colocó el pelo detrás de las orejas, se puso la capucha y se la ató con el cordón. La farola iluminó los agudos rasgos de su cara pálida."
1325,"Maybe we were both ninjas, but only she had the outfit.","Có thể cả hai đứa tôi đều là ninja, nhưng chỉ Margo mặc trang phục thích hợp.",Belki ikimiz de ninjaydık fakat ekipmanı olan yalnızca oydu.,"Quizá los dos éramos ninjas, pero solo ella lo parecía."
1326,"“Okay,” she said.","“Được rồi,” cô ấy nói.","‘Tamam,” dedi.","—Bien —me dijo—, memoriza el mapa."
1328,By far the most terrifying part of the half-mile-long journey Margo had plotted for us was the moat.,"Đến thời điểm này, phần gian nguy nhất trong hành trình nửa dặm mà Margo đã vạch ra chính là hào nước.",“Haritayı ezberle.” Margo’nun bizim için kurguladığı yaklaşık bir kilometrelik yolculuğun açık ara farkla en korkutucu bölümü hendekti.,"La parte más terrorífica del recorrido de casi un kilómetro que Margo había trazado era, con diferencia, el foso."
1329,SeaWorld was shaped like a triangle.,Địa hình SeaWorld như một tam giác.,SeaWorld üçgen şeklindeydi.,El SeaWorld tenía forma triangular.
1330,"One side was protected by a road, which Margo figured was regularly patrolled by night watchmen.","Một cạnh là mặt đường, Margo suy luận rằng sẽ thường xuyên có nhân viên an ninh đi tuần tra ban đêm.","Bir tarafı, Margo’nun yürüttüğü tahmine göre, gece bekçilerinin devriye gezdiği bir cadde tarafından korunuyordu, ikinci taraf, çevresi en az bir kilometre olan bir göl tarafından gözetiliyordu ve üçüncü tarafta bir drenaj kanalı vardı; haritada yaklaşık iki şeritli bir",Un lado estaba protegido por una carretera por la que Margo suponía que patrullaban permanentemente vigilantes nocturnos.
1332,"And where there are water-filled drainage ditches near lakes in Florida, there are often alligators.","Và ở Florida, ở đâu có hào thoát nước cạnh hồ, ở đó thường có cá sấu.","Ve Florida’da, göllerin yakınında suyla dolu drenaj kanalları varsa, orada genellikle timsahlar olur.","Y en Florida, en las zanjas de drenaje junto a los lagos suele haber caimanes."
1333,Margo grabbed me by both shoulders and turned me toward her.,Margo đặt cả tay lên hai vai tôi và xoay tôi lại phía cô ấy.,Margo beni iki omzumdan tutup kendine çevirdi.,Margo me agarró por los hombros y me giró hacia ella.
1334,"“We’re going to get caught, probably, and when we do, just let me talk.","“Bọn mình sẽ bị tóm, có thể thôi, trong trường hợp đó, cứ để tớ nói mọi chuyện.",“Muhtemelen yakalanacağız ve yakalandığımızda bırak ben konuşayım.,"—Seguramente nos pillarán, así que, cuando nos pillen, déjame hablar a mí."
1335,"You just look cute and be that weird mix of innocent and confident, and we’ll be fine.”","Cậu chỉ cần tỏ ra hiền hiền kiểu nửa ngây thơ nửa thẳng thắn, rồi ta sẽ ổn cả thôi.”","Sen sadece şirin görünüp şu tuhaf masumkendinden emin tavrını sergilersen, her şey yolunda gider.","Tú limítate a poner cara de bueno, medio inocente, medio seguro de ti mismo, y todo irá bien."
1336,"I locked the car, tried to pat down my puffy hair, and whispered, “I’m a ninja.”","Tôi khóa xe, cố gắng vuốt gọn mái đầu bù xù, lẩm nhẩm, “Mình là ninja.”","Arabayı kilitledim, kabarmış saçımı yatırmaya çalıştım ve “Ben bir ninjayım,” diye fısıldadım.","Cerré el coche, intenté aplanarme con la mano el pelo alborotado y murmuré: —Soy un ninja."
1337,"I didn’t mean for Margo to hear, but she piped up.","Tôi không định để Margo nghe thấy, nhưng cô ấy đã thốt lên, “Khỉ ạ, cậu đúng là ninja đấy.",Margo’nun duymasını amaçlamamıştım ama birden karşılık verdi.,"No pretendía que Margo lo oyera, pero de repente soltó:"
1339,Now let’s go.”,Đi mau thôi.”,Şimdi gidelim.”,"—¡Claro que sí, joder! Ahora, vamos."
1340,We jogged across I-Drive and then started bushwhacking through a thicket of tall shrubs and oak trees.,"Chúng tôi đi bộ qua I-Drive, bắt đầu mò đường qua đám sồi rậm rạp và cây bụi lùm xùm.","1Bulvan’nın öteki tarafına koştuk, sonra uzun çalılar ile meşelerden oluşan yeşilliğin içinde pusuya yattık.",Corrimos por International Drive y luego nos abrimos camino entre arbustos altos y robles.
1341,"I started to worry about poison ivy, but ninjas don’t worry about poison ivy, so I led the trail, my arms in front of me, pushing aside briars and brush as we walked toward the moat.","Tôi hơi lo về độc tố của cây thường xuân, nhưng ninja không sợ độc tố thường xuân, thế là tôi xông lên, cánh tay giơ trước mặt, gạt cành gai lá lẻo sang hai bên để tiến về phía hào nước.","Zehirli sarmaşık hakkında endişelenmeye başlamıştım ama ninjalar zehirli sarmaşık hakkında endişelenmeyecekleri için hendeğe doğru yürürken, kollarım önde, dikenli çalılan ve fundalığı kenara iterek öncülük ettim.","Empecé a preocuparme por la hiedra venenosa, pero los ninjas no se preocupan por esas cosas, así que me coloqué a la cabeza, con los brazos extendidos, y aparté las zarzas y la maleza mientras avanzábamos hacia el foso."
1342,"Finally the trees stopped and the field opened up, and I could see the parkway on our right and the moat straight ahead of us.","Cuối cùng cũng qua được vạt cây và tầm nhìn thoáng ra, tôi thấy con đường với hàng cây ở bên tay phải và hào nước thẳng phía trước mặt.","Nihayet ağaçlar bitti ve meydan ortaya çıktı, böylece sağımdaki bulvarı ve tam karşımızda olan hendeği görebildim.",Al final se acabó la zona de árboles y llegamos a campo abierto. Veía la autopista a nuestra derecha y el foso justo enfrente.
1343,"People could have seen us from the road if there had been any cars, but there weren’t.","Ai ngồi trong xe trên đường hẳn sẽ nhìn thấy chúng tôi, nhưng chẳng có chiếc xe nào cả.","Eğer birkaç araba olsaydı, insanlar yoldan bizi görebilirlerdi ama hiç araba yoktu.","Podrían habernos visto desde la carretera si hubiera pasado algún coche, pero no pasó ninguno."
1344,"Together we took off running through the brush, and then made a sharp turn toward the parkway.","Chúng tôi cùng chạy qua bụi rậm, rẽ ngoặt về phía hàng cây.",Birlikte yeşilliklerin arasından koşmak için harekete geçtik ve sonra bulvara doğru keskin bir dönüş yaptık.,Corrimos por la maleza y trazamos una curva cerrada hacia la autopista.
