line_no,en,vi,tr,es
2342,"The window was greenish, with that chicken wire mesh they used to put inside glass.","Cửa sổ bằng kính xanh đùng đục, trong lòng kính có cốt mắt cáo.","Pencere yeşilimsiydi, camın içine koydukları şu kümes telinden dolayı.","La ventana era de color verdoso, el mismo color de la tela metálica de gallinero que solían poner del lado de adentro del cristal."
2343,"Aunt Lydia said, Eat your dinner.","Dì Lydia nói, lo mà ăn đi.","Lydia Teyze, Yemeğinizi yiyin, dedi.","Seguid comiendo, dijo Tía Lydia."
2344,She went over and pulled down the blind.,Dì lại gần kéo mành xuống.,Ve gelip pancuru indirdi.,Se acercó a la ventana y bajó la persiana.
2345,They took her into the room that used to be the Science Lab.,Họ đem cô vào phòng xưa là phòng thí nghiệm.,Eskiden Bilim Laboratuarı olan bir odaya götürdüler Moira’yı.,La llevaron a una habitación que hacía las veces de Laboratorio Científico.
2346,It was a room where none of us ever went willingly.,Cũng là phòng chúng tôi chưa có ai từng tự nguyện đi vào.,Hiçbirimizin isteyerek gitmediği bir odaya.,Ninguna de nosotras entraba allí voluntariamente.
2347,"Afterwards she could not walk for a week, her feet would not fit into her shoes, they were too swollen.","Sau đó cô không thể đi lại suốt một tuần, chân nhét không vừa giày nữa, chúng sưng tướng lên.","Ardından da bir hafta yürüyemedi, ayakları ayakkabılarına sığmıyordu, çok şişmişlerdi.","Después de eso, estuvo una semana sin poder caminar; tenía los pies tan hinchados que no le cabían en los zapatos."
2348,"It was the feet they'd do, for a first offense.","Họ sẽ làm chân trước, khi vi phạm lần đầu.","İlk suçta, yapacaklarını ayaklara yapıyorlardı.","A la primera infracción, se dedicaban a tus pies."
2349,"They used steel cables, frayed at the ends.","Dùng roi cáp thép, hai đầu lởm chởm.",Uçları saçaklı çelik kablolar kullanıyorlardı.,Usaban cables de acero con las puntas deshilachadas.
2350,After that the hands.,Sau đó đến bàn tay.,Bundan sonra da ellere.,Después le tocaba el turno a las manos.
2351,"They didn't care what they did to your feetor your hands, even if it was permanent.","Có làm gì bàn tay bàn chân chúng tôi cũng chẳng sao, dù thương tật vĩnh viễn cũng vậy.","Ayaklarınıza ve ellerinize ne yaptıklarına aldırmıyorlardı, kalıcı olsa bile.","No les importaba lo que te hacían en los pies y en las manos, aunque fuera un daño irreversible."
2352,"Remember, said Aunt Lydia.","Nhớ cho kỹ, dì Lydia nói.","Unutmayın, derdi Lydia Teyze.","Recordadlo, decía Tía Lydia."
2353,For our purposes your feet and your hands are not essential.,"Đối với mục đích của chúng ta, tay chân các cô không cần thiết.",Amaçlarımız için ayaklarınız ve elleriniz önemli değil.,Vuestros pies y vuestras manos no son esenciales para nuestros propósitos.
2354,"Moira lay on her bed, an example.","Moira nằm trên giường, làm gương cho tất cả.","Moira yatağında yatıyordu, bir örnek.",Moira tendida en la cama para que sirviera de ejemplo.
2355,"She shouldn't have tried it, not with the Angels, Alma said, from the next bed over.","Lẽ ra cô không nên thử, nhất là với đám Thiên sứ, Alma nói, từ giường bên.","Bunu denememeliydi, hiç değilse Meleklerle, dedi yandaki yataktan Alma.","No tendría que haberlo intentado, y menos con los Angeles, dijo Alma desde la cama contigua."
2356,We had to carry her to classes.,Chúng tôi phải khênh cô đến lớp.,Sınıflara taşımak zorunda kalmıştık onu.,Teníamos que llevarla a las clases.
2357,"We stole extra paper packets of sugar for her, from the cafeteria at mealtimes, smuggled them to her, at night, handing them from bed to bed.","Chúng tôi ăn cắp những gói đường nhỏ cho cô, mỗi giờ ăn ở căng tin, lén chuyển đến chỗ cô, hàng đêm, qua các giường.","Yemek saatlerinde kafeteryadan fazladan şeker paketleri çaldık onun için, bunları gizlice ulaştırdık ona, geceleri yataktan yatağa uzatarak.","En la cafetería, a la hora de las comidas, robábamos los sobres de azúcar que nos sobraban y los hacíamos llegar por la noche, pasándolos de cama en cama."
2358,Probably she didn't need the sugar but it was the only thing we could find to steal.,Hẳn nhiên cô chẳng cần đến đường nhưng có mỗi thứ đó là chúng tôi tìm cách ăn trộm được.,Olası şekere ihtiyacı yoktu ama çalmak için bulabildiğimiz tek şeydi.,"Probablemente no necesitaba azúcar, pero era lo único que podíamos robar."
2359,To give.,Trao đi được.,Vermek için.,Para regalárselo.
2360,"I am still praying but what I am seeing is Moira's feet the way they looked after they'd brought her back, Her feet did not look like feet at all.","Tôi vẫn đang cầu nguyện, nhưng chỉ thấy trước mắt đôi chân Moira, sau khi họ mang cô về. Chân cô không giống chân người.","Hâlâ dua ediyorum ama gördüğüm şey Moira'nın ayakları, onu geri getirdiklerindeki görünüşleri. Ayakları hiç de ayağa benzemiyordu.","Sigo rezando, pero lo que veo son los pies de Moira tal como los tenía cuando la trajeron. No parecían pies."
2361,"They looked like drowned feet, swollen and bone-less, except for the color.","Giống như chân xác chết đuối, sưng phồng, mềm oặt, trừ có màu.","Boğulmuş ayaklar gibiydiler, şişmiş ve kemiksiz, yalnız renkleri farklıydı.","Eran como un par de pies ahogados, inflados y deshuesados, aunque por el color cualquiera habría jurado que eran pulmones."
2363,"Oh God, I pray.","Chúa ơi, tôi cầu nguyện.","Oh Tanrım, diye dua ediyorum.","Oh, Dios, rezo."
2364,Nolite te bastardes carborundorum.,Nolite te bastardies carborun- dorum.,Nolite te bastardes carborundorum.,Nolite te bastardes carborundorum.
2365,Is this what you had in mind?,Đây đúng là ý định của người ư?,Düşündüğün şey bu muydu?,¿Era esto lo que estabas pensando?
2366,The Commander clears his throat.,Chủ soái húng hắng.,Komutan boğazını temizliyor.,El Comandante carraspea.
2367,This is what he does to let us know dial in his opinion it's time we stopped praying.,"Nghĩa là báo hiệu theo ý ông chúng tôi dùng cầu nguyện được rồi. “Bởi Đức chúa đưa mắt rảo khắp hoàn cầu để gia tăng sức mạnh cho những ai giữ lòng trung nghĩa với Người,” ông nói.",Ona göre dua etmeyi bırakma zamanının geldiğini bize göstermek için yaptığı bir şey bu.,"Es lo que hace siempre para comunicamos que, en su opinión, es hora de dejar de rezar."
2368,"""For the eyes of the Lord run to and fro throughout the wholeearth, to know himself strong in the behalf of them whose heart is perfect towards him,"" he says.","Nghĩa là báo hiệu theo ý ông chúng tôi dùng cầu nguyện được rồi. “Bởi Đức chúa đưa mắt rảo khắp hoàn cầu để gia tăng sức mạnh cho những ai giữ lòng trung nghĩa với Người,” ông nói.","“Çünkü Tanrı'nın gözleri yeryüzünün her yerinde dolaşır, yüreği kendisine karşı tam olanlar adına güçlü kılmak için kendini,” diyor.","—Que los ojos del Señor recorran la tierra a lo largo y a lo ancho, y que su fortaleza proteja a todos aquellos que le entregan su corazón —concluye."
2369,It's the sign-off.,Tín hiệu báo nghỉ.,Bitiş işareti bu.,Es la frase de despedida.
2370,He stands up.,Ông đứng dậy.,Komutan ayağa kalkıyor.,Él se levanta.
2371,We are dismissed.,Chúng tôi giải tán.,Azledildik.,Podemos retirarnos.
2373,The Ceremony goes as usual.,Lễ tháng diễn ra như thường lệ.,Ayin her zamanki gibi gerçekleşiyor.,La Ceremonia prosigue como de costumbre.
2374,"I lie on my back, fully clothed except for the healthy white cotton underdrawers.","Tôi nằm ngửa, mặc đủ quần áo trừ quần lót dài cô tông trắng vệ sinh.","Sağlıklı beyaz pamuklu iç giysim hariç, tamamen giyinik olarak sırt üstü yatıyorum.","Me tiendo de espaldas, completamente vestida salvo el saludable calzón blanco de algodón."
2375,"What I could see, if I were to open my eyes, would be the large white canopy of Serena Joy's outsized colonial-style","Trước mắt, nếu tôi được mở mắt, là tấm màn trắng rộng căng trên chiếc giường bốn cọc kiểu thực dân ngoại cỡ của Serena Joy, lửng lơ như đám mây sũng nước bên trên, một đám mây thêu lối cành cây những giọt mưa bạc tí xíu, nhìn kỹ sẽ hóa ra là những bông hoa bốn cánh.","Gözlerimi açabilsem görebileceğim şey, Serena Joy'un kocaman kolonyal stili dört direkli yatağının geniş beyaz kubbesi olurdu, sarkan bir bulut gibi tepemizde asılı duran, küçük gümüş yağmur damlacıklarıyla süslenmiş bir bulut, dikkatlice baktığınızda dört yapraklı çiçeklere dönüşen.","Si abriera los ojos, vería el enorme dosel blanco de la cama de Serena Joy —de estilo colonial y con cuatro columnas—, suspendido sobre nuestras cabezas como una nube combada, una nube salpicada de minúsculas gotas de lluvia plateada que, si las miras atentamente, podrían llegar a ser flores de cuatro pétalos."
2376,"four-poster bed, suspended like a sagging cloud above us, a cloud sprigged with tiny drops of silver rain, which, if you looked at them closely, would turn out to be four-petaled flowers.","Trước mắt, nếu tôi được mở mắt, là tấm màn trắng rộng căng trên chiếc giường bốn cọc kiểu thực dân ngoại cỡ của Serena Joy, lửng lơ như đám mây sũng nước bên trên, một đám mây thêu lối cành cây những giọt mưa bạc tí xíu, nhìn kỹ sẽ hóa ra là những bông hoa bốn cánh.","Gözlerimi açabilsem görebileceğim şey, Serena Joy'un kocaman kolonyal stili dört direkli yatağının geniş beyaz kubbesi olurdu, sarkan bir bulut gibi tepemizde asılı duran, küçük gümüş yağmur damlacıklarıyla süslenmiş bir bulut, dikkatlice baktığınızda dört yapraklı çiçeklere dönüşen.","Si abriera los ojos, vería el enorme dosel blanco de la cama de Serena Joy —de estilo colonial y con cuatro columnas—, suspendido sobre nuestras cabezas como una nube combada, una nube salpicada de minúsculas gotas de lluvia plateada que, si las miras atentamente, podrían llegar a ser flores de cuatro pétalos."
2377,"I would not see the carpet, which is white, or the sprigged curtains and skirted dressing table with its silver-backed brush and mirror set; only the canopy, which manages to suggest at one and the same time, by the gauziness of its fabric and its heavy downward curve, both ethereality and matter.","Tôi sẽ không thay được tấm thảm, có màu trắng, hay đôi rèm cũng thêu cành cây và bàn trang điểm rủ khăn với bộ gương lược khung nạm bạc; chỉ thấy mỗi tấm màn, nhờ chất tơ mỏng trong suốt đi đôi với độ cong trĩu xuống, đã tài tình cùng lúc gợi lên cả vật chất lẫn thượng thanh khí.","Beyaz halıyı ya da ince dallarla süslü perdeleri, gümüş sırtlı fırça ve ayna takımının bulunduğu örtülü tuvalet masasını görmezdim; görebileceğim sadece dokumasının inceliği ve aşağı doğru yaptığı ağır kıvrımıyla aynı zamanda hem maneviyatı hem de maddiyatı hatırlatmayı başaran kubbe.","No vería la alfombra blanca, ni las cortinas adornadas, ni el tocador con su juego de espejo y cepillo de dorso plateado; sólo el dosel, que con su tela diáfana y su marcada curva descendente sugiere una cualidad etérea y al mismo tiempo material."
2378,Or the sail of a ship.,Hoặc cánh buồm một con tàu.,Ya da bir geminin yelkeni.,O la vela de un barco.
2379,"Big-bellied sails, they used to say, in poems.","Cánh buồm no gió, xưa từng nói vậy, lối thi ca.",Şiirlerde şişkin karınlı yelkenler derlerdi eskiden.,"Las velas hinchadas, solían decir, como un vientre hinchado."
2381,Propelled forward by a swollen belly.,Băng băng tiến tới nhờ vòm bụng căng tròn.,Şişmiş bir karın tarafından ileri sürüklenmek.,Como empujadas por un vientre.
2382,"A mist of Lily of the Valley surrounds us, chilly, crisp almost.","Làn sương Bông huệ trong thung vương vất xung quanh, lạnh lẽo, băng giá nữa là khác.","Serin, neredeyse keskin bir Vadinin Zambağı sisi çevreliyor bizi.","Nos invade una niebla de Lirio de los Valles, fría, casi helada."
2383,It's not warm in this room.,Phòng này không ấm.,Oda pek sıcak değil.,Esta habitación no es nada cálida.
2384,"Above me, towards the head of the bed, Serena Joy is arranged, outspread.","Phía bên trên, gần đầu giường, Serena Joy đã vào vị trí, xoải rộng.","Üstümde, yatağın baş ucuna doğru, Serena Joy yerini almış, yayılmış duruyor.","Detrás de mí, junto al cabezal de la cama, está Serena Joy, estirada y preparada."
2385,"Her legs are apart, I lie between them, my head on her stomach, her pubic bone under the base of my skull, her thigh on either side of me.","Chân bà dạng ra hai bên, tôi nằm giữa, đầu đặt lên bụng bà, xương mu bà đỡ gốc sọ tôi, đùi kẹp hai bên người tôi.","Bacakları açık, aralarında yatıyorum, başım karnının üstünde, kasık kemiği başımın altında, kalçaları da her iki yanımda.","Tiene las piernas abiertas, y entre éstas me encuentro yo, con la cabeza apoyada en su vientre, la base de mi cráneo sobre su pubis, y sus muslos flanqueando mi cuerpo."
2386,"She too is fully clothed,",Cả bà cũng mặc đủ quần áo.,O da tamamen giyinik.,Ella también está completamente vestida.
2387,"My arms are raised; she holds my hands, each of mine in each of hers.","Hai tay tôi giơ lên; bà ta nắm lấy tay tôi, mỗi bàn tay một bàn tay.","Kollarım kalkık; ellerim ellerinin içinde, ellerimi tutuyor.",Tengo los brazos levantados; ella me sujeta las dos manos con las suyas.
2388,"This is supposed to signify that we are one flesh, one being.","Việc đó được coi như hàm nghĩa chúng tôi chung một xác thịt, một thực thể.","Bu tek bir beden, tek bir varlık olduğumuzu belirtme amacı taşıyor.",Se supone que esto significa que somos una misma carne y un mismo ser.
2389,"What it really means is that she is in control, of the process and thus of the product.","Còn nghĩa thực sự là bà ta nắm quyền kiểm soát, suốt cả quá trình, và do đó cả sản phẩm của quá trình ấy.",Gerçek anlamı şu: Kontrolü elinde tutan Serena; işlemin ve böylece ürünün kontrolünü.,"Pero el verdadero sentido es que ella controla el proceso y el producto de éste, si es que existe alguno."
2391,The rings of her left hand cut into my fingers.,Mấy cái nhẫn trên tay trái cắt vào những ngón tay tôi.,Sol elindeki yüzükler parmaklanma batıyor.,"Los anillos de su mano izquierda se clavan en mis dedos, cosa que podría ser una venganza, O no."
2393,"My red skirt is hitched up to my waist, though no higher.","Tấm váy đỏ gài ngược lên thắt lưng tôi, tuy chỉ đến đấy là hết.","Kırmızı eteğim belime kadar kaldırılmış, ama daha yukarıya değil.","Tengo la falda roja levantada, pero sólo hasta la cintura."
2394,Below it the Commander is fucking.,Bên dưới đó viên Chủ soái đang đụ.,Aşağıda da Komutan sikiyor.,"Debajo de ésta, el Comandante está follando."
2395,What he is fucking is the lower part of my body.,Đối tượng là hạ bộ người tôi.,Siktiği bedenimin alt tarafı.,Lo que está follando es la parte inferior de mi cuerpo.
2396,"I do not say making love, because this is not what he's doing.","Tôi không nói là làm tình, bởi đây không phải ông ta đang làm tình.","Aşk yapıyor demiyorum, çünkü yaptığı bu değil.","No digo haciendo el amor, porque no es lo que hace."
2397,"Copulating too would be inaccurate, because it would imply two people and only one is involved.","Giao cấu cũng không chính xác, bởi từ này nói đến hai phía tham gia mà đây chỉ một.","Çiftleşiyor demek de doğru olmazdı, çünkü bu iki insanın varlığına işaret ederdi, ama bu işin içinde sadece bir insan var.","Copular tampoco sería una expresión adecuada, porque supone la participación de dos personas, y aquí sólo hay una implicada."
2398,Nor does rape cover it: nothing is going on here that I haven't signed up for.,Cưỡng hiếp cũng không thích hợp luôn: mọi chuyện diễn ra đây không có gì không được tôi chấp thuận.,Ne de tecavüz tanımına girer: Burada benim istemediğim hiçbir şey olmuyor.,Pero tampoco es una violación: no ocurre nada que yo no haya aceptado.
2399,"There wasn't a lot of choice but there was some, and this is what I chose.","Không có nhiều lựa chọn, nhưng cũng có, và tôi đã chọn cái này.","Seçenekler çok değildi, ama hiç yoktan birkaç tane vardı, benim seçtiğim de bu.","No había muchas posibilidades, pero había algunas, y ésta es la que yo elegí."
2400,Therefore I lie still and picture the unseen canopy over my head.,Vậy là tôi nằm yên và phác thảo trong đầu tấm màn không nhìn thấy.,Bu nedenle hareketsiz yatıyorum ve başımın üstünde yer alan görünmez kubbeyi zihnimde canlandırıyorum.,"Por lo tanto, me quedo quieta y me imagino el dosel por encima de mi cabeza."
2401,I remember Queen Victoria's advice to her daughter: Close your eyes and think of England.,Tôi nhớ đến lời nữ hoàng Victoria khuyên con: Cứ nhắm mắt lại và nghĩ tới nước Anh.,Kraliçe Viktorya'nın kızına verdiği nasihati hatırlıyorum. Gözlerini kapa ve İngiltere'yi düşün.,Recuerdo el consejo que la Reina Victoria le dio a su hija: Cierra los ojos y piensa en Inglaterra.
2402,But this is not England.,Nhưng đây không phải nước Anh.,Ama söz konusu olan İngiltere değil.,Pero esto no es Inglaterra.
2403,I wish he would hurry,Tôi ước ông ta nhanh lên cho rồi.,Keşke biraz acele etse.,Ojalá él se diera prisa.
2405,Maybe I'm crazy and this is some new kind of therapy.,Cũng có thể tôi đang điên và đây là một loại hình trị liệu mới.,Belki de ben deliyim ve bu da yeni bir terapi türü.,"Quizás estoy loca, y esto es una forma nueva de terapia."
2406,I wish it were true; then I could get better and this would go away.,"Tôi ước đúng là như thế; như vậy bệnh tình có thể tiến triển, và chuyện này sẽ thôi.",Keşke bu doğru olsaydı; böylece iyileşirdim ve bu olay geçip giderdi.,"Ojalá fuera verdad, porque entonces me pondría bien y esto se acabaría."
2408,"Joy grips my hands as if it is she, not I, who's being fucked, as if she finds it either pleasurable or painful, and the Commander fucks, with a regular two-four marching stroke, on and on like a tap dripping.","Serena Joy bóp chặt tay tôi cứ như bà, chứ không phải tôi, đang bị đụ, cứ như bà là người cảm thấy hoặc thống khoái hoặc đau đớn, và viên Chủ soái tiếp tục, theo một nhịp quân hành hai-bốn, lặp đi lặp lại như vòi nước rỉ.","Serena Joy ellerimi sıkıyor, sanki sikilen ben değilim de o, sanki bunu zevkli ya da acı verici bulan o ve Komutan sikmeyi sürdürüyor, ara vermeksizin damlayan bir musluk gibi, düzenli bir-iki'lik yürüyüş ritmiyle.","Serena Joy me aprieta las manos como si fuera a ella —y no a mí— a quien están follando, como si sintiera placer o dolor, y el Comandante sigue follando con un ritmo regular, como sí marcara el paso, como un grifo que gotea sin parar."
2409,"He is preoccupied, like a man humming to himself in the shower without knowing he's humming; like a man who has other things on his mind.","Ông ta chìm đắm tận đâu, như người ngâm nga trong khi tắm mà không tự biết, như còn bận bịu chuyện khác trong đầu.","Komutan'ın aklı başka yerde, farkında olmadan duşta kendi kendine mırıldanan bir adam gibi; aklında başka şeyler olan bir adam gibi.","Está preocupado, como un hombre que canturrea bajo la ducha sin darse cuenta de que canturrea, como si tuviera otras cosas en la cabeza."
2410,"It's as if he's somewhere else, waiting for himself to come, drumming his fingers on the table while he waits.","Cứ như ông ta đang ở một nơi nào, chờ chính mình đang tới, ngón tay gõ lách cách trên mặt bàn.","Sanki başka bir yerdeymiş gibi, kendi boşalmasını bekleyen, beklerken de masanın üstünde parmaklarıyla trampet çalan.","Es como si estuviera en otro sitio, esperándose a sí mismo y tamborileando con los dedos sobre la mesa mientras espera."
2411,There's an impatience in his rhythm now.,Nhịp điệu ông ta giờ có vẻ hối thúc.,Ritminde bir sabırsızlık var şimdi.,Ahora su ritmo se vuelve un tanto impaciente.
2412,"But isn't this everyone's wet dream, two women at once?",Nhưng chẳng phải đây là giấc mộng tình lý tưởng hay sao - hai người đàn bà một lúc?,"Ama bu herkesin cinsel düşü değil mi, bir kerede iki kadın?",¿Acaso estar con dos mujeres al mismo tiempo no es el sueño de todo hombre?
2413,They used to say that.,Họ thường bảo thế.,Eskiden söylerlerdi bunu.,"Eso decían, lo consideraban excitante."
2414,"Exciting, they used to say.","Cực kỳ kích thích, họ thường nói vậy còn gì.","Heyecan verici, derlerdi eskiden.","Eso decían, lo consideraban excitante."
2415,"What's going on in this room, under Serena Joy's silvery canopy, is not exciting.","Còn điều đang diễn ra trong phòng này, dưới tấm màn bạc của Serena Joy, không có gì kích thích.","Bu odada, Serena Joy'un gümüşsü kubbesinin altında olup bitenler heyecan verici değil.","Pero lo que ocurre en esta habitación, bajo el dosel plateado de Serena Joy, no es excitante."
2416,It has nothing to do with passion or love or romance or any of those other notions we used to titillate ourselves with.,Nó không dính gì tới đam mê hay yêu đương hay lãng mạn hay bất cứ khái niệm nào trong số chúng ta thường dùng tự đốt nóng mình ngày trước.,Tutku ya da aşk ya da romans ya da eskiden kendimizi kaptırdığımız bütün o düşüncelerle hiç ilgisi yok bunun.,"No tiene nada que ver con la pasión, ni el amor, ni el romance, ni ninguna de esas ideas con las que solíamos estimularnos."
2417,"It has nothing to do with sexual desire, at least for me, and certainly not for Serena.","Nó không dính gì tới ham muốn tình dục, ít nhất với tôi, và Serena chắc chắn càng không.","Cinsel arzuyla da ilgisi yok, en azından benim için ve elbette Serena Joy için de.","No tiene nada que ver con el deseo sexual, al menos para mí, y tampoco para Serena."
2418,"Arousal and orgasm are no longer thought necessary; they would be a symptom of frivolity merely, like jazz garters or beauty spots: superfluous distractions for the light-minded.","Động tình hay lên đỉnh không còn được coi là đòi hỏi; mấy thứ đó chỉ còn là dấu hiệu của bệnh phù phiếm, như nịt tất ren hay nốt ruồi duyên: trò giải khuây vô nghĩa của lũ nông cạn.","Tahrik ve orgazm artık gerekli görülmüyor; salt abesle iştigal belirtisi sayılıyor, gözalıcı jartiyerler ya da güzellik adına yüze kondurulan benler gibi: sığ düşünceliler için gereksiz sapmalar.","La excitación y el orgasmo ya no se consideran necesarios; sería un síntoma de simple frivolidad, como las ligas de colores y los lunares postizos: distracciones superfluas para las mentes vacías."
2419,Outdated.,Lỗi thời rồi.,Modası geçmiş.,Algo pasado de moda.
2420,"It seems odd that women once spent such time and energy reading about such things,thinking about them, worrying about them, writing about them.","Có phần kỳ quái khi nhớ lại đàn bà ngày xưa từng bỏ nhiều thời gian công sức đến thế cho những chuyện này, đọc về chúng, nghĩ về chúng, băn khoăn lo lắng, viết về chúng nữa.","Kadınların bir zamanlar bu tür şeyleri okumak, onlar hakkında düşünmek, endişelenmek ve \ azmak için bunca zaman ve enerji harcadıklarını bilmek tuhaf geliyor insana.","Parece mentira que antes las mujeres perdieran tanto tiempo y energías leyendo sobre este tipo de cosas, pensando en ellas, preocupándose por ellas, escribiendo sobre ellas."
2421,They are so obviously recreational.,Tính chất tiêu khiển quá hiển nhiên.,Eğlenceli oldukları öylesine açık ki.,"Evidentemente, no son más que pasatiempos."
2422,"This is not recreation, even for the Commander.","C̣n đây không phải là tiêu khiển, kể cả với Chủ soái.","Eğlence değil bu, Komutan için bile.","Esto no es un pasatiempo, ni siquiera para el Comandante."
2424,"The Commander, too, is doing his duty.","Đây là làm ăn nghiêm túc. Cả Chủ soái nữa, ông ta cũng đang thực hiện bổn phận.",Komutan da görevini yapıyor.,El Comandante también está cumpliendo con su deber.
2425,"If I were going to open my eyes a slit, I would be able to see him, his not-unpleasant face hanging over my torso, with a few strands of his silver hair falling perhaps over his forehead, intent on his inner journey, that place he is hurrying towards, which recedes as in a dream at the same speed with which he approaches it.","Nếu he hé mắt ra chút ít, tôi sẽ thấy ông ta, khuôn mặt không quá kém ưa nhìn lơ lửng trên thân mình, vài lọn tóc bạc có lẽ phất phơ trước trán, chú tâm vào chuyến đi bên trong, vào vị trí ông đang hối hả nhằm tới, cái đích như trong giấc mơ cứ lùi xa cùng tốc độ ông tiến tới.","Gözlerimi biraz açacak olsam, onu görebilirdim, gövdem üzerinde asılı, birkaç tutam gümüş saçın alnına düştüğü, bir rüyada olduğu gibi yaklaştığı hızla ondan kaçan o yere doğru pür telaş yaptığı yolculuğa bütün dikkatini vermiş, sevimsiz olmayan yüzünü.","Si abriera los ojos —aunque fuera levemente— podría verlo, podría ver su nada desagradable rostro suspendido sobre mi torso, algunos mechones de su pelo plateado quizá cayendo sobre su frente, absorto en su viaje interior, el lugar hacia el cual avanza de prisa y que, como en un sueño, retrocede a la misma velocidad a la cual él se acerca."
2426,I would see his open eyes.,Tôi sẽ nhìn thấy đôi mắt mở của ông.,Açık gözlerini görürdüm.,Vería sus ojos abiertos.
2427,If he were better looking would I enjoy this more?,Nêu ông điển trai hơn liệu tôi có thích thú hơn?,"Daha yakışıklı olsaydı, bu işten daha çok hoşlanır mıydım acaba?","¿Si él fuera más guapo, yo disfrutaría más?"
2428,"At least he's an improvement on the previous one, who smelled like a church cloakroom in the rain; like your mouth when the dentist starts picking at your teeth; like a nostril.","Ít nhất ông ta cũng là tiến bộ so với ông trước, bốc mùi như phòng để mũ áo nhà thờ ngày mưa, như khoang miệng khi nha sĩ bắt đầu lấy cao răng, như một cái lỗ mũi.","Yağmurda bir kilise vestiyeri gibi, dişçi dişinizi delmeye başladığında ağzınız gibi, bir burun deliği gibi kokan öncekine göre bir ilerleme en azından.","Al menos es un progreso con respecto al primero, que olía como el guardarropas de una iglesia, igual que tu boca cuando el dentista empieza a hurgar en ella, como una nariz."
2429,"The Commander, instead, smells of mothballs, or is this odor some punitive form of aftershave?","Chủ soái này, trái lại, tỏa mùi băng phiến; hay là một dạng nước hoa cạo râu nhằm gây khốn khổ? Sao ông phải mặc cái bộ quân phục ngu xuẩn đó?","Oysa bu Komutan naftalin topları gibi kokuyor, yoksa bu koku traş losyonunun bir tür cezalandırma biçimi mi?","El Comandante, en cambio, huele a naftalina, ¿o acaso este olor es una forma punitiva de la loción para después de afeitarse?"
2431,"But would I like his white, tufted raw body any better?",Nhưng liệu thân thể trần trụi phớt lông trắng bệch của ông có khá hơn gì cho tôi?,"İyi de, beyaz, pörsümüş, çiğ bedeninden daha mı çok hoşlanırdım acaba?","Sin embargo, ¿me gustaría más su cuerpo blanco y desnudo?"
2432,Kissing is forbidden between us.,Theo quy định cấm hôn.,Aramızda öpüşmek yasak.,"Entre nosotros está prohibido besarse, lo cual hace que esto sea más llevadero."
2434,One detaches oneself.,Người ta tự tách khỏi mình.,İnsan kendini uzaklaştırıyor.,"Te encierras en ti misma, te defines."
2435,One describes.,Người ta mô tả.,Tanımlamaya başlıyor.,"Te encierras en ti misma, te defines."
2436,"He comes at last, with a stifled groan as of relief.","Cuối cùng ông cũng tới, để thoát một tiếng rên nghèn nghẹt như giải thoát.","Sonunda geliyor, rahatlamış gibi, boğuk bir iniltiyle.","El Comandante llega al final dejando escapar un gemido sofocado, como si sintiera cierto alivio."
2437,"Serena Joy, who has been holding her breath, expels it.","Serena Joy, trước vẫn nín thở, giờ hắt ra.",Serena Joy nefesini bırakıyor.,"Serena Joy, que ha estado conteniendo la respiración, suspira."
2438,"The Commander, who has been propping himself on his elbows, away from our combined bodies, doesn't permit himself to sink down into us.","Chủ soái, trước vẫn chống trên hai khuỷu, khỏi chạm vào đôi thân thể nhập một, giờ không cho mình đắm chìm vào bên trong chúng tôi.",Birleşik bedenlerimizden uzakta dirseklerinden destek alan Komutan kendini üstümüze bırakmamaya özen gösteriyor.,"El Comandante, que estaba apoyado sobre sus codos y separado de nuestros cuerpos unidos, no se permite penetrar en nosotras."
2439,"He rests a moment, withdraws, recedes, rezippers.","Ông nghỉ một lát, thu lại, rút lui, cài lại khóa.","Bir an için dinleniyor, çıkıyor, geri çekiliyor, fermuarını kapatıyor.","Descansa un momento, se aparta, retrocede y se sube la cremallera."
2440,"He nods, then turns and leaves the room, closing the door with exaggerated carebehind him, as if both of us are his ailing mother.","Ông gật đầu, rồi quay đi rời khỏi căn phòng, đóng cửa một cách cẩn trọng quá đáng, cứ như đôi chúng tôi là một bà mẹ đau yếu.","Başını sallıyor, sonra dönüp sanki ikimiz de onun hasta annesiymişiz gibi abartılı bir dikkatle kapıyı kapatarak odayı terk ediyor.","Asiente con la cabeza, luego se gira y sale de la habitación, cerrando la puerta con exagerada cautela, como si nosotras dos fuéramos su madre enferma."
2441,"There's something hilarious about this, but I don't dare laugh.","Chuyện này có gì đó nực cười vô kể, nhưng tôi không dám cười.","Gülünç bir şeyler var bunda, ama gülmeye cesaret edemiyorum.","En todo esto hay algo hilarante, pero no me atrevo a reírme."
2443,Joy lets go of my hands.,Serena Joy buông tay tôi.,Serena Joy ellerimi bırakıyor.,Serena Joy me suelta las manos.
2446,"She's supposed to have me rest, for ten minutes, with my feet on a pillow to improve the chances.","“Cô dậy được rồi,” bà nói. “Dậy và ra ngay.” Đáng ra bà phải để tôi nghỉ, chừng mười phút, chân gác lên gối, để tăng xác suất.",Şansı arttırmak için ayaklarım bir yastık üstünde beni on dakika dinlendirmesi gerekiyor aslında.,Se supone que debe dejarme reposar durante diez minutos con los pies sobre un cojín para aumentar las posibilidades.
