line_no,Ent,en,vi,tr,es
919,,Fifty feet from the door a dozen headlights illuminated a bizarre and tumultuous scene.,Cách cánh cửa chừng năm mươi thước có khoảng một chục ánh đèn xe rọi sáng chiếu một cảnh tượng kỳ quái và ồn ào huyên náo.,Kapıdan birkaç metre ötede bir düzine otomobil farı kargaşa dolu ve tuhaf bir manzarayı aydınlatıyordu.,A unos quince metros de la puerta los faros de los coches iluminaban una escena rara y tumultuosa.
920,,"In the ditch beside the road, right side up, but violently shorn of one wheel, rested a new coupé which had left Gatsby’s drive not two minutes before.","Chiếc xe hơi hai chỗ mới nguyên vừa mới rời nhà Gatsby cách đây chưa đầy hai phút bây giờ đang nằm kẹt mương bên đường, phía bên phải xe nhếch lên để lộ thấy một bánh xe đã bị hoàn toàn đứt lìa.","Tekerleklerinden biri yolun yanındaki kanala girerek kırılmış yepyeni, spor bir araba sol tarafına yatmıştı. Gatsby’nin evinden iki dakika önce ayrılan davetlilerden biriydi bu.","En la carretera, en la cuneta, sin haber llegado a volcar, pero habiendo perdido una rueda por la violencia del golpe, yacía un cupé nuevo que había salido del camino de entrada a la casa de Gatsby menos de dos minutos antes."
921,,"The sharp jut of a wall accounted for the detachment of the wheel, which was now getting considerable attention from half a dozen curious chauffeurs.","Phần nhô ra đột ngột của bức tường là nguyên do làm xe gẫy bánh. Sự việc này đã gây tò mò không ít đến cho khoảng nửa chục tài xế, họ ngừng xe bước ra ngoài nhìn để xe nằm chắn hết cả đường.","Tekerleğin fırlamasına duvarın sivri çıkıntısı neden olmuş, yarım düzine kadar meraklı sürücü topluluğu durumu dikkatle incelemeye koyulmuştu.","Un pronunciado saliente en la pared explicaba la pérdida de la rueda, que ahora atraía toda la atención de un grupo de chóferes curiosos."
922,,"However, as they had left their cars blocking the road, a harsh, discordant din from those in the rear had been audible for some time, and added to the already violent confusion of the scene.","Tiếng huyên náo la hét cục cằn và tiếng kèn chói tai từ những chiếc xe kẹt ở phía sau nổi lên cũng khá lâu, càng làm cho cảnh tượng thêm hỗn độn.","Hepsi arabalarını yolun ortasına bıraktığından ar­ada kalanların kornalarından çıkan akortsuz, tiz sesler kulak tırmalıyor, karmaşayı iyiden iyiye artırıyordu.","Pero, como habían bloqueado la carretera con sus coches, llevaba oyéndose un rato la ruidosa y disonante protesta de los que venían detrás, y eso aumentaba la violenta confusión de la escena."
923,,"A man in a long duster had dismounted from the wreck and now stood in the middle of the road, looking from the car to the tyre and from the tyre to the observers in a pleasant, puzzled way.",Một người đàn ông trong chiếc áo khoác dài bước ra khỏi chiếc xe bị nạn ra đứng ngay giữa đường. Ông ta nhìn một cách khôi hài và bối rối hết từ chiếc xe tới chiếc bánh xe rồi nhìn từ chiếc bánh xe tới những người đang đứng quan sát.,"Enkazdan, üzerinde uzunca bir tozluk olan bir adam çıkıp yolun ortasında durdu. Hoşnut ama şaşkın bakan gözleri arabadan tekere tekerden izleyicilere dönüyordu.","Un hombre con un guardapolvo muy largo se había bajado del coche siniestrado y, en mitad de la carretera, sus ojos iban del coche a la rueda y de la rueda a los espectadores, afable y perplejo a la vez."
924,,“See!” he explained.,"Ông ta giải thích. ""Thấy đó.","“Görüyorsunuz ya” diye açıklıyordu, “kanala girdi.","—Fíjense, se ha metido en la cuneta."
925,,“It went in the ditch.”,"Nó đã rơi xuống rãnh.""",Olaya çok şaşırdığı belliydi.,"—Fíjense, se ha metido en la cuneta."
926,,"The fact was infinitely astonishing to him, and I recognized first the unusual quality of wonder, and then the man—it was the late patron of Gatsby’s library.","Trông như sự việc đã gây một kinh ngạc vô bờ đến cho ông ta. Tôi trước tiên nhận ra cái sự ngạc nhiên không bình thường này, sau đó thì nhận ra ông ta là người khách đã ở trong thư viện nhà Gatsby lúc nãy.",Önce bu aşırı şaşkın tepkiyi sonra da adamı tanıdığımı fark ettim. Gatsby’nin kütüphanesinin geç saatteki müdavimiydi.,"El hecho le producía verdadero asombro, y reconocí primero aquel inusitado sentido de lo maravilloso, y luego al individuo: era el usuario de la biblioteca de Gatsby."
927,,“How’d it happen?”,"""Sao nó bị như vậy?""",“Nasıl oldu bu?,—¿Cómo ha sido?
928,,He shrugged his shoulders.,"""Tôi không biết một chút gì về máy móc cả."" Ông ta nhún vai quả quyết nói.",Omuzlarını silkti.,Se encogió de hombros.
929,,"“I know nothing whatever about mechanics,” he said decisively.","""Tôi không biết một chút gì về máy móc cả."" Ông ta nhún vai quả quyết nói.",“Ben makinelerden hiç anlamam” diye kestirip attı.,—No tengo ni idea de mecánica —dijo rotundamente.
930,,“But how did it happen?,"""Thế nhưng sao nó lại bị như vậy?",“Peki kaza nasıl oldu?,—Pero ¿cómo ha sido? ¿Ha chocado con la pared?
931,,Did you run into the wall?”,Ông chạy tông vào tường à,Duvara mı tosladınız?,—Pero ¿cómo ha sido? ¿Ha chocado con la pared?
932,,"“Don’t ask me,” said Owl Eyes, washing his hands of the whole matter.","""Đừng hỏi tôi."" Ông mắt cú vọ nói, phủi tay khỏi mọi chuyện.","“Bana sormayın” dedi Baykuş gözlü durumdan sıyrılmaya çalışarak, “araba kullanmayı pek bilmem, hatta hiç bilmem.","—No me lo pregunte —dijo Ojos de Búho, lavándose las manos a propósito del accidente—."
934,,"It happened, and that’s all I know.”","Tôi chỉ biết là nó đã bị hư, thế thôi.""",Bir kazadır oldu işte. Tüm bildiğim bu.,"Ha sido, y eso es todo lo que sé."
935,,"“Well, if you’re a poor driver you oughtn’t to try driving at night.”","""Nếu như ông là tài xế tồi, thì đừng nên cố lái xe vào ban tối.""","“Kötü bir sürücüyseniz, gece kullanmayı denemeyin.","—Pues si no conduce bien, no debería conducir de noche."
936,,"“But I wasn’t even trying,” he explained indignantly, “I wasn’t even trying.”","""Nhưng tôi đâu có cố lái đâu."" Ông ta giải thích một cách căm phẩn ""Tôi đâu phải đang cố đâu.""","“Ben kullanıyordum ki” dedi biraz kırgın, “kullanan ben değildim.","—Pero si no sé conducir —respondió, indignado—. No he conducido en mi vida."
938,,“Do you want to commit suicide?”,"""Anh may mắn lắm nó chỉ là cái bánh xe.",“Canından olmak mı istiyorsun?,—¿Quiere suicidarse?
939,,“You’re lucky it was just a wheel!,"""Anh may mắn lắm nó chỉ là cái bánh xe.",“Şansın varmış ki yalnızca teker çıkmış!,—¡Tiene suerte de que sólo haya sido una rueda!
940,,A bad driver and not even trying!”,"Đã là một tài xế tồi vậy mà còn không nghĩ cả tới chuyện cố gắng.""","Hem kötü sürücü, hem de kullanmıyormuş",¡No sabe conducir! ¡Ni siquiera había cogido un coche en su vida!
941,,"“You don’t understand,” explained the criminal.","""Các anh không hiểu."" Tội phạm giải thích.","“Anlamıyorsunuz” dedi suçlu suçlu, “arabayı kullanan ben değildim.",—No me entienden —explicó el criminal—.
943,,There’s another man in the car.”,"Còn có người khác ở trong xe.""",İçerde biri daha var.,Hay otro hombre en el coche.
944,,The shock that followed this declaration found voice in a sustained “Ah-h-h!” as the door of the coupé swung slowly open.,"Những tiếng kêu ""Aaaa..."" kéo dài bày tỏ nỗi kinh ngạc của mọi người sau khi nghe lời giải thích này. Rồi thì cánh cửa của chiếc xe hai chỗ đó từ từ mở ra.","Bu itirafın neden olduğu şaşkınlık, “Aaa!” sesleriyle canlanırken spor arabanın kapısı yavaşça aralandı.",La impresión que provocó esta declaración se dejó oír en un «Ahhh» inacabable mientras la puerta del coche se abría muy despacio.
945,,"The crowd—it was now a crowd—stepped back involuntarily, and when the door had opened wide there was a ghostly pause.","Đám đông, bây giờ thì đã thành đám đông rồi, tự giác bước lùi ra sau. Sau khi cánh cửa xe được mở rộng hẳn thì nó ngừng lại đứng yên một lát trông như ma quái.",Kalabalık -et­rafımız iyice dolmuştu- gönülsüzce geri çekildi. Kapı açıldığında tuhaf bir durgunluk oldu.,"La multitud —era ya una multitud— retrocedió instintivamente, y cuando la puerta acabó de abrirse se produjo un silencio espectral."
946,,"Then, very gradually, part by part, a pale, dangling individual stepped out of the wreck, pawing tentatively at the ground with a large uncertain dancing shoe.","Từng phần từng phần từ từ nhô ra khỏi chiếc xe là một người mặt xanh mét, lảo đảo bước ra, chân trong chiếc giày khổ lớn ngập ngừng qua lại dò dẫm trên mặt đất.","Soluk yüzlü, cılız bir adam, elinde tuttuğu koca bir dans ayakkabısıyla, sağa sola tutunarak enkazdan adeta parça parça çıktı.","Entonces, muy poco a poco, por partes, un individuo pálido y bamboleante salió del coche siniestrado, tanteando sin mucha seguridad el suelo con un descomunal zapato de baile."
947,,"Blinded by the glare of the headlights and confused by the incessant groaning of the horns, the apparition stood swaying for a moment before he perceived the man in the duster.","Bị chói mắt vì những ánh đèn xe rọi và bối rối bởi những tiếng còi xe rền la không ngớt, cái hình người mới xuất hiện đó đứng lảo đảo một lát trước khi nhận ra người đàn ông trong chiếc áo khoác dài.","Farlardan gözü kamaşan, aralıksız öten kornalardan şaşkına dönen hayalet kılıklı kişi, uzun tozluklu adamı fark etmeden önce olduğu yerde bir süre sallandı.","Cegada por el resplandor de los faros y confundida por el incesante gemir de las bocinas, la aparición se tambaleó unos segundos antes de reparar en el hombre del guardapolvo."
948,,“Wha’s matter?” he inquired calmly.,"""Có chuyện gì?",“Ne oldu” diye sordu sakince “benzin mi bitti?,—¿Qué pasa? —preguntó muy tranquilo—.
949,,“Did we run outa gas?”,"Chúng ta hết xăng hả?"" Ông ta hỏi một cách điềm tĩnh.",“Ne oldu” diye sordu sakince “benzin mi bitti?,¿Nos hemos quedado sin gasolina?
951,,"Half a dozen fingers pointed at the amputated wheel—he stared at it for a moment, and then looked upward as though he suspected that it had dropped from the sky.",Khoảng nửa chục ngón tay chỉ vào chiếc bánh xe đã bị đứt lìa. Ông ta nhìn trừng nó một lát sau đó ngước nhìn lên cao làm như đang nghi ngờ có phải nó đã rớt từ trên trời xuống.,"Yarım düzine işaret parmağı kopmuş tekerleği gösteriyordu. Adam bir süre baktıktan sonra, yukarıdan düştüğünü sanmış olacak ki kafasını kaldırıp gökyüzüne baktı.",Media docena de dedos señalaron hacia la rueda amputada. La miró fijamente un momento y luego miró hacia arriba como si sospechara que había llovido del cielo.
952,,"“It came off,” someone explained.","""Nó bị rớt ra."" Người nào đó giải thích.",“Teker fırlamış” diye bir açıkladı biri.,—Se ha desprendido.
953,,He nodded.,Ông ta gật đầu.,Adama başını salladı.,Asintió.
954,,“At first I din’ notice we’d stopped.”,"""Tôi đã không để ý xe chúng tôi đã ngừng lại.""",“Durduğumuzu fark etmedim.,—Al principio no me di cuenta de que nos habíamos parado.
956,,"Then, taking a long breath and straightening his shoulders, he remarked in a determined voice:","Ngừng một lát, sau đó hít một hơi dài và ưỡn thẳng vai lên, ông ta nói với giọng kiên quyết.","Adam derin bir nefes alarak omuzlarını dikleştirdikten sonra kararlı bir sesle, “Bana benzin istasyonunun yerini söyleyecek biri var mı?” dedi","Luego, tomando aire y poniéndose muy derecho, preguntó con decisión:"
957,,“Wonder’ff tell me where there’s a gas’line station?”,"""Không biết có ai có thể cho tôi hay trạm xăng ở đâu không?""","Adam derin bir nefes alarak omuzlarını dikleştirdikten sonra kararlı bir sesle, “Bana benzin istasyonunun yerini söyleyecek biri var mı?” dedi",—¿Podrían decirme dónde hay una gasolinera?
958,,"At least a dozen men, some of them a little better off than he was, explained to him that wheel and car were no longer joined by any physical bond.","Ít nhất có khoảng một chục người đàn ông, vài người trong số họ tỉnh táo hơn ông ta, giải thích cho ông ta hiểu rằng không còn mảnh gì nối dính giữa bánh và xe nữa.","Ondan biraz daha ayık, en az bir düzine insan, tekerlekle otomobil arasında artık fiziksel bir bağ olmadığını anlatmaya çalıştı.","Por lo menos una docena de hombres, algunos apenas en mejor estado que él, le explicaron que la rueda y el coche ya no estaban unidos por ningún tipo de vínculo material."
959,,"“Back out,” he suggested after a moment.","""De lại."" Sau một lát ông ta đưa ý kiến.",Aradan bir dakika geçti.,—Salir marcha atrás —sugirió al cabo de un momento—.
962,,He hesitated.,Ôg ta hơi ngập ngừng.,Biraz durdu.,El hombre dudó.
963,,"“No harm in trying,” he said.","""Có thử cũng chẳng nguy hại gì.""",“Denemekten zarar gelmez.,—No se pierde nada con probar —dijo.
964,,The caterwauling horns had reached a crescendo and I turned away and cut across the lawn toward home.,"Tiếng còi xe kêu như mèo gào đã lên tới cực độ, tôi quay lưng bước tắt ngang bãi cỏ đi về nhà, chỉ ngoảnh lại liếc nhìn thêm một lần.",Kornaların viyaklamaları dayanılmaz hale gelmişti. Oradan uzaklaşıp aradaki yeşil alanı geçerek evin yolunu tuttum.,"El aullido de las bocinas iba in crescendo. Di media vuelta y, pisando el césped, me fui a casa."
966,,"A wafer of a moon was shining over Gatsby’s house, making the night fine as before, and surviving the laughter and the sound of his still glowing garden.","Mảnh trăng tròn mỏng manh đang lung linh tỏa ánh sáng lên trên nhà Gatsby tạo ra một buổi tối trăng thanh xinh đẹp giống như những đêm trăng trước, làm như trăng không bị hề hấn gì bởi những tiếng cười và những tiếng động phát ra từ khu vườn vẫn còn rực rỡ.","Gatsby’nin evi üzerinde parlayan ay geceyi daha da güzelleştiriyor, kahkaha ve seslerin dindiği, parlak bahçeye hala hayat veriyordu.","La luna, como una hostia, brillaba sobre la casa de Gatsby para que la noche fuera tan hermosa como antes: había sobrevivido a las risas y a los ruidos del jardín, todavía iluminado."
967,,"A sudden emptiness seemed to flow now from the windows and the great doors, endowing with complete isolation the figure of the host, who stood on the porch, his hand up in a formal gesture of farewell.","Một nỗi trống trải đột nhiên tràn ra từ những cửa sồ và những của lớn, bủa vây cô lập hoàn toàn hình dáng người chủ nhà đang đừng trước hiên với cánh tay giơ cao vẫy chào tạm biệt một cách trang trọng.","Pencere ve görkemli kapılardan dışarı zamansız bir boşluk taşıyor, o boşluk terasta durup elini resmi bir veda için kaldıran sahibine büyük bir yalnızlık bahşediyordu.","Un vacío repentino parecía fluir ahora de las ventanas y las puertas inmensas, envolviendo en un aislamiento absoluto al anfitrión, que seguía en el porche, con la mano levantada en un protocolario gesto de despedida."
968,,"Reading over what I have written so far, I see I have given the impression that the events of three nights several weeks apart were all that absorbed me.","Đọc lại những gì tôi đã viết cho tới giờ, tôi nghĩ tôi đã tạo cho người đọc có cảm giác như những sự việc xẩy ra trong ba đêm, cách nhau nhiều tuần, đều là những việc mà tôi miệt mài chăm chú. Trái ngược lại, chúng chỉ là những sự việc thông thường trong một mùa hè bận rộn, và mãi sau này chúng mới khiến tôi quan tâm một cách vô hạn còn hơn cả những vấn đề cá nhân của tôi.","Şimdiye dek yazdıklarıma bakınca, dikkatimin birkaç hafta arayla üç ayrı gecede toplandığını anlıyorum.","Al releer lo que llevo escrito, creo haber dado la impresión de que los acontecimientos de tres noches separadas entre sí por varias semanas me absorbieron por completo."
969,,"On the contrary, they were merely casual events in a crowded summer, and, until much later, they absorbed me infinitely less than my personal affairs.","Đọc lại những gì tôi đã viết cho tới giờ, tôi nghĩ tôi đã tạo cho người đọc có cảm giác như những sự việc xẩy ra trong ba đêm, cách nhau nhiều tuần, đều là những việc mà tôi miệt mài chăm chú. Trái ngược lại, chúng chỉ là những sự việc thông thường trong một mùa hè bận rộn, và mãi sau này chúng mới khiến tôi quan tâm một cách vô hạn còn hơn cả những vấn đề cá nhân của tôi.","Oysa bunlar hareketli bir yaz mevsiminin olağan etkinlikleriydi ve üzerinden çok zaman geçene kadar, kendi gönül işlerimden çok daha az meşgul ediyorlardı beni.","Todo lo contrario: sólo fueron acontecimientos sin importancia en un verano muy ajetreado, y, hasta mucho después, me absorbieron infinitamente menos que mis propios asuntos."
970,,Most of the time I worked.,Tôi dành hầu hết thời giờ của mình vào cho làm việc.,Zamanımın çoğunu çalışarak geçiriyordum.,Pasé trabajando la mayor parte del tiempo.
971,,In the early morning the sun threw my shadow westward as I hurried down the white chasms of lower New York to the Probity Trust.,"Vào mỗi buổi sáng sớm trong lúc nắng mặt trời chiếu ngã chiếc bóng của tôi về phía tây, thì lúc đó tôi đang vội vã đi trong lòng những vực thẳm trắng của phố dưới New York tới chỗ làm việc tên Probity Trust.","Sabahın erken saatlerinde güneş gölgemi batı yönünde uzatırken, New York’un aşağı mahallelerinin beyaz vadilerinden geçerek Probity Şirketi’ne doğru koşturuyordum.","A primera hora de la mañana, el sol proyectaba mi sombra hacia el oeste y yo descendía a toda prisa los blancos abismos que llevan de la zona baja de Nueva York al Probity Trust."
972,,"I knew the other clerks and young bond-salesmen by their first names, and lunched with them in dark, crowded restaurants on little pig sausages and mashed potatoes and coffee.","Tôi quen thân với những thư ký và những nhân viên bán chứng khoán trẻ khác trong sở, gọi họ bằng tên gọi thân mật. Chúng tôi cùng nhau ăn trưa trong những quán ăn tối tăm đông đúc với những món như xúc xích heo, khoai tây nghiền và cà phê.",Şirketteki katiplerin ve senet satıcısı gençlerin hepsinin adını bilirdim. Birlikte loş ve kalabalık lokantalarda oturur sosis ve patates püresi yer kahve içerdik.,"Conocía por sus nombres a los otros empleados y a los jóvenes vendedores de bonos, y en restaurantes atestados y oscuros comía con ellos salchichas de cerdo, puré de patatas y café."
973,,"I even had a short affair with a girl who lived in Jersey City and worked in the accounting department, but her brother began throwing mean looks in my direction, so when she went on her vacation in July I let it blow quietly away.","Tôi còn có một mối tình ngắn ngủi với một cô làm trong phòng kế toán, nhà ở thành phố New Jersey. Thế nhưng khi anh trai của cô ta bắt đầu ném cho tôi những cái nhìn dữ tợn hung ác thì tôi lặng lẽ dứt bỏ mốt tình này vào tháng Bảy khi cô ta đi nghỉ mát.","Hatta muhasebe bölümünde çalışan Jersey City’de oturan bir kızla ufak bir gönül ilişkim bile olmuştu. Ağabeyinin bana manidar baktığını fark edince, kızın temmuzda izin alıp tatile çıkmasını fırsat bilerek işin peşini sessiz sedasız bıraktım.","Incluso tuve una breve aventura con una chica que vivía en Jersey City y trabajaba en el departamento de contabilidad, pero su hermano empezó a mirarme con malos ojos, y cuando la chica se fue de vacaciones en julio, di por terminado el asunto."
974,,I took dinner usually at the Yale Club—for some reason it was the gloomiest event of my day—and then I went upstairs to the library and studied investments and securities for a conscientious hour.,Tôi thường ăn chiều tại câu lạc bộ Yale. Không hiểu vì lý do nào đó tôi thấy hoạt động này là một trong những việc làm u sầu ảm đạm nhất trong ngày của tôi. Sau đó tôi sẽ tới thư viện ở trên lầu để chăm chỉ tham khảo đầu tư chứng khoán nguyên cả tiếng đồng hồ.,Aksam yemeğimi genellikle Yale Kulübü’nde yerdim. Nedense benim için günün en sıkıcı zamanları olurdu. Sonra üst kattaki kütüphaneye çıkar ve bir saat kadar yatırım ve hisse senetleri hakkında yazılanları oku­yarak bilgi edinmeye çalışırdım.,"Solía cenar en el Yale Club —no sé por qué razón, aquél era el acontecimiento más triste de la jornada—, y luego subía a la biblioteca y estudiaba a conciencia, durante una hora, inversiones y valores."
975,,"There were generally a few rioters around, but they never came into the library, so it was a good place to work.","Thường thì ở câu lạc bộ cũng có vài kẻ đến làm huyên náo, nhưng bọn họ không bao giờ vào trong thư viện, bởi vậy nơi này vẫn là một nơi tốt để tôi làm việc.",Kulüpte her zaman birkaç gürültücü geveze olurdu ama kütüphaneye çıkmazlardı. Bu yüzden rahat çalışmaya uygun bir yerdi.,"Siempre andaban por allí unos cuantos juerguistas, pero jamás entraban en la biblioteca, así que era un buen sitio para trabajar."
976,,"After that, if the night was mellow, I strolled down Madison Avenue past the old Murray Hill Hotel, and over 33rd Street to the Pennsylvania Station.","Sau đó, khi buổi tối đã dịu lại, tôi sẽ thả dọc xuống đường Madison, ngang qua khách sạn cổ Murray Hill tới đường 33 để đến ga xe lửa Pennsylvania.","İşim bitince hava yumuşaksa, Madison Bulvarı’nda yürür, eski Murray Hill Otel’ini geçer, 33. Caddeden Pennsylvania İstasyonu’na varırdım.","Después, si hacía buena noche, daba un paseo por Madison Avenue, pasaba el viejo Murray Hall Hotel y, por la calle Treinta y tres, llegaba a la Pennsylvania Station."
977,,"I began to like New York, the racy, adventurous feel of it at night, and the satisfaction that the constant flicker of men and women and machines gives to the restless eye.","Tôi bắt đầu cảm thấy yêu thích thành phố New York, yêu cái cảm giác nóng bỏng mạo hiểm về đêm và sự thỏa mãn khi nhìn những nét lung linh chập chờn liên tục từ dáng những người nam, người nữ và xe cộ đang hiện ra trước đôi mắt hiếu động của tôi.","New York’u sevmeye başlamıştım. Gecelerin o canlı, ma­ceralı havası, kadın, erkek ve otomobillerin ışık-gölge oyunları etkiliyordu beni.","Empezaba a gustarme Nueva York, la sensación nocturna de aventura y riesgo, y el placer que el constante fluctuar de hombres, mujeres y vehículos procuraba a la mirada inquieta."
978,,"I liked to walk up Fifth Avenue and pick out romantic women from the crowd and imagine that in a few minutes I was going to enter into their lives, and no one would ever know or disapprove.","Tôi yêu thích đi ngược đường Fitfh, lấy mắt lựa ra từ trong đám đông những người phụ nữ đầy tình tứ và tưởng tượng ra trong đầu rằng chỉ trong vài phút nữa tôi sẽ được bước vào cuộc đời của họ mà không một ai hay biết hay phản đối.",5. Caddede yürürken kalabalığın içinden romantik kadınları seçer birkaç dakika sonra hayatlarına gireceğimi hayal ederdim. Kimse haberdar olmaz ve karşı çıkmazdı.,"Me gustaba pasear por la Quinta Avenida y elegir a alguna mujer romántica entre la multitud e imaginar que, en cinco minutos, yo entraría en su vida, y que nunca lo sabría nadie ni nadie lo desaprobaría."
979,,"Sometimes, in my mind, I followed them to their apartments on the corners of hidden streets, and they turned and smiled back at me before they faded through a door into warm darkness.","Đôi khi, trong óc tưởng tượng, tôi đi theo họ về những căn chung cư họ ở, nơi một góc đường khuất kín nào đó, rồi họ sẽ quay lại mỉm cười với tôi trước khi tan biến qua cánh cửa vào trong bóng tối ấm áp.","Bazen hayalimde gizli caddelerden birinin köşesindeki evlerinin kapısına kadar peşlerinden gider, tam içeri girecekken bana bakıp gülümsediklerini, sonra karanlıkta kayboldukları­nı görürdüm.","A veces, en mi imaginación, la seguía hasta su apartamento, en la esquina de alguna calle escondida, y se volvía y me sonreía antes de cruzar una puerta y desvanecerse en el calor y la oscuridad."
980,,"At the enchanted metropolitan twilight I felt a haunting loneliness sometimes, and felt it in others—poor young clerks who loitered in front of windows waiting until it was time for a solitary restaurant dinner—young clerks in the dusk, wasting the most poignant moments of night and life.","Ở trong cái ánh sáng mờ ảo say mê của thành phố, đôi khi tôi cảm nhận được một nỗi cô đơn ám ảnh, cảm nhận nó được từ những người khác, từ những anh nhân viên văn phòng trẻ tuổi nghèo nàn đứng lảng vảng trước những cửa sổ để đợi tới giờ được vào trong quán ăn bữa chiều yên tịnh, hay từ những người thư ký trẻ thơ thẩn trong bóng tối nhá nhem, bỏ lãng phí đi những giây phút chua cay nhất của đêm đen và đời người.","Bazen de metropolün günbatımında içimi tuhaf bir yalnızlık kapladığı olurdu. Bunu başkalarında da görürdüm. Vitrinlerin ününde oyalanarak, yalnız geçirecekleri yemek saatinin gelmesini bekleyen zavallı genç katipler, alacakaranlıkta gecenin ve yaşamın en güzel anlarını harcarlardı.","En el crepúsculo encantado de la metrópolis algunos días la soledad se volvía obsesiva, e incluso la sentía en otros, empleados jóvenes y pobres que mataban el tiempo delante de los escaparates y esperaban la hora de cenar solos en un restaurante; empleados jóvenes que, al anochecer, desperdiciaban los momentos más maravillosos de la noche y de la vida."
981,,"Again at eight o’clock, when the dark lanes of the Forties were lined five deep with throbbing taxicabs, bound for the theatre district, I felt a sinking in my heart.","Rồi vào khoảng tám giờ tối, khi trong lòng đường tối đen của đường Forties chen chúc năm hàng xe taxi chật ních khách nối đưôi nhau hướng về khu nhà hát, thì tôi cảm thấy trái tim mình trùng xuống.","Akşam sekizde 40. Caddenin loş sokaklarında tiyatro semtlerine giden, beş şerit halinde dura kalka ilerleyen taksileri izlerkense içim daralırdı.","A las ocho, otra vez, cuando la calzada en penumbra de las calles Cuarenta se llenaba de la agitación de los taxis, en filas de cinco, que iban a la zona de los teatros, sentía una opresión en el corazón."
982,,"Forms leaned together in the taxis as they waited, and voices sang, and there was laughter from unheard jokes, and lighted cigarettes made unintelligible circles inside.","Những hình dạng con người dựa vào nhau bên trong những chiếc xe taxi đang đậu chờ đợi, những giọng nói reo vui, những tiếng cười từ những câu nói đùa không nghe rõ, những đốm lửa trên đầu thuốc lá phác họa thành những hình dạng khó hiểu.","Bekleyen arabalarda insanlar birbirine sokulup şarkılar söyler, duyamadığım fıkralara kahkahalar atar, yakılan sigaraların dumanı içerdeki görünmez bir sürü jesti çevrelerdi.","Se unían las siluetas en el interior de los taxis a la espera de reemprender la marcha, cantaban las voces, chistes que yo no oía provocaban risas, y cigarrillos encendidos trazaban ininteligibles espirales."
983,,"Imagining that I, too, was hurrying towards gaiety and sharing their intimate excitement, I wished them well.","Tưởng tượng thử coi, tôi cũng vậy, đang vội vã đi về phía những chỗ náo động, chia xẻ vớ i bọn họ những niềm vui thú riêng tư. Tôi chúc họ những điều tốt lành.","Ben de eğlenceye gitmek için sabırsızlanıyormuşum gibi davranır, onların heyecanlarını paylaşır, aynı zamanda hepsinin mutlu olmasını dilerdim.","Imaginando que yo también corría hacia la alegría y compartía su entusiasmo más íntimo, les deseaba lo mejor."
984,['jordan baker'],"For a while I lost sight of Jordan Baker, and then in midsummer I found her again.",Có một thời gian tôi không gặp lại Jordan Baker nữa cho đến khoảng giữa mùa hè thì tôi gặp lại cô ta.,Bir süre Jordan Baker’ın izini kaybeder gibi oldum. Ama yaz ortalarına doğru yine karşılaştık.,"Perdí de vista a Jordan Baker, y a mediados de verano volví a encontrármela."
985,,"At first I was flattered to go places with her, because she was a golf champion, and everyone knew her name.",Trước tiên tôi cảm thấy rất hãnh diện được đi chung với Baker tới các nơi bởi vì Jordan là nữ quán quân chơi golf ai cũng biết tên.,"Başlarda onunla görünmekten bile gurur duyuyordum, çünkü ünlü bir golf şampiyo­nuydu ve tanınıyordu.",Al principio me halagaba ir con ella a los sitios porque era campeona de golf y todo el mundo la conocía.
986,,Then it was something more.,Rồi sau này còn có thêm nhiều cái khác nữa.,Bu duygulara zamanla başkaları da eklendi.,Y luego hubo algo más.
987,,"I wasn’t actually in love, but I felt a sort of tender curiosity.","Lúc đó tôi chưa thực sự yêu Jordan, chỉ cảm thấy tò mò rất dịu dàng.",Aşık olmasam da ona sıcak bir yakınlık ve ilgi duyuyordum.,"No es que me hubiera enamorado, pero sentía una especie de curiosidad, de ternura."
988,,"The bored haughty face that she turned to the world concealed something—most affectations conceal something eventually, even though they don’t in the beginning—and one day I found what it was.","Khuôn mặt kênh kiệu chán chường của Jordan khi đối diện với mọi người chung quanh có chứa đựng cái gì đó, nếu lúc đầu chưa hiện ra thì đến cuối cùng nó cũng sẽ lộ ra, một vẻ như chứa đựng một dấu diếm gì đó. Rồi một ngày tôi đã tìm ra nó là cái gì.",Çevresine karşı bezgin tavırların ve biraz küstah yüz ifadesinin arkasında bir şeyler sakladığını -tüm yapmacık tavırlar başlangıçta bir şeyleri saklamaya yöneliktir- düşünüyordum. Bir gün bunun ne olduğunu öğrendim.,"La cara de orgulloso aburrimiento que ofrecía al mundo ocultaba algo —casi todas las poses terminan ocultando algo, si no lo ocultan desde el principio—, y un día descubrí lo que era."
