Single_ent,en,es,tr,vi
['elizabeth'],"[MASK] was again deep in thought, and after a time exclaimed, “To treat in such a manner the godson, the friend, the favourite of his father!” She could have added, “A young man, too, like you, whose very countenance may vouch for your being amiable.” But she contented herself with—“And one, too, who had probably been his own companion from childhood, connected together, as I think you said, in the closest manner.”","[MASK] reflexionó de nuevo y al cabo de unos momentos exclamó: ––¡Tratar de esa manera al ahijado, al amigo, al favorito de su padre! Podía haber añadido: «A un joven, además, como usted, que sólo su rostro ofrece sobradas garantías de su bondad.» Pero se limitó a decir: ––A un hombre que fue seguramente el compañero de su niñez y con el que, según creo que usted ha dicho, le unían estrechos lazos.","[MASK] yine derin düşüncelere daldı ve bir süre sonra kendini tutamadı: ""Bir vaftiz oğluna, bir arkadaşa, babasının sevdiği birine böyle davranmak!"" –Tam ekleyecekti, ""hem de güzelliği iyiliğinin kanıtı olan senin gibi bir gence,"" –ama şöyle demekle yetindi, ""hem de muhtemelen çocukluk arkadaşınız olan, dediğinize göre aranızda yakın bağlar olan birine!","[MASK] lại chìm sâu vào suy tư, và sau một lúc cô kêu lên: - Đối xử với người theo cách như thế, người con đỡ đầu, người bạn, người được ông bố ưu ái! Đáng lẽ cô có thể thêm: “Một người trai trẻ, như anh, với gương mặt có thể nói là dễ thương”, nhưng cô chỉ nói: - Và có lẽ cũng là một người thận cận từ thời niên thiếu, quan hệ mật thiết nhất, như lời anh nói."
"['darcy', 'darc', 'wickham']","He shook his head. “I wish I could call her amiable. It gives me pain to speak ill of a [MASK]; but she is too much like her brother,—very, very proud. As a child, she was affectionate and pleasing, and extremely fond of me; and I have devoted hours and hours to her amusement. But she is nothing to me now. She is a handsome girl, about fifteen or sixteen, and, I understand, highly accomplished. Since her father’s death her home has been London, where a lady lives with her, and superintends her education.”","[MASK] hizo un gesto con la cabeza. ––Quisiera poder decir que es encantadora. Me da pena hablar mal de un Darcy. Pero ahora se parece demasiado a su hermano, es muy orgullosa. De niña, era muy cariñosa y complaciente y me tenía un gran afecto. ¡Las horas que he pasado entreteniéndola! Pero ahora me es indiferente. Es una hermosa muchacha de quince o dieciséis años, creo que muy bien educada. Desde la muerte de su padre vive en Londres con una institutriz.","Başını salladı. –""Keşke ona sevimli diyebilseydim. Bir [MASK]'den kötü bahsetmek bana acı veriyor. Ama o da aynı abisi, –çok, çok gururlu. Çocukken cana yakındı, tatlıydı, bana da çok düşkündü; onu eğlendirmek için saatler harcamışımdır. Ama artık benim için bir şey ifade etmiyor. Güzel bir kız, onbeş onaltı yaşında, ve anladığıma göre hayli hünerli. Babasının ölümünden beri evi Londra oldu, bir hanım onunla kalıyor, eğitimini yürütüyor.","Anh lắc đầu: -Giá như tôi nói được cô ấy là dễ thương. Tôi thấy buồn khi nói không tốt về một thành viên trong gia tộc [MASK]. Nhưng cô ấy cũng giống như người anh, kiêu hãnh, rất kiêu hãnh. Khi còn nhỏ cô ấy có tình cảm và dễ chịu, và rất yêu mến tôi; riêng tôi bỏ rất nhiều thời giờ để chơi đùa cùng cô. Nhưng bây giờ, với cô tôi không là gì cả. Cô là một người con gái xinh xắn, khoảng mười lăm hay mười sáu, theo tôi được biết có khá nhiều tài năng. Từ khi cha cô ấy mất đi cô sống tại London, có một bà sống với cô và làm trợ giáo cho cô."
"['darcy', 'mr darcy']","“Probably not; but Mr. [MASK] can please where he chooses. He does not want abilities. He can be a conversible companion if he thinks it worth his while. Among those who are at all his equals in consequence, he is a very different man from what he is to the less prosperous. His pride never deserts him; but with the rich he is liberal-minded, just, sincere, rational, honourable, and, perhaps, agreeable,—allowing something for fortune and figure.”","––Probablemente no; pero el señor [MASK] sabe cómo agradar cuando le apetece. No necesita esforzarse. Puede ser una compañía de amena conversación si cree que le merece la pena. Entre la gente de su posición es muy distinto de como es con los inferiores. El orgullo no le abandona nunca, pero con los ricos adopta una mentalidad liberal, es justo, sincero, razonable, honrado y hasta quizá agradable, debido en parte a su fortuna y a su buena presencia.","""Muhtemelen; ama [MASK] canı isteyince hoş biri olabilir. Yeteneksiz değildir. Vakit harcamaya değdiğini düşünürse hoşsohbet kesilir. Servetleri onunkine eşit olanlar arasında yoksullar arasında olduğundan çok daha farklı biridir. Gururu onu asla terketmez: ama zenginlerle beraberken liberal düşünceli, adil, samimi, aklı başında, dürüst ve belki sevimlidir, –tabii servetin ve mevkinin hakkını vermek lazım.","- Có thể là như vậy, nhưng anh [MASK] có thể làm người khác vui lòng khi anh muốn. Anh ấy không có nhiều khả năng. Anh ấy có thể là người bạn đồng hành để giao du nếu anh nghĩ việc này có lợi cho anh. Trong số những người cùng địa vị với anh ấy, anh trở nên con người hoàn toàn khác hẳn khi anh chơi với người thấp kém hơn. Anh ấy luôn có kiêu hãnh, nhưng với người giàu có anh có tư tưởng phóng khoáng, công bằng, chân thật, đúng lý, ngay thắng, có lẽ dễ chịu – đấy là cộng thêm một phần về sự sản và ngoại hình."
"['catherine de bourgh', 'lady catherine de bourgh', 'catherine bourg']","“I know very well, madam,” said he, “that when persons sit down to a card table they must take their chance of these things,—and happily I am not in such circumstances as to make five shillings any object. There are, undoubtedly, many who could not say the same; but, thanks to [MASK], I am removed far beyond the necessity of regarding little matters.”","––Sé muy bien, señora ––le dijo––, que cuando uno se sienta a una mesa de juego ha de someterse al azar, y afortunadamente no estoy en circunstancias de tener que preocuparme por cinco chelines. Indudablemente habrá muchos que no puedan decir lo mismo, pero gracias a [MASK] estoy lejos de tener que dar importancia a tales pequeñeces.","""Şunu gayet iyi bilirim, madam,"" dedi, ""insanlar kumar masasına oturunca şanslarını denerler, –çok şükür beş şilini bahis mevzuu edecek durumda değilim. Kuşkusuz aynı şeyi söyleyemeyecek çok kişi vardır, ama [MASK] sayesinde küçük meselelerin üstünde durmam gerekmiyor.","- Thưa bà, tôi biết rất rõ rằng khi người ta ngồi xuống bên một cỗ bài, họ phải chịu rủi ro với những thứ này, và tôi may mắn không ở trong những hoàn cảnh phải cân đo đong đếm từng xu. Chắc chắn có nhiều người không đồng ý, nhưng nhờ có Phu nhân [MASK], tôi không phải bận tâm đến những chuyện nhỏ nhặt."
"['wickham––', 'wickham']","“I believe her to be both in a great degree,” replied [MASK]; “I have not seen her for many years; but I very well remember that I never liked her, and that her manners were dictatorial and insolent. She has the reputation of being remarkably sensible and clever; but I rather believe she derives part of her abilities from her rank and fortune, part from her authoritative manner, and the rest from the pride of her nephew, who chooses that everyone connected with him should have an understanding of the first class.”","––Creo que es ambas cosas, y en alto grado ––respondió [MASK]. Hace muchos años que no la veo, pero recuerdo que nunca me gustó y que sus modales eran autoritarios e insolentes. Tiene fama de ser juiciosa e inteligente; pero me da la sensación de que parte de sus cualidades se derivan de su rango y su fortuna; otra parte, de su despotismo, y el resto, del orgullo de su sobrino que cree que todo el que esté relacionado con él tiene que poseer una inteligencia superior.","""Alabildiğine öyle,"" diye cevapladı [MASK]; ""onu yıllardır görmedim, ama ondan hiç hoşlanmadığımı hatırlıyorum; davranışları diktatörce ve küçümseyiciydi. Çok akıllı ve zeki olmakla ünlüydü; ama yeteneklerini kısmen mevkiinden ve servetinden, kısmen de otoriter tavrından, geri kalanını da yeğeninin gururundan aldığını düşünüyorum; yeğeni onun akrabası olan herkesin birinci sınıf bir akla sahip olduğuna inanır.","[MASK] trả lời: - Tôi tin bà có cả hai khuyết điểm theo mức độ trầm trọng. Trong nhiều năm tôi không gặp bà, nhưng tôi vẫn nhớ rất rõ rằng tôi không bao giờ mến bà, tôi còn nhớ thái độ độc đoán và xấc xược của bà. Bà có tiếng là biết điều và khôn khéo, nhưng tôi tin năng lực của bà một phần là do địa vị và gia sản của bà, một phần từ cung cách uy quyền, còn lại là do lòng kiêu hãnh của người cháu trai, người luôn muốn những ai có quan hệ với anh ấy phải có óc hiểu biết của giới thượng lưu."
['jane'],"“Very true, indeed; and now, my dear [MASK], what have you got to say in behalf of the interested people who have probably been concerned in the business? Do clear them, too, or we shall be obliged to think ill of somebody.”","––Tienes mucha razón; y dime, mi querida [MASK]: ¿Qué tienes que decir en favor de esa gente interesada que probablemente tuvo que ver en el asunto? Defiéndelos también, si no nos veremos obligadas a hablar mal de alguien.","""Çok doğru valla; –şimdi sevgili [MASK], meseleye karışmış olabilecek ilgili kişiler adına ne söyleyebilirsin? –Onları da temize çıkaralım, yoksa birini harcamamız gerekecek.","- Thật ra là đúng như vậy. Bây giờ, chị [MASK], chị có thể nói gì thay cho những người liên hệ có thể quan tâm đến vụ việc? Nên cho rằng cả hai đều không đáng trách, nếu không ta phải nghĩ xấu về một người nào đấy."
['elizabeth'],"“Both,” replied [MASK] archly; “for I have always seen a great similarity in the turn of our minds. We are each of an unsocial, taciturn disposition, unwilling to speak, unless we expect to say something that will amaze the whole room, and be handed down to posterity with all the éclat of a proverb.”","––Por los dos ––replicó [MASK] con coquetería––, pues he encontrado un gran parecido en nuestra forma de ser. Los dos somos insociables, taciturnos y enemigos de hablar, a menos que esperemos decir algo que deslumbre a todos los presentes y pase a la posteridad con todo el brillo de un proverbio.","""İkisi de,"" diye cevap verdi [MASK], hınzırca; ""düşünme şekillerimiz arasında her zaman büyük bir benzerlik görmüşümdür. İkimiz de asosyal, inatçı yapıdayız, konuşmayı sevmiyoruz, tabii eğer bütün odayı büyüleyecek, atasözü ihtişamıyla gelecek nesillere aktarılacak bir şey söylemeyi ummuyorsak.","[MASK] trả lời tinh quái: - Cả hai, vì tôi đã nhận ra có sự tương đồng trong việc xoay chuyển ý nghĩ của cả hai. Cả hai chúng ta đều có tính khí khó hòa đồng, lầm lì, không muốn mở miệng, ngoại trừ khi ta muốn nói cái gì đấy làm ngạc nhiên cả phòng, được lưu truyền cho đời sau với mọi vinh quang của một câu châm ngôn."
"['ngài william', 'william', 'sir william']","“I do not think we were speaking at all. [MASK] could not have interrupted any two people in the room who had less to say for themselves. We have tried two or three subjects already without success, and what we are to talk of next I cannot imagine.”",––Creo que no estábamos hablando. [MASK] no podría haber interrumpido a otra pareja en todo el salón que tuviesen menos que decirse el uno al otro. Ya hemos probado con dos o tres temas sin éxito. No tengo ni idea de qué podemos hablar ahora.,"""Konuştuğumuzu sanmıyorum. [MASK] araya girmek için daha az konuşan iki kişi bulamazdı. Zaten iki üç konu denedik, olmadı; şimdi neden bahsedeceğiz, bilmiyorum.","- Tôi không nghĩ chúng ta đang nói chuyện gì cả. [MASK] không thể gián đoạn hai người nào trong phòng này khi họ không có gì để nói với nhau. Chúng ta đã thử hai hay ba đề tài mà không thành công, nên tôi không thể nghĩ ra kết tiếp chúng ta sẽ nói về chuyện gì."
"['anh darcy', 'señor darcy', 'darcy', 'mr darcy']","“What is Mr. [MASK] to me, pray, that I should be afraid of him? I am sure we owe him no such particular civility as to be obliged to say nothing he may not like to hear.”","––¿Qué significa el [MASK] para mí? Dime, ¿por qué habría de tenerle miedo? No le debemos ninguna atención especial como para sentirnos obligadas a no decir nada que pueda molestarle.","""[MASK]'den bana ne, Allah aşkına, niye korkayım ondan? Eminim ona karşı duymaktan hazzetmeyeceği şeyler söylememek gibi bir nezaket borcumuz yok.",- [MASK] là cái gì đối với mẹ khiến mẹ phải sợ anh ta? Mẹ biết chắc rằng mẹ không cần phải giữ phép lịch sự với anh ta đến nỗi không dám nói điều anh ta có thể không thích nghe.
"['señor collins', 'collins', 'mr collins']","“Dear ma’am, do not go. I beg you will not go. Mr. [MASK] must excuse me. He can have nothing to say to me that anybody need not hear. I am going away myself.”","––Mamá, querida, no te vayas. Te lo ruego, no te vayas. El [MASK] me disculpará; pero no tiene nada que decirme que no pueda oír todo el mundo. Soy yo la que me voy.","""Anne, gitme. Yalvarırım gitme. [MASK] beni mazur görmeli. Bana kimsenin işitmemesi gereken bir şey söyleyecek olamaz. Ben kendim gidiyorum.","- Mẹ à, đừng đi. Con xin mẹ đừng đi. Xin anh [MASK] thứ lỗi. Anh ấy không có gì để nói với con mà người khác không cần nghe. Con cũng sắp đi đây."
"['elizabeth', 'cô elizabeth']","“Believe me, my dear Miss [MASK], that your modesty, so far from doing you any disservice, rather adds to your other perfections. You would have been less amiable in my eyes had there not been this little unwillingness; but allow me to assure you that I have your respected mother’s permission for this address. You can hardly doubt the purport of my discourse, however your natural delicacy may lead you to dissemble; my attentions have been too marked to be mistaken. Almost as soon as I entered the house I singled you out as the companion of my future life. But before I am run away with by my feelings on this subject, perhaps it will be advisable for me to state my reasons for marrying—and, moreover, for coming into Hertfordshire with the design of selecting a wife, as I certainly did.”","––Créame, mi querida señorita [MASK], que su modestia, en vez de perjudicarla, viene a sumarse a sus otras perfecciones. Me habría parecido usted menos adorable si no hubiese mostrado esa pequeña resistencia. Pero permítame asegurarle que su madre me ha dado licencia para esta entrevista. Ya debe saber cuál es el objeto de mi discurso; aunque su natural delicadeza la lleve a disimularlo; mis intenciones han quedado demasiado patentes para que puedan inducir a error. Casi en el momento en que pisé esta casa, la elegí a usted para futura compañera de mi vida. Pero antes de expresar mis sentimientos, quizá sea aconsejable que exponga las razones que tengo para casarme, y por qué vine a Hertfordshire con la idea de buscar una esposa precisamente aquí.","""İnanın bana, sevgili [MASK], mütevaziliğiniz size zarar vermenin aksine mükemmelliğinize mükemmellik katıyor. Bu küçük isteksizlik olmasa gözlerimde daha az hayranlık verici olurdunuz; ama sizi temin etmeme izin verin, bu konuşma için muhterem validenizin iznini aldım. Sözlerimin amacından kuşku duyamazsınız, ama doğal narinliğiniz aklınızın karışmasına yol açabilir; gösterdiğim ilgi görmezden gelinmeyecek kadar belirgindi. Daha eve girer girmez sizi gelecekteki hayat arkadaşım olarak seçtim. Ama konuyla ilgili duygularım aklımı başımdan almadan önce evlenme nedenlerimi belirtmem yerinde olabilir –hatta bir eş seçme niyetiyle Hertfordshire'e geliş nedenimi.","- [MASK] thân thương, xin cô hãy tin rằng đức tính khiêm tốn của cô cho đến giờ không làm xấu gì cho cô cả, mà trái lại nó bổ sung những vẻ toàn vẹn của cô. Dưới mắt tôi, cô có thể kém dễ thương nếu cô đã không tỏ ra ngượng ngùng như thế, nhưng tôi xin nói cho cô an tâm rằng bà mẹ đáng kính của cô đã cho phép tôi tiếp chuyện với cô như thế này. Hẳn cô không hồ nghi gì về ý định của tôi, tuy tính tế nhị bẩm sinh của cô có thể khiến cô phải lờ đi; những ý tình của tôi đã quá rõ nên không thể nhầm lẫn được. Ngay sau khi tôi bước vào ngôi nhà này, tôi đã chọn cô là người đồng hành trong cuộc đời tương lai của tôi. Nhưng trước khi tôi đi xa khỏi chủ đề do những cảm xúc của tôi trong việc này, có lẽ tôi nên nêu những lý do về hôn nhân khi tôi đến Hertfordshire với ý định tìm một người vợ, vì đúng là tôi có ý định này."
"['collins', 'mr collins']","“I am not now to learn,” replied Mr. [MASK], with a formal wave of the hand, “that it is usual with young ladies to reject the addresses of the man whom they secretly mean to accept, when he first applies for their favour; and that sometimes the refusal is repeated a second or even a third time. I am, therefore, by no means discouraged by what you have just said, and shall hope to lead you to the altar ere long.”","––Sé de sobra ––replicó [MASK] con un grave gesto de su mano–– que entre las jóvenes es muy corriente rechazar las proposiciones del hombre a quien, en el fondo, piensan aceptar, cuando pide su preferencia por primera vez, y que la negativa se repite una segunda o incluso una tercera vez. Por esto no me descorazona en absoluto lo que acaba de decirme, y espero llevarla al altar dentro de poco.","""Hemen öğrenmek istemiyorum,"" diye cevap verdi [MASK], elini resmi bir biçimde sallayarak, ""genç hanımların, içlerinden kabul ettikleri bir adamın teklifini ilk başta reddetmeleri normaldir; bazen ikinci, hatta üçüncü seferinde bile red cevabı gelebilir. O yüzden sözleriniz asla cesaretimi kırmıyor; sizi çok geçmeden rahibin huzuruna çıkaracağımı umuyorum.","Anh [MASK] trả lời, với điệu bộ khoát tay trịnh trọng: - Cho đến giờ tôi vẫn biết rằng, khi được một người thanh niên cầu hôn lần đầu, các cô thiếu nữ thường khước từ trong khi thâm tâm họ có ý chấp thuận, và rằng họ có thể khước từ hai hoặc ngay cả ba lần. Vì thế, tôi không hề nản lòng vì lời cô vừa nói, mà còn hy vọng sẽ sớm được thành hôn với cô."
"['de bourgh', 'de bourg', 'bourgh']","“You must give me leave to flatter myself, my dear cousin, that your refusal of my addresses are merely words of course. My reasons for believing it are briefly these:—It does not appear to me that my hand is unworthy your acceptance, or that the establishment I can offer would be any other than highly desirable. My situation in life, my connections with the family of [MASK], and my relationship to your own, are circumstances highly in my favour; and you should take it into further consideration that, in spite of your manifold attractions, it is by no means certain that another offer of marriage may ever be made you. Your portion is unhappily so small, that it will in all likelihood undo the effects of your loveliness and amiable qualifications. As I must, therefore, conclude that you are not serious in your rejection of me, I shall choose to attribute it to your wish of increasing my love by suspense, according to the usual practice of elegant females.”","––Debe dejar que presuma, mi querida prima, que su rechazó ha sido sólo de boquilla. Las razones que tengo para creerlo, son las siguientes: no creo que mi mano no merezca ser aceptada por usted ni que la posición que le ofrezco deje de ser altamente apetecible. Mi situación en la vida, mi relación con la familia [MASK] y mi parentesco con usted son circunstancias importantes en mi favor. Considere, además, que a pesar de sus muchos atractivos, no es seguro que reciba otra proposición de matrimonio. Su fortuna es tan escasa que anulará, por desgracia, los efectos de su belleza y buenas cualidades. Así pues, como no puedo deducir de todo esto que haya procedido sinceramente al rechazarme, optaré por atribuirlo a su deseo de acrecentar mi amor con el suspense, de acuerdo con la práctica acostumbrada en las mujeres elegantes.","""Kendime paye vermeme müsaade edin, sevgili kuzenim; teklifimi reddetmeniz sadece sözde. Buna inanma nedenlerim de kısaca şunlar: –Bana hiç size layık değilmişim gibi gelmiyor, sonra teklif ettiğim hayat gayet cazip. Hayattaki pozisyonum, [MASK] ailesiyle olan bağlantılarım, sizinle olan akrabalığım, hepsi benim lehime olan durumlar; daha etraflı düşünürseniz, birçok cazibeniz olmasına rağmen, şimdiye kadar başka evlilik teklifi almadığınız anlaşılıyor. Geliriniz maalesef o kadar küçük ki mutlaka güzelliğinizin ve sevimli özelliklerinizin etkisini yok ediyor. Dolayısıyla beni reddederken ciddi olmadığınız sonucuna varıyorum; reddetme sebebiniz olarak da kibar hanımların adeti olduğu üzere, beni bekleterek aşkımı artırmak istemenizi görüyorum.","- Cô em ạ, cô phải cho tôi tự mãn rằng sự khước từ của cô chỉ là những lời lẽ tất nhiên. Những lý do để tôi tin điều ấy là ngắn gọn thế này. Không có vẻ gì là bản thân tôi không đáng được cô chấp nhận, hoặc địa vị của tôi không đủ cao. Hoàn cảnh của tôi, những kết giao với gia đình [MASK], mối quan hệ với gia đình cô, đều là những hoàn cảnh vô cùng thuận lợi cho tôi; và cô nên suy xét thêm rằng mặc dù cô có những hấp dẫn về nhiều mặt, vẫn không chắc rằng cô sẽ nhận được một lời cầu hôn khác. Phần sự sản của cô không may là quá nhỏ nên vẻ kiều diễm của cô và những đức tính khả ái khác có thể mất tác dụng. Vì tôi đã phải kết luận rằng cô không nghiêm túc khi từ chối tôi, tôi chỉ có cách tin rằng cô muốn tình yêu của tôi sâu đậm hơn trong tình trạng hồi hộp, theo như cung cách thường thấy của những phụ nữ tao nhã."
"['darcy', 'darc', 'mr darcy']","“I found,” said he, “as the time drew near, that I had better not meet Mr. [MASK];—that to be in the same room, the same party with him for so many hours together, might be more than I could bear, and that scenes might arise unpleasant to more than myself.”","––Al acercarse el momento ––dijo–– me pareció que haría mejor en no encontrarme con [MASK], pues el estar juntos en un salón durante tantas horas hubiera sido superior a mis fuerzas y la situación podía haberse hecho desagradable, además, a otras personas.","""Zaman yaklaştıkça,"" dedi, ""[MASK]'yle karşılaşmamanın daha iyi olacağını hissettim; –onunla o kadar saat aynı odada, aynı toplulukta olmak dayanabileceğimden fazla olabilir, benden çok başkalarını rahatsız edebilecek sahneler meydana gelebilirdi.","- Khi ngày ấy đến gần, tôi nghĩ rằng tôi không nên gặp anh [MASK], rằng hiện diện trong cùng phòng, cùng buổi họp mặt trong nhiều giờ anh là việc tôi không thể chịu được, trong khi những người khác có thể bị khó chịu lây."
['charles'],"“‘When my brother left us yesterday, he imagined that the business which took him to London might be concluded in three or four days; but as we are certain it cannot be so, and at the same time convinced that when [MASK] gets to town he will be in no hurry to leave it again, we have determined on following him thither, that he may not be obliged to spend his vacant hours in a comfortless hotel. Many of my acquaintance are already there for the winter: I wish I could hear that you, my dearest friend, had any intention of making one in the crowd, but of that I despair. I sincerely hope your Christmas in Hertfordshire may abound in the gaieties which that season generally brings, and that your beaux will be so numerous as to prevent your feeling the loss of the three of whom we shall deprive you.’","Te lo leeré: «Cuando mi hermano nos dejó ayer, se imaginaba que los asuntos que le llamaban a Londres podrían despacharse en tres o cuatro días; pero como sabemos que no será así y convencidas, al mismo tiempo, de que cuando [MASK] va a la capital no tiene prisa por volver, hemos determinado irnos con él para que no tenga que pasarse las horas que le quedan libres en un hotel, sin ninguna comodidad. Muchas de nuestras relaciones están ya allí para pasar el invierno; me gustaría saber si usted, queridísima amiga, piensa hacer lo mismo; pero no lo creo posible. Deseo sinceramente que las navidades en Hertfordshire sean pródigas en las alegrías propias de esas festividades, y que sus galanes sean tan numerosos que les impidan sentir la pérdida de los tres caballeros que les arrebatamos.»",""" ‘Kardeşim dün bizden ayrılırken Londra'ya gitmesini gerektiren işin üç dört gün içinde halledilebileceğini düşünüyordu; ama şimdi bunun mümkün olmadığını bildiğimiz, aynı zamanda [MASK]'ın şehre inince dönmek bilmeyeceğine de inandığımız için, boş saatlerini rahatsız bir otelde geçirmek zorunda kalmasın diye arkasından gitmeye karar verdik. Zaten tanıdıklarımın çoğu kış için oraya gelmişler; keşke sen de, sevgili arkadaşım, bize katılmaya niyetlensen –ama bundan umutlu değilim. Bütün içtenliğimle Christmas'ın Hertfordshire'e ve sana her zamanki gibi neşe getirmesini ve hayranlarının seni yoksun bıraktığımız üç arkadaşının kaybını hissetmeni önlemesini dilerim.' ""","“Khi anh của em ra đi ngày hôm qua, anh ấy nghĩ rằng công việc tại London có thể kết thúc trong vòng ba, bốn ngày, nhưng chúng em không thể tin được, cùng lúc chúng em cho rằng khi [MASK] đã vào thành phố, anh ấy sẽ không vội rời đi, nên chúng em quyết định đi theo, để anh không phải cô đơn trong căn phòng khách sạn thiếu tiện nghi. Nhiều người quen biết của em đã đến đấy cho mùa đông; em ước mong chị, người bạn thân cận nhất của em, có thể gia nhập đám đông, nhưng em không chắc. Em thành thật chúc chị một mùa Giáng Sinh vui vẻ tại Herfordshire, và chị sẽ có nhiều người theo đuổi để giúp chị quên ba người chúng em.”"
['elizabeth'],"“Believe me, my dear sir, my gratitude is warmly excited by such affectionate attention; and, depend upon it, you will speedily receive from me a letter of thanks for this as well as for every other mark of your regard during my stay in Hertfordshire. As for my fair cousins, though my absence may not be long enough to render it necessary, I shall now take the liberty of wishing them health and happiness, not excepting my cousin [MASK].”","––Créame, mi querido señor, mi gratitud aumenta con sus afectuosos consejos, por lo que le prevengo que en breve recibirá una carta de agradecimiento por lo mismo y por todas las otras pruebas de consideración que usted me ha dado durante mi permanencia en Hertfordshire. En cuanto a mis hermosas primas, aunque mi ausencia no ha de ser tan larga como para que haya necesidad de hacerlo, me tomaré la libertad de desearles salud y felicidad, sin exceptuar a mi prima [MASK].","""İnanın bana, sayın beyefendi, minnettarlığım bu sevecen alakanızla kat kat arttı; bunun için ve Hertfordshire'deki misafirliğim sürecince gösterdiğiniz tüm anlayış için benden hemencecik teşekkür mektubu alacağınıza emin olun. Güzel kuzenlerime gelince, gerçi yokluğum bunu gerekli kılacak kadar uzun sürmez ama, onlara sağlık ve mutluluk dilemek isterim, tabii kuzenim [MASK] de dahil olmak üzere.","- Thưa ông, xin hãy tin tôi, tôi cảm kích nồng hậu về lòng quan tâm đầy tình cảm như thế, và tôi sẽ viết cho ông một thư cảm ơn về lòng quan tâm này, cũng như về những gì tôi nhận được trong thời gian tôi lưu lại tại Hertfordshire. Về phần các cô em họ xinh xắn của tôi, mặc dù tôi sẽ vắng mặt không lâu nên không cần thiết phải chúc tụng nhiều, tôi vẫn xin chúc các cô sức khỏe và hạnh phúc, không ngoại trừ cô [MASK]."
['jane'],"“You doubt me,” cried [MASK], slightly colouring; “indeed, you have no reason. He may live in my memory as the most amiable man of my acquaintance but that is all. I have nothing either to hope or fear, and nothing to reproach him with. Thank God I have not that pain. A little time, therefore—I shall certainly try to get the better——”","––¿Lo dudas? ––preguntó [MASK] ligeramente ruborizada––. No tienes motivos. Le recordaré siempre como el mejor hombre que he conocido, eso es todo. Nada tengo que esperar ni que temer, y nada tengo que reprocharle. Gracias a Dios, no me queda esa pena. Así es que dentro de poco tiempo, estaré mucho mejor.","""Bana inanmıyorsun,"" diye haykırdı [MASK], hafifçe rengi dönerek, ""ama inanmaman için neden yok. Tanıdığım en hoş adam olarak anılarımda yaşayabilir, ama hepsi bu. Umut edecek ya da korkacak bir şeyim yok, onu kınamamı gerektirecek bir şey de yok. Çok şükür! Acının o türünü çekmiyorum. Demek ki az bir zaman yetecek. –Elbette düzelmeye çalışacağım.","[MASK] thốt lên mặt hơi ửng đỏ: - Em nghi ngờ chị; thật ra em không có lý gì gì mà nghi ngờ. Anh ấy có thể ngự trị trong tâm tưởng của chị như là một người dễ thương nhất trong số những người chị quen biết, nhưng chỉ có thế. Chị không có gì để hi vọng hay lo lắng, mà cũng không có gì để phiền trách anh ấy. Lạy ơn chúa! Chị đã không cảm thấy đau khổ như thế. Chỉ một thời gian ngắn thôi, rồi chị sẽ cảm thấy khá hơn."
"['elizabeth', 'elizabeth–']","“An excellent consolation in its way,” said [MASK]; “but it will not do for us. We do not suffer by accident. It does not often happen that the interference of friends will persuade a young man of independent fortune to think no more of a girl whom he was violently in love with only a few days before.”","––Si hubiera sido así, sería un gran consuelo ––dijo [MASK]–, pero lo nuestro es diferente. Lo que nos ha pasado no ha sido casualidad. No es tan frecuente que unos amigos se interpongan y convenzan a un joven independiente de que deje de pensar en una muchacha de la que estaba locamente enamorado unos días antes.","""Kendi başına mükemmel bir avuntu,"" dedi [MASK], ""ama bizim işimize yaramıyor. Tesadüfen acı çekiyor değiliz. Arkadaş müdahalesi kendi geliri olan genç bir adamı daha birkaç gün önce şiddetle âşık olduğu bir kızı unutmaya ikna etsin, asıl bu sık olan bir şey değil.","[MASK] nói: - Mợ khéo an ủi lắm, nhưng không giúp gì cho chúng cháu. Chúng cháu không khổ sở do biến cố. Việc những người thân cận can thiệp để thuyết phục một thanh niên có sự sản độc lập quên bẵng một cô gái mà anh đã yêu mãnh liệt chỉ vài ngày trước thì không thường xảy ra."
"['bingley', 'señor bingley', 'mr bingley']","“But that expression of ‘violently in love’ is so hackneyed, so doubtful, so indefinite, that it gives me very little idea. It is as often applied to feelings which arise only from a half hour’s acquaintance, as to a real, strong attachment. Pray, how violent was Mr. [MASK]’s love?”","––Pero esa expresión, «locamente enamorado», está tan manida, es tan ambigua y tan indefinida, que no me dice nada. Lo mismo se aplica a sentimientos nacidos a la media hora de haberse conocido, que a un cariño fuerte y verdadero. Explícame cómo era el amor del [MASK].","""Ama bu ‘şiddetle âşık olduğu' ifadesi öyle basmakalıp, öyle kuşkulu, öyle belirsiz ki bana pek az fikir veriyor. Yarım saat tanışıklıktan doğan duygulara olduğu kadar gerçek, güçlü bağlılıklara da uyabilir. Lütfen, [MASK]'nin aşkı ne kadar şiddetliydi, söyler misin?","- Nhưng cách nói “yêu mãnh liệt” thì quá nhảm, quá đáng ngờ, quá mông lung nên không nói gì được nhiều. Nó thường chỉ những tâm tư xuất phát từ những cuộc giao tiếp trong nữa giờ đồng hồ cũng như chỉ tình yêu chân thật. Cháu thử hỏi xem, tình yêu của anh [MASK] mãnh liệt như thế nào?"
