line_no,Ent,en,vi,tr,es
699,,Not that I think Charlotte so very plain; but then she is our particular friend.”,Không phải tôi cho Charlotte không ưa nhìn – nhưng mà cô ấy vẫn là người bạn đặc biệt của gia đình tôi.,"Charlotte'u çok sıradan bulduğumdan değil –ama işte, o da bizim can dostumuz.","No es que crea que Charlotte sea muy fea; en fin, sea como sea, es muy amiga nuestra."
700,,"“She seems a very pleasant young woman,” said Bingley.",Bingley nói: - Xem chừng cô ấy rất dễ mến.,"""Çok hoş bir genç hanıma benziyor,"" dedi Bingley.",––Parece una joven muy agradable ––dijo Bingley.
701,,"“Oh dear, yes; but you must own she is very plain.","- À đúng thế, nhưng anh phải công nhận là cô ấy không được đẹp.","""A cidden öyle; –ama çok sıradan olduğunu kabul etmek lazım.","––¡Oh! sí, pero debe admitir que es bastante feúcha."
702,,"Lady Lucas herself has often said so, and envied me Jane’s beauty.","Chính phu nhân Lucas cũng thường nói như vậy, và cảm thấy ganh tỵ với Jane của nhà chúng tôi.",Lady Lucas bizzat öyle demiştir sık sık ve beni kıskanmıştır Jane'in güzelliği için.,"La misma lady Lucas lo dice muchas veces, y me envidia por la belleza de Jane."
703,['jane'],"I do not like to boast of my own child; but to be sure, Jane—one does not often see anybody better looking.","Tôi không muốn khoe khoang về các con mình, nhưng chắc chắn rằng Jane là cô gái đẹp nhất trong vùng.","Kendi çocuğumla övünmek istemem, ama gerçekten de Jane –insan daha güzelini zor görür.","No me gusta alabar a mis propias hijas, pero la verdad es que no se encuentra a menudo a alguien tan guapa como Jane."
704,,It is what everybody says.,Đấy là điều mà ai cũng nói.,Herkes öyle diyor.,"Yo no puedo ser imparcial, claro; pero es que lo dice todo el mundo."
706,,"When she was only fifteen there was a gentleman at my brother Gardiner’s in town so much in love with her, that my sister-in-law was sure he would make her an offer before we came away.","Khi con bé lên mười lăm, có một anh chàng sống với ông Gardiner, em trai tôi, trong thành phố, yêu con bé đến nỗi em dâu tôi nghĩ rằng anh ta sẽ cầu hôn với nó.","Daha on beş yaşındaydı, şehirdeki kardeşim Gardiner'ın orada bir beyefendi vardı ona öyle âşık oldu ki yengem biz gitmeden evlenme teklif edeceğinden emindi.","Cuando sólo tenía quince años, había un caballero que vivía en casa de mi hermano Gardiner en la ciudad, y que estaba tan enamorado de Jane que mi cuñada aseguraba que se declararía antes de que nos fuéramos."
708,,Perhaps he thought her too young.,"Nhưng cuối cùng anh ta không làm thế, có lẽ vì nghĩ rằng con bé còn quá trẻ.",Belki çok genç buldu.,Probablemente pensó que era demasiado joven.
709,,"However, he wrote some verses on her, and very pretty they were.”",Tuy nhiên anh ta đã viết tặng nó những bài thơ thật tuyệt.,"Mamafih ona şiirler yazdı, güzel şiirlerdi doğrusu.","Sin embargo, le escribió unos versos, y bien bonitos que eran."
710,"['elizabeth', 'eliz']","“And so ended his affection,” said Elizabeth, impatiently.",Elizabeth sốt ruột nói: - Thế là chấm dứt niềm yêu thương của anh ấy.,"""Böylece sevgisini tüketti,"" dedi Elizabeth, sabırsızca.",––Y así terminó su amor ––dijo Elizabeth con impaciencia––.
711,,"“There has been many a one, I fancy, overcome in the same way.",Con đoán là có nhiều người cũng vượt qua nỗi buồn theo cùng một cách.,"""Aynı şekilde yenik düşen birçok kişi olmuştur.",Creo que ha habido muchos que lo vencieron de la misma forma.
712,,I wonder who first discovered the efficacy of poetry in driving away love!”,Con đã tự hỏi ai đã khám phá ra hiệu lực của thi ca trong việc xua đuổi tình yêu.,Şiirin aşkı yok etme yeteneğini ilk kim keşfetti merak ediyorum doğrusu!,Me pregunto quién sería el primero en descubrir la eficacia de la poesía para acabar con el amor.
713,['darcy'],"“I have been used to consider poetry as the food of love,” said Darcy.",- Thế mà tôi vẫn nghĩ thi ca là thực phẩm của tình yêu. – Darcy nói.,"""Şiiri hep aşkın gıdası olarak düşünürdüm,"" dedi Darcy.",––Yo siempre he considerado que la poesía es el alimento del amor ––dijo Darcy.
714,,"“Of a fine, stout, healthy love it may.","- Có thể như thế đối với tình yêu tinh tế, bền vững lành mạnh.","""Sağlıklı, güçlü, iyi bir aşk için doğru olabilir.","––De un gran amor, sólido y fuerte, puede."
715,,Everything nourishes what is strong already.,Mọi thứ đều có thể nuôi dưỡng cái gì mạnh sẵn.,Zaten güçlü olan bir şeye herşey iyi gelir.,Todo nutre a lo que ya es fuerte de por sí.
716,,"But if it be only a slight, thin sort of inclination, I am convinced that one good sonnet will starve it entirely away.”","Nhưng tôi tin rằng với chút tình yêu mong manh, một bài thơ ngắn có thể làm tình yêu đói kém hẳn.","Ama eğer zayıf, cılız bir eğilimse tatlı bir sone açlıktan öldürür onu.","Pero si es solo una inclinación ligera, sin ninguna base, un buen soneto la acabaría matando de hambre."
717,,Darcy only smiled; and the general pause which ensued made Elizabeth tremble lest her mother should be exposing herself again.,Darcy chỉ mỉn cười và khoảnh khắc ngưng đọng tiếp theo ấy làm Elizabeth sợ rằng bà mẹ cô có thể lại tự phơi bày sự thiển cận ra lần nữa.,Darcy gülümsemekle yetindi; bunu takip eden genel sessizlik Elizabeth'i tedirgin etti annesi yine kendini rezil edecek diye.,Darcy se limitó a sonreír. Siguió un silencio general que hizo temer a Elizabeth que su madre volviese a hablar de nuevo.
718,,"She longed to speak, but could think of nothing to say; and after a short silence ms Bennet began repeating her thanks to mr Bingley for his kindness to Jane, with an apology for troubling him also with Lizzy.","Cô muốn nói điều gì đấy nhưng không biết phải ngỏ lời làm sao. Rồi bà Bennet lại bắt đầu những lời cảm ơn Bingley vì đã quan tâm chăm sóc Jane, thêm câu xin lỗi vì bị Lizzy quấy rầy.","Konuşmak istedi ama aklına bir şey gelmedi; kısa bir sessizlikten sonra Mrs Bennet Jane'e gösterdiği ihtimam için Mr Bingley'ye tekrar teşekkür etmeye başladı, bir de özür ekledi Lizzy'yi de başına dert ettiği için.","La señora Bennet lo deseaba, pero no sabía qué decir, hasta que después de una pequeña pausa empezó a reiterar su agradecimiento al señor Bingley por su amabilidad con Jane y se disculpó por las molestias que también pudiera estar causando Lizzy."
719,"['bingley', 'mr bingley', 'señor bingley']","mr Bingley was unaffectedly civil in his answer, and forced his younger sister to be civil also, and say what the occasion required.","Bingley trả lời một cách lịch sự, và em gái anh bắt buộc phải nói vài lời lịch sự theo.","Mr Bingley ölçülü bir kibarlıkla cevap verdi, kızkardeşini de kibar olmaya ve durumun gerektirdiği gibi konuşmaya zorladı.","El señor Bingley fue cortés en su respuesta, y obligó a su hermana menor a ser cortés y a decir lo que la ocasión requería."
720,,"She performed her part, indeed, without much graciousness, but ms Bennet was satisfied, and soon afterwards ordered her carriage.","Cô Bingley cố gắng làm tròn vai trò của mình mà không có mấy vẻ thanh nhã, đủ để làm bà Bennet hài lòng. Sau đấy bà yêu cầu chuẩn bị cỗ xe.","Kızkardeşi de fazla cömert olmadan üstüne düşeni yaptı, ama Mrs Bennet tatmin olmuştu, az sonra da arabasını emretti.","Ella hizo su papel, aunque con poca gracia, pero la señora Bennet, quedó satisfecha y poco después pidió su carruaje."
721,,"Upon this signal, the youngest of her daughters put herself forward.","Với dấu hiệu này, cô gái út đưa bà ra ngoài.",Bu işaret üzerine en küçük kızı kendini öne çıkardı.,"Al oír esto, la más joven de sus hijas se adelantó para decir algo."
722,"['bingley', 'mr bingley', 'señor bingley']","The two girls had been whispering to each other during the whole visit; and the result of it was, that the youngest should tax mr Bingley with having promised on his first coming into the country to give a ball at Netherfield.","Hai cô đã thì thầm chuyện trò với nhau trong suốt cuộc thăm viếng, kết quả là cô út đòi hỏi Bingley tổ chức một buổi dạ vũ khi anh đến đấy.",İki kız bütün ziyaret boyunca birbirleriyle fısıldaşıp durmuşlar ve şu sonuca varmışlardı: en küçük olan Mr Bingley'ye taşraya ilk gelişinde verdiği Netherfield'de balo yapma sözünü hatırlatacaktı.,"Las dos muchachitas habían estado cuchicheando durante toda la visita, y el resultado de ello fue que la más joven debía recordarle al señor Bingley que cuando vino al campo por primera vez había prometido dar un baile en Netherfield."
723,['lydia'],"Lydia was a stout, well-grown girl of fifteen, with a fine complexion and good-humoured countenance; a favourite with her mother, whose affection had brought her into public at an early age.","Lydia là một cô gái mười lăm, rắn chắc, với nước da sáng, gương mặt tươi vui. Cô là đứa con cưng của bà mẹ, nên bà đã đưa cô vào quan hệ giao tiếp trong xã hội khi cô còn rất trẻ.","Lydia on beş yaşında, sağlam yapılı, iyi gelişmiş bir kızdı; açık renk teni ve neşeli bir yüzü vardı; annesinin gözdesiydi; annesinin sevgisi onu genç yaşta insan içine çıkarmıştı.","Lydia era fuerte, muy crecida para tener quince años, tenía buena figura y un carácter muy alegre. Era la favorita de su madre que por el amor que le tenía la había presentado en sociedad a una edad muy temprana."
724,,"She had high animal spirits, and a sort of natural self-consequence, which the attentions of the officers, to whom her uncle’s good dinners and her own easy manners recommended her, had increased into assurance.","Cô có tính khí sôi nổi và cung cách tự cho mình là quan trọng, qua đấy tạo sự chú ý của các sĩ quan hay qua nhà ông chú. Cộng thêm với tư cách dung dị, những giao tiếp đã làm cô thêm phần tự tin.",Coşkulu bir ruhu ve doğal bir kendini kabul ettirme yeteneği vardı ki dayısının akşam yemekleri ve kendi rahat tavırları sayesinde subayların ilgisini toplayarak özgüvene dönüşmüştü.,"Era muy impulsiva y se daba mucha importancia, lo que había aumentado con las atenciones que recibía de los oficiales, a lo que las cenas de su tía y sus modales sencillos contribuían."
725,"['bingley', 'mr bingley']","She was very equal, therefore, to address mr Bingley on the subject of the ball, and abruptly reminded him of his promise; adding, that it would be the most shameful thing in the world if he did not keep it.",Vì thế cô tự cho mình có vị thế ngang bằng để đề cập với Bingley về việc tổ chức buổi dạ vũ và thình lình nhắc anh giữ lời hứa. Cô lại nhắc thêm rằng nếu anh không giữ chữ tín thì đấy là điều đáng hổ thẹn nhất trên đời.,"Dolayısıyla, balo konusunda Mr Bingley'ye hitap eder ve ona dobralıkla sözünü hatırlatır, hatta sözünü tutmazsa bunun dünyadaki en utanç verici şey olacağını da eklerken gayet inandırıcıydı.","Por lo tanto, era la más adecuada para dirigirse a Bingley y recordarle su promesa; añadiendo que sería una vergüenza ante el mundo si no lo mantenía."
726,,His answer to this sudden attack was delightful to her mother’s ear.,Câu trả lời của anh đã khiến cho mẹ rất vui mừng.,Bingley'nin bu ani saldırıya verdiği cevap annesini mestetti–,Su respuesta a este repentino ataque fue encantadora a los oídos de la señora Bennet.
727,,"“I am perfectly ready, I assure you, to keep my engagement; and, when your sister is recovered, you shall, if you please, name the very day of the ball.","- Xin cô tin rằng tôi rất sẵn lòng giữ lời hứa, và khi chị cô khỏi bệnh, nếu cô muốn cô có thể định ngày giờ.","""Sözümü yerine getirmeye herşeyimle hazırım; ablanız iyileştiği zaman isterseniz balonun gününü siz seçersiniz.","––Le aseguro que estoy dispuesto a mantener mi compromiso, en cuanto su hermana esté bien; usted misma, si gusta, podrá señalar la fecha del baile: No querrá estar bailando mientras su hermana está enferma."
729,,Lydia declared herself satisfied.,- À vâng.,Lydia istediği cevabı aldığını söyledi.,Lydia se dio por satisfecha:
730,,"“Oh yes—it would be much better to wait till Jane was well; and by that time, most likely, Captain Carter would be at Meryton again.","Tốt hơn ta nên đợi đến khi chị Jane được khoẻ mạnh, và khi ấy rất có thể đại úy Carter sẽ trở lại Meryton.","""A evet –Jane iyileşene kadar beklemek daha iyi; o zamana kadar Yüzbaşı Carter da Meryton'a dönmüş olur.","––¡Oh! sí, será mucho mejor esperar a que Jane esté bien; y para entonces lo más seguro es que el capitán Carter estará de nuevo en Meryton."
731,,"And when you have given your ball,” she added, “I shall insist on their giving one also.","Và khi anh tổ chức dạ vũ, tôi sẽ đòi họ cùng tổ chức dạ vũ.","Siz kendi balonuzu verdikten sonra,"" diye ekledi, ""bir balo da onların vermesinde ısrar edeceğim.","Y cuando usted haya dado su baile ––agregó––, insistiré para que den también uno ellos."
732,"['forster', 'foster', 'albay forster']",I shall tell Colonel Forster it will be quite a shame if he does not.”,Tôi sẽ bảo đại tá Foster rằng thật xấu hổ nếu ông ấy từ chối.,Albay Forster'a vermezseniz çok ayıp olur diyeceğim.,Le diré al coronel Forster que sería lamentable que no lo hiciese.
733,,"ms Bennet and her daughters then departed, and Elizabeth returned instantly to Jane, leaving her own and her relations’ behaviour to the remarks of the two ladies and mr Darcy; the latter of whom, however, could not be prevailed on to join in their censure of her, in spite of all Miss Bingley’s witticisms on fine eyes.","Bà Bennet cùng hai cô con gái ra về, Elizabeth quay lại với Jane, để lại cách ứng xử của bà cùng hai cô em gái cho sự bình phẩm của hai người phụ nữ và Darcy. Tuy nhiên Darcy không hề muốn hùa với hai người về những lời phê bình dành cho bà Bennet, mặc dù cô Bingley đã có những ám chỉ về đôi mắt huyền.","Sonra Mrs Bennet'la kızları gittiler; Elizabeth hemen Jane'in yanına döndü, kendisinin ve ailesinin davranışlarını iki hanım ve Mr Darcy tarafından yorumlanmaya bırakarak; ne var ki Mr Darcy Miss Bingley'nin güzel gözler hakkındaki tüm iğneli şakalarına rağmen ikisinin onu çekiştirmelerine katılmaya ikna edilemedi.","Por fin la señora Bennet y sus hijas se fueron, y Elizabeth volvió al instante con Jane, dejando que las dos damas y el señor Darcy hiciesen sus comentarios acerca de su comportamiento y el de su familia. Sin embargo, Darcy no pudo compartir con los demás la censura hacia Elizabeth, a pesar de la agudeza de la señorita Bingley al hacer chistes sobre ojos bonitos."
734,,CHAPTER X.,Chương 10,Bölüm X,CAPÍTULO X
735,,THE day passed much as the day before had done.,Một ngày trôi qua tương tự như ngày trước đấy.,O gün hemen hemen bir önceki gün gibi geçti.,El día pasó lo mismo que el anterior.
736,,"ms Hurst and Miss Bingley had spent some hours of the morning with the invalid, who continued, though slowly, to mend; and, in the evening, Elizabeth joined their party in the drawing-room.",Bà Hurst và cô Bingley bỏ ra vài giờ buổi sáng ngồi với Jane đang dần bình phục.,Mrs Hurst ve Miss Bingley sabahın birkaç saatini yavaş da olsa iyileşmeye devam eden hastanın yanında geçirdiler; akşamleyin Elizabeth oturma odasındaki toplantılarına katıldı.,"La señora Hurst y la señorita Bingley habían estado por la mañana unas horas al lado de la enferma, que seguía mejorando, aunque lentamente. Por la tarde Elizabeth se reunió con ellas en el salón."
737,,"The loo table, however, did not appear.",Vào buổi tối Elizabeth ngồi với họ trong phòng khách.,Bu kez loo masası ortaya çıkmadı.,Pero no se dispuso la mesa de juego acostumbrada.
738,,"mr Darcy was writing, and Miss Bingley, seated near him, was watching the progress of his letter, and repeatedly calling off his attention by messages to his sister.","Mr Darcy đang viết một lá thư, cô Bingley ngồi kế bên anh, liên tục theo dõi việc anh làm khiến cho Darcy bị phân tâm trong việc viết thư cho em gái.",Mr Darcy yazı yazıyordu; onun yanında oturan Miss Bingley de mektubunun ilerleyişini izliyor ve kızkardeşine haber yollayarak sık sık adamın dikkatini dağıtıyordu.,"Darcy escribía y la señorita Bingley, sentada a su lado, seguía el curso de la carta, interrumpiéndole repetidas veces con mensajes para su hermana."
739,,"mr Hurst and mr Bingley were at piquet, and ms Hurst was observing their game.","Ông Hurst và Bingley thì đang chơi bài, và bà Hurst xem hai người chơi.",Mr Hurst'le Mr Bingley piket oynuyorlardı; Mrs Hurst oyunu takip ediyordu.,El señor Hurst y Bingley jugaban al piquet y la señora Hurst contemplaba la partida.
740,,"Elizabeth took up some needlework, and was sufficiently amused in attending to what passed between Darcy and his companion.","Elizabeth đang ngồi đan thêu, nhưng cũng cảm thấy thích thú để ý những gì diễn ra giữa Darcy và cô Bingley. Cuộc đối thoại kì lạ giữa hai người có phần phù hợp với những gì cô nhận xét về mọi người.",Elizabeth eline nakış işi aldı; Darcy'yle arkadaşı arasında geçenlere kulak kabartıp kendini epey eğlendirdi.,"Elizabeth se dedicó a una labor de aguja, y tenía suficiente entretenimiento con atender a lo que pasaba entre Darcy y su compañía."
741,,"The perpetual commendations of the lady either on his hand-writing, or on the evenness of his lines, or on the length of his letter, with the perfect unconcern with which her praises were received, formed a curious dialogue, and was exactly in unison with her opinion of each.","Elizabeth đang ngồi đan thêu, nhưng cũng cảm thấy thích thú để ý những gì diễn ra giữa Darcy và cô Bingley. Cuộc đối thoại kì lạ giữa hai người có phần phù hợp với những gì cô nhận xét về mọi người. Với những lời khen của cô Bingley về nét chữ đẹp hoặc dòng chữ đều nhau của anh, và cách anh nhận lời khen của cô với vẻ vô tâm tuyệt đối.",Kızın ya el yazısı ya satırlarının düzgünlüğü ya da mektubunun uzunluğu hakkında habire yorum yapması övgülerinin karşılandığı mutlak tepkisizlikle birlikte düşünülünce tuhaf bir diyalog meydana getiriyordu ve Elizabeth'in ikisiyle ilgili görüşlerine tastamam uyuyordu.,"Los constantes elogios de ésta a la caligrafía de Darcy, a la simetría de sus renglones o a la extensión de la carta, así como la absoluta indiferencia con que eran recibidos, constituían un curioso diálogo que estaba exactamente de acuerdo con la opinión que Elizabeth tenía de cada uno de ellos."
742,"['miss darcy', 'darcy']",“How delighted Miss Darcy will be to receive such a letter!”,- Hẳn là cô Darcy sẽ rất vui mừng khi nhận được thư của anh.,"""Böyle bir mektup almak Miss Darcy'yi ne kadar mutlu edecek!",––¡Qué contenta se pondrá la señorita Darcy cuando reciba esta carta!
743,,He made no answer.,Darcy không trả lời.,Adam cevap vermedi.,Él no contestó.
744,,“You write uncommonly fast.”,- Anh viết nhanh một cách lạ thường.,"""Fevkalade hızlı yazıyorsunuz.",––Escribe usted más deprisa que nadie.
745,,“You are mistaken.,"- Cô nhầm rồi, tôi viết khá chậm.","""Yanılıyorsunuz.",––Se equivoca.
746,,I write rather slowly.”,"- Cô nhầm rồi, tôi viết khá chậm.",Yavaş yazıyorum.,Escribo muy despacio.
747,,“How many letters you must have occasion to write in the course of a year!,- Có bao nhiêu là thư anh có cơ hội viết trong một năm!,"""Yıl boyu ne çok mektup yazmanız gerekiyordur!",––¡Cuántas cartas tendrá ocasión de escribir al cabo del año!
748,,"Letters of business, too!",Cả những lá thư kinh doanh nữa.,İş mektupları da vardır tabii!,Incluidas cartas de negocios.
749,,How odious I should think them!”,Tôi ghét những thư từ như thế.,Ne kadar iğrenç olurlar kimbilir!,¡Cómo las detesto!
750,,"“It is fortunate, then, that they fall to my lot instead of to yours.”",- Vậy thì điều may mắn là những lá thư ấy gắn liền với số phận của tôi thay vì của cô.,"""İş mektubu yazmak bana düştüğü için talihlisiniz, demek ki.","––Es una suerte, pues, que sea yo y no usted, el que tenga que escribirlas."
751,,“Pray tell your sister that I long to see her.”,- Xin anh vui lòng nhắn với cô ấy rằng tôi rất mong gặp lại cô ấy.,"""Lütfen kardeşinize söyleyin, onu çok göresim geldi.",––Le ruego que le diga a su hermana que deseo mucho verla.
752,,"“I have already told her so once, by your desire.”",- Tôi đã nhắn một lần rồi theo như lời yêu cầu của cô.,"""Zaten söyledim bir sefer, arzunuz üzerine.","––Ya se lo he dicho una vez, por petición suya."
753,,“I am afraid you do not like your pen.,- T ôi e rằng anh không thích cây bút ấy.,"""Korkarım kaleminizden hoşlanmadınız.",––Me temo que su pluma no le va bien.
754,,Let me mend it for you.,Đưa tôi chữa cho.,Sizin için ucunu açayım.,"Déjeme que se la afile, lo hago increíblemente bien."
755,,I mend pens remarkably well.”,Tôi chữa bút khá hay đấy.,Kalem ucu açmaktan çok iyi anlarım.,"––Gracias, pero yo siempre afilo mi propia pluma."
756,,“Thank you—but I always mend my own.”,- Cảm ơn cô nhưng tôi luôn tự chữa lấy.,"""Sağolun –her zaman kendim açarım.","––Gracias, pero yo siempre afilo mi propia pluma."
757,,“How can you contrive to write so even?”,- Làm thế nào anh nghĩ ra cách viết đều hàng như thế?,"""Bu kadar düzgün yazmayı nasıl beceriyorsunuz?",––¿Cómo puede lograr una escritura tan uniforme?
758,,He was silent.,Darcy chỉ im lặng.,Cevap yok.,Darcy no hizo ningún comentario.
759,,"“Tell your sister I am delighted to hear of her improvement on the harp, and pray let her know that I am quite in raptures with her beautiful little design for a table, and I think it infinitely superior to Miss Grantley’s.”","- Anh nhớ bảo cô em rằng tôi vui mừng khi nghe cô ấy có nhiều tiến bộ về đàn nhạc. Xin cho cô ấy biết luôn là tôi rất say mê thiết kế nhỏ của cô ấy cho cái bàn, và tôi nghĩ rằng nó rõ ràng đẹp hơn cái của cô Grantley.","""Kardeşinize arp çalmayı ilerletmesine sevindiğimi söyleyin; bir de lütfen söyleyin onun o güzelim masa çizimine hayran kaldım, bence Miss Grantley'ninkinden çok üstün.","––Dígale a su hermana que me alegro de saber que ha hecho muchos progresos con el arpa; y le ruego que también le diga que estoy entusiasmada con el diseño de mesa que hizo, y que creo que es infinitamente superior al de la señorita Grantley."
760,,“Will you give me leave to defer your raptures till I write again?,- Cô có thể cho phép tôi hoãn sự say mê của cô đến thư sau được không?,"""Hayranlığınızı bir dahaki mektuba ertelemememe izin verir misiniz?",––¿Me permite que aplace su entusiasmo para otra carta?
761,,At present I have not room to do them justice.”,Hiện giờ tôi không đủ giấy để viết.,Artık fazla yerim kalmadı.,En la presente ya no tengo espacio para más elogios.
762,,"“Oh, it is of no consequence.",- À! Không sao.,"""A, önemli değil.","––¡Oh!, no tiene importancia."
763,,I shall see her in January.,Tôi sẽ gặp cô ấy vào tháng giêng.,Nasılsa onu Ocak'ta göreceğim.,La veré en enero.
764,"['darcy', 'mr darcy']","But do you always write such charming long letters to her, mr Darcy?”","Nhưng anh có thường viết những lá thư dài lôi cuốn như thế không, anh Darcy?","Ama her zaman böyle güzel uzun mektuplar yazar mısınız ona, Mr Darcy?""","Pero, ¿siempre le escribe cartas tan largas y encantadoras, señor Darcy?"
765,,"“They are generally long; but whether always charming, it is not for me to determine.”","- Thường những lá thư do tôi viết đều dài, còn có lôi cuốn hay không thì tôi không biết.","""Genellikle uzun olurlar; ama her zaman güzel olurlar mı, karar vermek bana düşmez.","––Generalmente son largas; pero si son encantadoras o no, no soy yo quien debe juzgarlo."
766,,"“It is a rule with me, that a person who can write a long letter with ease cannot write ill.”","- Tôi nhận ra quy luật rằng, một người viết một lá thư dài dễ dàng thì nội dung đều rất lôi cuốn.","""Bence kural şudur, uzun bir mektubu rahat yazabilen biri kötü yazamaz.","––Para mí es como una norma, cuando una persona escribe cartas tan largas con tanta facilidad no puede escribir mal."
767,,"“That will not do for a compliment to Darcy, Caroline,” cried her brother, “because he does not write with ease.","Bingley thốt lên: - Caroline, đấy không phải là cách khen ngợi Darcy đâu, vì rằng anh ta không viết lá thư một cách dễ dàng.","""Bu Darcy için iltifat yerine geçmez, Caroline,"" diye haykırdı kardeşi – ""çünkü rahat yazmaz.","––Ese cumplido no vale para Darcy, Caroline ––interrumpió su hermano––, porque no escribe con facilidad."
768,,He studies too much for words of four syllables.,"Anh ta đã học được khá nhiều từ thô tục, có phải thế không anh bạn?",Dört heceli kelime arar uzun uzun.,Estudia demasiado las palabras.
770,,“My style of writing is very different from yours.”,- Cách viết của tôi khác hẳn với cậu đấy.,"""Yazı tarzım seninkinden çok farklı.",––Mi estilo es muy distinto al tuyo.
771,,"“Oh,” cried Miss Bingley, “Charles writes in the most careless way imaginable.",- À! Charles viết theo cách cẩu thả nhất mà người ta có thể tưởng tượng được.,"""Oo!"" diye haykırdı Miss Bingley, ""Charles hayal edilebilecek en dikkatsiz şekilde yazar.",––¡Oh! ––exclamó la señorita Bingley––. Charles escribe sin ningún cuidado.
772,,"He leaves out half his words, and blots the rest.”",Anh ấy bỏ đi phân nửa số chữ và bôi bẩn phân nửa còn lại. – Cô Bingley tiếp lời.,"Kelimelerin yarısını unutur, kalanı da mürekkebe bular.",Se come la mitad de las palabras y emborrona el resto.
773,,“My ideas flow so rapidly that I have not time to express them; by which means my letters sometimes convey no ideas at all to my correspondents.”,- Ý tưởng của tôi tuôn ra nhanh đến nỗi tôi không có thời gian trình bày. Theo cách thức ấy các lá thư của tôi nhiều lúc không truyền đạt được những gì tôi muốn đến người nhận.,"""Düşüncelerim öyle hızlı akıyor ki ifade edecek zaman bulamıyorum –bu yüzden bazen okuyanlar mektuplarımdan anlam çıkaramıyorlar.","––Las ideas me vienen tan rápido que no tengo tiempo de expresarlas; de manera que, a veces, mis cartas no comunican ninguna idea al que las recibe."
774,,"“Your humility, mr Bingley,” said Elizabeth, “must disarm reproof.”","Elizabeth nói: - Anh Bingley, sự khiêm tốn của anh khiến người ta không thể chê trách anh được.","""Öyle alçakgönüllüsünüz ki, Mr Bingley,"" dedi Elizabeth, ""insan size kusur bulmayı aklından bile geçiremez.","––Su humildad, señor Bingley ––intervino Elizabeth––, tiene que desarmar todos los reproches."
775,,"“Nothing is more deceitful,” said Darcy, “than the appearance of humility.",- Không có gì dối trá hơn là vẻ khiêm tốn bề ngoài.,"""Hiçbir şey alçakgönüllü bir görünümden daha yanıltıcı değildir,"" dedi Darcy.",––Nada es más engañoso ––dijo Darcy–– que la apariencia de humildad.
776,,"It is often only carelessness of opinion, and sometimes an indirect boast.”","Thường nó là sự cẩu thả trong việc diễn đạt ý kiến, đôi lúc còn là cách khoe khoang gián tiếp. – Darcy nói.","""Sık sık sadece düşünce dikkatsizliği, bazen de dolaylı bir övünmedir.","Normalmente no es otra cosa que falta de opinión, y a veces es una forma indirecta de vanagloriarse."
777,,“And which of the two do you call my little recent piece of modesty?”,- Và anh xem sự khiêm tốn nhỏ của tôi vừa rồi thuộc vào loại nào thế?,"""Peki benim bu son mütevazilik örneğim sence hangisi?",––¿Y cuál de esos dos calificativos aplicas a mi reciente acto de modestia?
778,,"“The indirect boast; for you are really proud of your defects in writing, because you consider them as proceeding from a rapidity of thought and carelessness of execution, which, if not estimable, you think at least highly interesting.","- Đấy là cách khoe khoang gián tiếp, vì thực ra anh hãnh diện về những khuyết điểm của anh khi viết thư, vì anh xem những khuyết điểm này là do ý tưởng nhanh và trình bày vụng về, anh nghĩ ít nhất đấy là điểm thú vị.","""Dolaylı övünme, çünkü yazındaki kusurlardan gerçekte gurur duyuyorsun, bunların düşünce hızından ve uygulama dikkatsizliğinden geldiğini düşünüyorsun ki bu da sence takdire şayan değilse bile hayli enteresan bir şey.","––Una forma indirecta de vanagloriarse; porque tú, en realidad, estás orgulloso de tus defectos como escritor, puesto que los atribuyes a tu rapidez de pensamientos y a un descuido en la ejecución, cosa que consideras, si no muy estimable, al menos muy interesante."
779,,"The power of doing anything with quickness is always much prized by the possessor, and often without any attention to the imperfection of the performance.","Những người thầy thường đánh giá cao khả năng làm việc gì cũng nhanh nhẹn, và thường không để ý đến việc cầu toàn.",Bir şeyi hızlı yapma gücü o işi yapan kişi tarafından her zaman pek beğenilir ve işin kusurlarına pek dikkat edilmez.,"Siempre se aprecia mucho el poder de hacer cualquier cosa con rapidez, y no se presta atención a la imperfección con la que se hace."
780,,"When you told ms Bennet this morning, that if you ever resolved on quitting Netherfield you should be gone in five minutes, you meant it to be a sort of panegyric, of compliment to yourself; and yet what is there so very laudable in a precipitance which must leave very necessary business undone, and can be of no real advantage to yourself or anyone else?”","Khi anh nói với bà Bennet trong sáng nay rằng nếu anh quyết chí rời Netherfield anh sẽ đi trong năm phút, đấy là một cách tự khen mình. Tuy nhiên, có gì đáng khen ngợi đâu trong sự hấp tấp làm cho mọi công việc cần thiết bị dở dang và không có lợi gì cho mình hoặc cho bất cứ ai?","Bu sabah Mrs Bennet'a Netherfield'i bırakmaya karar verirsem beş dakika içinde giderim dediğinde bunu bir tür övünç vesilesi olarak söyledin, methiye gibi –oysa birçok önemli işi yarım bırakacak ve kendine de başkasına da faydası olmayacak bir aceleciliğin alkışlanacak nesi var?","Cuando esta mañana le dijiste a la señora Bennet que si alguna vez te decidías a dejar Netherfield, te irías en cinco minutos, fue una especie de elogio, de cumplido hacia ti mismo; y, sin embargo, ¿qué tiene de elogiable marcharse precipitadamente dejando, sin duda, asuntos sin resolver, lo que no puede ser beneficioso para ti ni para nadie?"
