en,en_results,Single_ent,en_shuffled
"“Okay, not exactly,” I admit. “But it makes me mad that she, like, thinks you need her approval to move on, or something. If she was so in love with Peter, she never should’ve strung you along like that, but she did, and she dumped you in the worst possible way, and then for her to just insist that you view her kindly—to try to make you not mad, instead of just letting you move on . . . it’s selfish.","""Title"": To All the Boys I've Loved Before
""Author"": Jenny Han",['peter'],"selfish. you and mad it instead Peter, on that should’ve move “But her she kindly—to worst but in you you you love view not just possible with to you did, that on, . was in it’s letting she just way, If exactly,” so move dumped to her “Okay, for she something. of you to admit. she her . not make makes try along then she, like, that, like never need and or strung the I . thinks insist me mad, approval"
"“So maybe it’s immature and stupid. But it does make me feel a little better, to think that maybe she’ll see these pictures and remember that, even if she’s not overall an asshole, she was the asshole in this scenario, and she didn’t appreciate you, and she should have. Even if all that meant was letting you go before telling my boyfriend she was in love with him, instead of keeping you on the back burner in case Peter turned her down.","Based on the passage, I'm going to take a guess that the book is ""Eleanor & Park"" by Rainbow Rowell.

The writing style, tone, and language used in the passage seem to match Rowell's style, and the themes of relationships, love, and hurt feelings also align with the book's plot.

Here's my output:

""title"": ""Eleanor & Park"",
""author"": ""Rainbow Rowell""",['peter'],"Even in these Peter feel in didn’t meant it’s But not she love “So a should asshole, him, to that instead immature if in burner my this and back that, little go was you she stupid. keeping before all you pictures case it she’ll remember and me an asshole with she even you, overall see that and down. the her letting better, she the appreciate if turned does boyfriend on she’s telling was have. make scenario, maybe was of think and maybe"
"At work, I help Harvey swap out the programming corkboard for the week. Waning Bay Public Library is a small enough operation that it’s usually all hands on deck. You do whatever needs doing, regardless of job title.","Based on the passage, I'm going to take a guess that the book is ""The Library at Mount Char"" by Scott Hawkins.

Here's my output:

""title"": ""The Library at Mount Char"",
""author"": ""Scott Hawkins""

Please let me know if I'm correct or not!",['harvey'],"of that do regardless on is Bay help out I work, swap Harvey week. Library for all deck. programming hands At enough a usually title. Public operation whatever job the small needs Waning doing, it’s You corkboard the"
"He bears more than a passing resemblance to Morgan Freeman, and his voice, although raspier and not quite so low, has the same kind of gravitas. It’s a voice that makes you want to do him proud.","Based on the passage, I'm going to take a guess that it originates from the book ""The Hate U Give"" by Angie Thomas.

My reasoning is as follows:

* The passage describes a character's voice as having ""gravitas,"" which is a distinctive and memorable detail. I recall that the character of Maverick Carter, the father of the protagonist Starr, is described in a similar way in ""The Hate U Give"".
* The comparison to Morgan Freeman is also a distinctive detail that I associate",['morgan freeman'],"his voice, so want to same has quite proud. do him gravitas. low, resemblance more kind than and Morgan you He a the and not makes voice although It’s a to Freeman, passing raspier bears that of"
"“We’re lucky to have you,” Harvey goes on, hanging the sign-up sheet for Friday’s Dungeons & Dragons tournament. “Just keep bringing your whole heart in for those kids. That’s all.”","Based on the passage, I'm going to take a guess that the book is ""The Perks of Being a Wallflower"" by Stephen Chbosky.

Here's my output:

""title"": ""The Perks of Being a Wallflower"",
""author"": ""Stephen Chbosky""

Please let me know if I'm correct or not!",['harvey'],"& sheet to for “We’re goes Harvey keep sign-up whole That’s hanging the those bringing lucky for all.” kids. Dragons Dungeons Friday’s heart tournament. in your on, “Just you,” have"
"He sets his forearms atop the door. “Well, Daphne, I’m less sure how I feel about it since that snarky Big Bad Wolf comment.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not! 😊",['daphne'],"less sets sure I’m snarky “Well, Big about the it how his feel He atop comment.” I Wolf Bad door. forearms that Daphne, since"
"“Is that so?” The smaller of the two women, Barb, perks up. She starts rustling through the crates. “Let me find you the best of the best.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Power"" by Naomi Alderman.

Here's my output:

""title"": ""The Power"",
""author"": ""Naomi Alderman""

Please note that this is just a guess, and I may be incorrect. The passage is quite short and doesn't provide much context, so it's difficult to make a definitive identification. However, the style and tone of the passage seem to match the writing style of",['barb'],"starts best.” “Let “Is of of best the up. that me you rustling find so?” the the smaller Barb, two the perks crates. The women, She through"
"“No, no, of course not,” the other woman, a head taller than the first, says, “but Barb does have a knack for picking the best, and we want our first-timers to come back, so let her work her magic.”","Based on the passage, I'm going to take a guess that the book is ""The Girls"" by Emma Cline.

Here's my output:

""title"": ""The Girls"",
""author"": ""Emma Cline""

Please let me know if I'm correct or not!",['barb'],"the let magic.” knack other than says, her and first-timers woman, for head first, a “but back, Barb have “No, does the best, picking we of not,” no, our come her course the to work taller so want a"
"“It means our chef, Martín, makes a few different menus every season, and I get the best stuff I can find for him. So I go to the butcher, and the farm stands, and the olive oil store, and the cheesemonger—”","""Title"": ""The Particular Sadness of Lemon Cake"", ""Author"": ""Aimee Bender""",['martín'],"find stuff can few stands, every chef, the the menus our different makes and store, for season, I I get go and cheesemonger—” a butcher, and the I means So the “It farm Martín, best and oil olive to him. the"
"Clarence can’t be more than five years older than either of us, soft-spoken with curly red hair. He isn’t a farmer himself, just the attendant for the little shop in the whitewashed cottage beyond the rows of vibrant purple flowers heavily populated by bumblebees.","Based on the passage, I'm going to take a guess that the book is ""The Night Circus"" by Erin Morgenstern.

Here's my reasoning:

* The passage mentions a character named Clarence, who is described as soft-spoken with curly red hair. This character doesn't seem to be a main character, but rather a supporting character who works in a small shop.
* The setting of the passage appears to be a rural or countryside area, with a whitewashed cottage and rows",['clarence'],"more attendant soft-spoken years a isn’t than heavily beyond by older five purple be of the shop either with the himself, flowers vibrant cottage Clarence He can’t for the just populated curly red in hair. of rows us, little the farmer bumblebees. than whitewashed"
"“Do you know why he moved here?” he says. “Do you know his whole family doesn’t even talk to him? That guy is such a loser, Daphne. You can do way better.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['daphne'],"do That he you he even Daphne. doesn’t says. you why “Do know better.” to talk moved a such loser, guy family here?” know him? You his way “Do is can whole"
"On the one hand, it feels like maybe I just had a very vivid sex dream about him and need to act normal until a salacious dream about, like, Santa Claus overshadows it.","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['santa claus'],"salacious about hand, very it dream sex him just act feels I need like a like, a about, maybe Claus had one vivid Santa to it. On normal dream until and the overshadows"
"Miles’s head cocks on a knowing smirk. “It’s not about me. It’s you. He wants you both. He’s with Petra, but he still wants you to be in love with him.”","Based on the passage, I'm going to take a guess that the book is ""A Court of Thorns and Roses"" by Sarah J. Maas.

Here's my output:

""title"": ""A Court of Thorns and Roses"",
""author"": ""Sarah J. Maas""

Please let me know if I'm correct or not!",['petra'],"me. with but about he on you wants wants He a you. not Petra, still “It’s you cocks with knowing to Miles’s love head smirk. both. It’s him.” He’s in be"
"He turns toward me, my hands skating over his back, coming to rest on his shoulders. He catches my wrists in light, loose circles, his gaze falling. “Sorry, I’m . . .” He takes a breath. “I guess I’m surprised Petra told him that. I just . . . I barely even talked about that stuff with her.”","Based on the passage, I'm going to take a guess that the book is ""The Sea of Tranquility"" by Katja Millay.

Here's my reasoning:

* The passage has a contemporary romance feel to it, with a focus on character emotions and relationships.
* The mention of a character named Petra suggests that the book may have a strong female protagonist and a cast of supporting characters.
* The tone of the passage is introspective and emotional, with a focus on the character's inner",['petra'],"breath. circles, back, falling. Petra takes . surprised him catches . shoulders. even I’m .” his about talked my a turns that. He gaze his his her.” skating “Sorry, told He to just light, with my in He barely rest . coming stuff . toward guess wrists loose . I that hands I’m over I on “I me,"
"My chest pinches. “Sort of. I mean, maybe not close. But they were always really nice. His mom came wedding dress shopping with me and my mom. And she got a monogrammed Christmas stocking made for me to match his and his brother’s. They’re the kind of family with a million traditions. Certain plates and specific desserts for each of their birthdays. Every single thing in their house was some kind of heirloom with some great story, and he and his brother, Ben, would argue over who’d inherit what someday, but in this jokey way. The whole extended family always comes here for New Year’s Eve and they do a white elephant gift exchange, and it’s all very . . . I don’t know. I just really wanted . . .”","Based on the passage, I'm going to take a guess that the book is ""The Seven Husbands of Evelyn Hugo"" by Taylor Jenkins Reid.

Here's my reasoning:

* The passage mentions a wedding dress shopping scene, which is a key plot point in ""The Seven Husbands of Evelyn Hugo"".
* The mention of a close-knit family with many traditions and heirlooms also fits with the themes of family and legacy in the book.
* The tone of the passage, which",['ben'],".” . The close. Christmas desserts kind who’d what family white not really brother’s. nice. this . single was really They’re some whole monogrammed kind brother, His and their house with mom gift and my made got wedding and someday, New mom. “Sort I for his a a inherit family Certain way. came his Every know. jokey his would all in over the they But a dress And comes heirloom were always she he to exchange, traditions. just birthdays. of. wanted mean, with I story, chest I do me some very with million they . but of pinches. in of always me shopping maybe don’t elephant Year’s each for and . and thing and argue extended plates match here their it’s stocking Eve . specific of great and Ben, My for"
"“Too busy. When I was a kid, she worked a lot to make ends meet, and she always said she’d rather spend her free time with me. I figured once I went to college, she’d give it a try. Instead she got really into CrossFit and made a ton of friends. She’s always basically either exercising with a lady named Pam or taking art classes with a woman named Jan, or drinking smoothies with both of them. She’s really happy, though. That’s what matters.”","Based on the passage, I'm going to take a guess that the book is ""The Hate U Give"" by Angie Thomas.

Here's my reasoning:

* The passage mentions the protagonist's mother being busy and working a lot to make ends meet, which is a common theme in ""The Hate U Give"".
* The mention of CrossFit and art classes also seems to fit with the character development in the book.
* The tone of the passage, which is conversational and introspective, also matches",['pam'],"Jan, give I rather I art once named lot me. always kid, “Too her or of really friends. exercising lady Instead with a woman into ton got and she try. named taking Pam really or was happy, meet, matters.” a though. to ends made When she’d She’s I spend a figured time classes them. college, make busy. it what CrossFit with with a said That’s worked basically a a drinking smoothies always with She’s she went both free and either to she she’d of"
The serious one who gives good eyebrow and the wisecracking sidekick who is absolutely always Ryan Reynolds or someone nearly indistinguishable from Ryan Reynolds when you close your eyes.,"Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

The passage mentions a ""serious one"" and a ""wisecracking sidekick"", which reminds me of the dynamic between the two main characters, Lucy Hutton and Joshua Templeman, in ""The Hating Game"". The mention of Ryan Reynolds also suggests a contemporary romance novel, which fits with the genre of ""The Hating Game"".

So,",['ryan reynolds'],your when eyes. serious always nearly Ryan gives the Reynolds sidekick someone or Reynolds one wisecracking eyebrow and is from indistinguishable close The you who who good Ryan absolutely
"I lean into the pressure, pitching my weight forward into my hands on either side of him. His palms scrape down me, and we rock together in slow, heavy waves. He pulls the open center of my shirt to one side so half of my chest is bared. “God, Daphne,” he says, dragging the open neckline back the other way, lifting himself enough to catch bare skin in his mouth this time.","Based on the passage, I'm going to take a guess that it originates from the book ""The Sea of Tranquility"" by Katja Millay.

Here's my output:

""title"": ""The Sea of Tranquility"",
""author"": ""Katja Millay""

Please note that I'm not 100% certain, but the writing style and the intimate scene described in the passage seem to match the tone and style of ""The Sea of Tranquility"", which is a new adult",['daphne'],"my His open is way, dragging in “God, pressure, on my enough of to heavy the open of one says, down me, Daphne,” slow, lifting he together mouth He of him. forward shirt center neckline side either and other so weight waves. the to his back the in skin chest catch himself bared. scrape we half I time. palms side my this into pulls the pitching lean hands rock into my bare"
"It was probably too honest for a stupid get-to-know-you game, but when it was my turn I said, “Unfortunately, I’m probably Charlotte Lucas.”","Based on the passage, I'm going to take a guess that it originates from the book ""Eligible"" by Curtis Sittenfeld.

The mention of ""Charlotte Lucas"" suggests a connection to Jane Austen's ""Pride and Prejudice"", as Charlotte Lucas is a character in that novel. Curtis Sittenfeld's ""Eligible"" is a modern retelling of ""Pride and Prejudice"" set in Cincinnati, Ohio, which makes it a plausible source for the",['charlotte lucas'],"get-to-know-you was said, was stupid a Charlotte probably game, but when it I’m turn my honest Lucas.” “Unfortunately, for I It probably too"
"“Hi!” she says brightly, hurling—actually throwing—her duffel bag in the general direction of the living room. “You must be the roommate, Daphne.”","""Title"": ""The Roommate"", ""Author"": ""Unknown""",['daphne'],"general in duffel be bag Daphne.” says hurling—actually must the the brightly, “You she roommate, living of “Hi!” direction the room. throwing—her"
"He swats her hand out of the way. “Jules, inside voice. Our crotchety neighbor is going to come yell at us.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['jules'],"at “Jules, out come is crotchety yell way. neighbor the us.” going inside of swats voice. He to hand her Our"
"She spins toward me, face alight, a more extreme version of Miles’s lit-from-within, delighted-by-everything grin. “I’ll give you twenty bucks if you tell me the truth, Daphne.”","Based on the passage, I'm going to take a guess that the book is ""The Interestings"" by Meg Wolitzer.

Here's my output:

""title"": ""The Interestings"",
""author"": ""Meg Wolitzer""

Please let me know if I'm correct or not!",['daphne'],"bucks lit-from-within, if you delighted-by-everything me, grin. a She “I’ll more spins of give me Miles’s alight, you truth, Daphne.” face twenty toward tell extreme version the"
"He leans forward and peers around the cupboard to see the oven clock. “Shit.” He passes me one of the thermoses. “I gave myself an extra fifteen minutes, and there was no line, but then I got caught up talking to the barista and . . . anyway, I’m sorry, Daphne.”","Based on the passage, I'm going to take a guess that the book is ""The Hating Game"" by Sally Thorne.

Here's my reasoning:

* The tone of the passage seems to be light-hearted and conversational, which matches the tone of ""The Hating Game"".
* The use of everyday language and relatable situations (e.g. getting caught up talking to a barista) also suggests a contemporary romance novel like ""The Hating Game"".
* The name ""Daph",['daphne'],"the oven the . sorry, see clock. around an . to “Shit.” fifteen I’m and He Daphne.” thermoses. got “I the was and peers up then there minutes, extra to gave cupboard He but I leans one and forward me caught of talking no passes the anyway, myself barista line, ."
"I’m not buying it, though: the last time I wore a skirt at work, Handsy Stanley told me I was going to give him a heart attack.","Based on the passage, I'm going to take a guess that it originates from the book ""The Devil Wears Prada"" by Lauren Weisberger.

Here's my output:

""title"": ""The Devil Wears Prada"",
""author"": ""Lauren Weisberger""

Please let me know if I'm correct or not!",['handsy stanley'],"Handsy him give time last told wore work, was me heart I though: Stanley skirt it, a a attack. the going to at buying I I’m not"
"“Enjoy it,” he says. “I don’t plan on getting up this early ever again. I hate to admit it, but Petra was right.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Giver"" by Lois Lowry.

Here's my output:

""title"": ""The Giver"",
""author"": ""Lois Lowry""

Please let me know if I'm correct or not!",['petra'],"“Enjoy don’t says. it,” up plan “I ever on admit again. right.” getting he to hate it, was Petra this but early I"
"“Yes, Daphne, if something changes, and I need to escape a freshwater shark, I’ll paddle my little heart out and leave you for dead.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not! 😊",['daphne'],"heart for shark, a out I’ll little something changes, freshwater paddle my and you “Yes, and Daphne, escape if need to I leave dead.”"
"He swims toward me, loops an arm around my back, my stomach lifting into my chest at the feeling of his skin on mine, his weight pulling us downward as my heart buoys into the back of my throat. “Your physics are off, Daphne,” he says against my ear as we start to sink.","Based on the passage, I'm going to take a guess that the book is ""The Song of Achilles"" by Madeline Miller.

Here's my output:

""title"": ""The Song of Achilles"",
""author"": ""Madeline Miller""

Please let me know if I'm correct or not!",['daphne'],"skin his start heart my my into says my mine, chest toward at me, buoys Daphne,” my against throat. weight back stomach the into he around “Your sink. the ear lifting on swims my to back, as of his pulling physics of off, us arm feeling downward as an we loops He my are"
"Looking at his mouth, I forget what we were just talking about. I swallow a thorny knot and touch the scratchy corner of his jaw. “Beard’s almost back.”","Based on the passage, I'm going to take a guess that it originates from the book ""Me Before You"" by Jojo Moyes.

Here's my output:

""title"": ""Me Before You"",
""author"": ""Jojo Moyes""

Please let me know if I'm correct or not!",['beard'],"mouth, knot his about. touch “Beard’s his almost what scratchy corner and the of we forget I swallow Looking just thorny were jaw. talking a at back.” I"
"His hand circles my wrist lightly, an electric frisson leaping from him to me. “Petra hated it too,” he says, his voice a buzz, half heard through the music.","Based on the passage, I'm going to take a guess that it originates from the book ""The Cruel Prince"" by Holly Black.

Here's my output:

""title"": ""The Cruel Prince"",
""author"": ""Holly Black""

Please let me know if I'm correct or not!",['petra'],"heard His a lightly, says, circles me. he from an half frisson “Petra his buzz, leaping my to electric it music. hand him hated the voice too,” through wrist"
"“Can I ask . . .” I trail off, trying to decide how to phrase it. “Is it too soon for me to ask what happened? Between you and Duke?”","""Title"": ""The Sea of Tranquility"", ""Author"": ""Katja Millay""",['duke'],"ask .” to for soon what ask “Is off, me trail it . happened? how Between and trying decide . it. you “Can Duke?” I to too phrase I to"
"“Duke was my high school boyfriend,” she says, then pauses to chew for a second. “We broke up when we went to college. Then we both ended up back here. Eventually, we ran into each other at the YMCA, then met up at his car in the parking lot, as I mentioned.”","Based on the passage, I'm going to take a guess that the book is ""The Last House Guest"" by Megan Miranda.

Here's my output:

""title"": ""The Last House Guest"",
""author"": ""Megan Miranda""

Please let me know if I'm correct or not!",['duke'],"pauses broke at the went YMCA, she ran “Duke at college. Eventually, as here. says, a mentioned.” when each back up up second. chew ended up lot, Then then the then my I we met other “We we parking to for boyfriend,” we his car in both into to high school was"
"She gives a blasé shrug. “Sometimes it’s terrible, but this was my choice. I think a lot of my friends thought I was a selfish idiot, giving up a pretty good thing just for the hope of a really good thing. But how can I teach my kid not to settle if I’m not willing to fight for the life I want? I tried so hard to love the one I had, and if Duke had tried too, I would’ve held on. But he’s just one of those guys who doesn’t believe in sharing his ‘business’ with a stranger, so therapy’s out.","Based on the passage, I'm going to take a guess that the book is ""The Seven Husbands of Evelyn Hugo"" by Taylor Jenkins Reid.

Here's my reasoning:

* The writing style and tone of the passage seem to match the style of Taylor Jenkins Reid, who is known for her contemporary women's fiction and romance novels.
* The themes of relationships, love, and personal growth mentioned in the passage are common in Reid's works.
* The character's introspection and self-awareness",['duke'],"settle the and fight thing was a “Sometimes lot I giving for it’s terrible, would’ve too, life my if to of I not he’s out. to of But shrug. think idiot, But this for of with was good tried love a I up one who selfish blasé want? held guys ‘business’ gives a a hard I really the just friends but how a on. the so tried thought doesn’t therapy’s kid hope had, his good choice. teach had not She a Duke just sharing my to thing. in I willing I I’m can those I believe my pretty one if stranger, so"
"I must take too long to go on, because a slight smile tugs at his mouth, his eyes sparking with humor. “There’s no pressure, Daphne,” he says. “If you don’t want to—”","Based on the passage, I'm going to take a guess that the book is ""The Duke and I"" by Julia Quinn.

Here's my output:

""title"": ""The Duke and I"",
""author"": ""Julia Quinn""

Please let me know if I'm correct or not! 😊",['daphne'],"go on, to—” mouth, humor. long his take must he a you don’t says. I too no eyes because “If to his tugs sparking at slight want Daphne,” with smile pressure, “There’s"
"The tiny woman with her, arms wrapped around Petra, both of them beaming in front of decimated plates of chocolate waffles on an orange-checked tablecloth.","Based on the passage, I'm going to take a guess that the book is ""The Girl with the Dragon Tattoo"" by Stieg Larsson.

Here's my output:

""title"": ""The Girl with the Dragon Tattoo"",
""author"": ""Stieg Larsson""

Please let me know if I'm correct or not!",['petra'],"both orange-checked of tiny waffles arms in woman chocolate tablecloth. of on them The Petra, an wrapped beaming front plates her, with of decimated around"
"Harvey snorts. “I know I’ve got a youthful glow, but I wasn’t born yesterday. Come in, come in. Shoes off. Everyone’s back in the breakfast nook.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Rosie Project"" by Graeme Simsion.

Here's my output:

""title"": ""The Rosie Project"",
""author"": ""Graeme Simsion""

Please let me know if I'm correct or not!",['harvey'],"nook.” Shoes in, know breakfast but yesterday. glow, the off. in. “I a Everyone’s come got born I’ve Harvey youthful snorts. back Come wasn’t I in"
"I slip my loafers off next to Ashleigh’s knee-high boots and we follow Harvey down a narrow, wood-paneled wall toward the sound of smooth jazz and the potent smell of cigar smoke. Every inch of the walls is devoted to at least three generations of family photos, ranging from recent shots of his granddaughters’ soccer tournaments all the way back to time-faded wedding portraits of him and his late wife.","Based on the passage, I'm going to take a guess that the book is ""The Seven Husbands of Evelyn Hugo"" by Taylor Jenkins Reid.

Here's my reasoning:

* The passage mentions a character named Ashleigh, which is a name that appears in the book.
* The setting of the passage, with its wood-paneled walls, family photos, and cigar smoke, suggests a luxurious and nostalgic atmosphere, which is consistent with the book's themes of old Hollywood and the life of a",['harvey'],"his the Harvey a least of loafers cigar of of slip of back devoted wood-paneled Ashleigh’s jazz to time-faded and down follow toward his way off and of my and recent smell I smooth the is from knee-high granddaughters’ shots to wall him the three of generations wedding all we sound smoke. boots tournaments photos, late the at Every family next soccer portraits narrow, walls to wife. ranging potent inch"
"Harvey moves out of the hallway, so we can slide into the breakfast nook after him. “Look who decided to finally show up,” he says, “and she brought us a new fifth!”","Based on the passage, I'm going to take a guess that the book is ""The Perks of Being a Wallflower"" by Stephen Chbosky.

Here's my output:

""title"": ""The Perks of Being a Wallflower"",
""author"": ""Stephen Chbosky""

Please let me know if I'm correct or not!",['harvey'],"so Harvey “and “Look out the says, slide brought hallway, after to a new nook the show into finally he breakfast him. we can who decided moves she fifth!” up,” of us"
They’re both wearing the same visors as when I met them. Both have matching cigars hanging out of their mouths. Lenore yanks hers out from between her lips as she stands to greet me. “What a nice surprise!”,"Based on the passage, I'm going to take a guess that it originates from the book ""Infinite Jest"" by David Foster Wallace.

Here's my output:

""title"": ""Infinite Jest"",
""author"": ""David Foster Wallace""

Please let me know if I'm correct or not!",['lenore'],as her cigars stands wearing of greet their the out mouths. yanks surprise!” me. to Both visors hers lips I them. Lenore a met from matching hanging “What have both out They’re same she as nice when between
"He puts the pitcher back in the fridge. “Go put on something nice, Daphne. We have to leave soon.” He squeezes past me to leave the kitchen.","Based on the passage, I'm going to take a guess that the book is ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['daphne'],"the nice, Daphne. on something We the He to to back kitchen. “Go past in He fridge. put have pitcher leave me puts soon.” the squeezes leave"
"And when I’m done telling him about the fundraiser, I find myself talking about the kids, about the staff, about our desperate need for an updated stock of kid lit, and by the end of our conversation, Lance has not only pledged ten kite-building sets for prizes but also offered to host a miniature-painting class for us in the fall.","Based on the passage, I'm going to take a guess that the book is ""The Rosie Project"" by Graeme Simsion.

Here's my reasoning:

* The tone of the passage is lighthearted and humorous, which matches the tone of ""The Rosie Project"".
* The protagonist is enthusiastic and passionate about their work, which is consistent with the character of Don Tillman in ""The Rosie Project"".
* The mention of a fundraiser and a need for updated kid lit suggests that the",['lance'],"by and also miniature-painting kite-building the telling conversation, but only has for about kids, stock him an our sets myself about find need a us our in end the of prizes Lance I staff, offered host talking updated fundraiser, the I’m fall. done ten the kid about when not for of to about the pledged And desperate class for lit,"
"Slow, soft, familiar. A relief of a kiss, and over way, way too soon, though from the way Petra is gawking at us, you’d think we’d just performed a handstanding sixty-nine in front of God and everyone.","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['petra'],"performed sixty-nine is way the and handstanding way, though you’d soon, gawking us, of way and from everyone. too familiar. Petra a of front kiss, a in soft, just God at we’d think relief over A Slow,"
"“She always thought I was reading too much into it,” he says. “But I think they were worried I couldn’t give Petra everything they want for her.”","Based on the passage, I'm going to take a guess that it originates from the book ""Matched"" by Ally Condie.

Here's my output:

""title"": ""Matched"",
""author"": ""Ally Condie""

Please let me know if I'm correct or not! 😊",['petra'],"I into for was I give everything think they he it,” Petra always they reading thought much “But I “She want worried too her.” couldn’t were says."
"Every night that week, we cook together—or Miles cooks, while Jules sits on the counter, curating a country playlist and singing along at top volume into whatever utensil her brother has most recently set down. I chop whatever he puts in front of me, wash whichever dishes he’s done with.","Based on the passage, I'm going to take a guess that the book is ""The Heart Principle"" by Helen Hoang.

Here's my output:

""title"": ""The Heart Principle"",
""author"": ""Helen Hoang""

Please let me know if I'm correct or not!",['jules'],"her Jules puts on wash together—or he’s me, chop in week, counter, sits whichever down. that I dishes whatever front cooks, he done Every Miles brother with. curating cook whatever has a utensil we the night country volume most playlist singing along and recently set while top into at of"
"“Daphne,” he murmurs behind me, still tender and sweet, pulling me in, my back to his chest, and coiling his arms around my waist.","Based on the passage, I'm going to take a guess that it originates from the book ""Fifty Shades of Grey"" by E.L. James.

Here's my output:

""title"": ""Fifty Shades of Grey"",
""author"": ""E.L. James""

Please let me know if I'm correct or not! 😊",['daphne'],"back to me in, his he chest, waist. and pulling his behind my and arms coiling me, “Daphne,” murmurs tender around sweet, still my"
"His smile widens. His fingers move absently to my chin, and I feel myself being drawn into him, our stomachs connecting, his heart pattering through me. “It’s a camel, Daphne,” he says wryly. “In sunglasses.”","Based on the passage, I'm going to take a guess that it originates from the book ""The Hating Game"" by Sally Thorne.

Here's my output:

""title"": ""The Hating Game"",
""author"": ""Sally Thorne""

Please let me know if I'm correct or not!",['daphne'],"fingers heart our smile absently His sunglasses.” feel chin, my connecting, widens. to he wryly. pattering being camel, stomachs and drawn move “It’s myself him, through His me. says into his a “In Daphne,” I"
"She groans. “A week from Saturday. Forty-three. And no to big plans. It just so happens to fall on the weekend Mulder and I get back from visiting my mom in Sedona, so he’ll be at his dad’s place, and I’ll be at home rotting my brain to the tune of Bravo reality TV.”","""Title"": ""Attachments"", ""Author"": ""Rainbow Rowell""",['mulder'],"She It big home weekend mom place, of happens be and the his rotting I just to to brain my Bravo And from I’ll be fall reality to back so visiting no plans. Sedona, on Saturday. TV.” my groans. the so get at tune at Mulder in “A dad’s and he’ll from week Forty-three."
"“Like a room,” I say. “In your house. You said Duke never wanted you to, right? And you’re tired of looking at the same four walls. So pick a wall color, and I’ll come help paint.”","""Title"": ""The Sea of Tranquility"", ""Author"": ""Katja Millay""",['duke'],"four pick said you’re So same at wall you And come never wanted I your help room,” “Like Duke the say. a “In a and You of tired looking to, house. color, paint.” walls. I’ll right?"
"There isn’t much else in the room. A bed, a dresser, a side table. I wonder whether Duke took most of the furniture with him. There’s a sadness to this space that I didn’t expect.","Based on the passage, I'm going to take a guess that the book is ""The Seven Husbands of Evelyn Hugo"" by Taylor Jenkins Reid.

Here's my output:

""title"": ""The Seven Husbands of Evelyn Hugo"",
""author"": ""Taylor Jenkins Reid""

Please let me know if I'm correct or not!",['duke'],"dresser, isn’t of Duke whether space him. furniture bed, There a There’s room. a I to took a that A side most in this with sadness wonder I else table. expect. didn’t the the much"
