Single_ent,en,en_results,en_shuffled,en_shuffled_results
['adela'],"[MASK] talked to us as if we were pissing lavishly all over her time. Why she applied for the position of Vice Secretary, or how she got it, was a mystery. She didn’t enjoy the prestige, as the Secretary did, and she seemed bizarrely overworked for the proxy boss of a project in its pilot stage.","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath""","applied enjoy it, and pilot if Why was overworked a were how for pissing She its Secretary didn’t or lavishly her project of seemed the proxy as the she Secretary, boss in for of as the got over to [MASK] stage. a talked the she bizarrely time. Vice position we all she us prestige, mystery. did,","""title"": ""The Devil Wears Prada"", ""author"": ""Lauren Weisberger"""
['graham'],"[MASK] put down his mug. He was blushing in that watercolor way that I found so beguiling, and I caught up with what I was looking at: an isolated man who had just discovered that a woman with whom he was spending a lot of time would never be interested in him. I frowned, and he frowned, and we were frowning into our tea.","""title"": ""The Rosie Project"", ""author"": ""Graeme Simsion""","never looking with of into tea. that found had our He whom frowning we I a he he and caught I that spending I [MASK] put interested lot were up just was isolated watercolor frowned, in frowned, blushing time an be woman a I would him. his what in mug. way who at: with beguiling, so was and was man and that down discovered","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['graham'],"[MASK] blew smoke out through his nose reflectively. “I see,” he said. “I’m not sure it’s fair to call him ‘grim,’ though you wouldn’t be the first to say it. He was a severe disciplinarian, it’s true. Held grudges. But he was a very lonely person. Romantic, too, which made his loneliness worse.”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","sure He it. be his lonely to was his it’s grudges. was wouldn’t he blew “I’m see,” But him Romantic, made he out said. nose not it’s which ‘grim,’ true. through call you [MASK] first very smoke to fair person. a severe Held though reflectively. say disciplinarian, worse.” the “I a too, loneliness","""title"": ""1984"", ""author"": ""George Orwell"""
['adela'],"I was lightly haunted—at the level of a chronic but manageable digestive complaint—by the memory of those “vital” files in the bin, seals unbroken. But [MASK] didn’t issue any new orders. The bridges kept turning in their core reports, and the experiments kept running. Given how much of our working day the data collection took, we all assumed that the time-travel project was running to the stated purpose. Every day I had to record his heart rate, his blood pressure, his temperature; every day a written record of what he wore, what he ate, how much exercise he took; every week checking progress against the imaginary benchmarks set by Control, use of phone, use of transport, use of media and the assessment of how harmful or useful each medium was; all the time the corrective tests for vocabulary and habit; novelistic observations on his character and temperament. It seemed that the job continued. I suppose if you switch on your lights and boil your kettle with energy provided by a nuclear power station, you don’t spend much time reflecting on the fact that the atom had originally been split to kill cities.","""title"": ""The City &amp; The City"", ""author"": ""China Miéville""","the you day assessment to by heart checking I you core we nuclear time those day the a phone, the to habit; files “vital” the media imaginary rate, on unbroken. by took; character all bridges cities. the use [MASK] lights digestive the experiments of It working the the was if data a any purpose. new was; he reports, had memory day been I benchmarks harmful lightly exercise much issue corrective But but medium vocabulary kept level station, atom continued. the running. had tests a in each with the of of spend Given all his on didn’t took, week don’t that running how our their the reflecting turning boil much switch useful assumed temperament. complaint—by he and every pressure, how he was your ate, for that much of of Control, what and and and of what record set provided originally how time-travel his suppose blood Every wore, your his record haunted—at and time the stated I on novelistic observations collection kettle power that seals kept fact split kill of written job bin, energy every the in manageable chronic the of The temperature; use or progress seemed transport, to against use project his orders.","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['graham'],"[MASK] hadn’t exhibited any behavior more eccentric than usual, but as he was a difficult man to read, I didn’t know whether I was witnessing a series of neurological events. He’d lain motionless in the garden for two hours, on a wet and putrid night, to shoot a fox, and pulled out one of his own rotting teeth (he showed it to me afterward; it was the color of a tombstone, caped with gelatinous red)—was this Victorian, or was this “irregularities”?","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz""","exhibited a he teeth of I difficult a a lain or motionless [MASK] Victorian, rotting events. series but hadn’t night, this the shoot to two showed out one a to was (he any color behavior witnessing me eccentric it afterward; more He’d for tombstone, to this it usual, fox, didn’t the whether his I man of own read, gelatinous a was know was hours, and on red)—was garden in than and pulled as of was wet putrid caped with “irregularities”? neurological","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['graham'],"So I was anxious about [MASK]’s disdain for the twenty-first century, because never mind that I felt rejected by it, I was worried that the universe would feel the atemporal sting of his contempt and take him away. My England wasn’t like this, he’d told me—but this was the natural evolution of his England. I was the natural evolution. I was his lens if he would only raise me and look with me.","""title"": ""White Teeth"", ""author"": ""Zadie Smith""","would it, of with that told mind this, was if never for disdain I twenty-first about him because I universe [MASK]’s I the feel look away. like me. of was his anxious his natural raise wasn’t My this rejected was was atemporal me—but was me evolution. worried the that century, and his he’d So he natural contempt I by the take only England felt sting the evolution England. I and lens the would","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"I persuaded [MASK] to use the tiny office, in which I ordinarily worked, to cram for the test. The Ministry gave no indication of what format the test would take, or what manner of questions would be asked, or tasks set. I thought this was unfair, and suggested as much to him.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","the asked, of worked, Ministry tasks questions much of him. [MASK] the in cram I which to would or as no take, I test manner this format suggested The persuaded what gave I test. thought indication office, would to unfair, what be to use the ordinarily and was tiny or for set.","""title"": ""1984"", ""author"": ""George Orwell"""
['margaret'],"There was an embarrassed silence, then: “Shame!” yelled [MASK] from the audience. “Fie! Rhubarb, rhubarb! And diverse other curses!”","""title"": ""The Colour of Magic"", ""author"": ""Terry Pratchett""","was rhubarb! [MASK] audience. And then: “Shame!” the from Rhubarb, other diverse an “Fie! embarrassed curses!” silence, yelled There","""title"": ""Alice's Adventures in Wonderland"", ""author"": ""Lewis Carroll"""
['salese'],"The person I was referring to was lurking at the far edge of the auditorium, with hair the color of wet earth under moonlight and a pinched, unhappy expression. I don’t think [MASK] could have looked more disapproving if we’d all started sucking at one another’s fleshly parts and chanting “Hail, Satan!” The Brigadier was standing beside [MASK]. They were speaking, heads close together. They looked as if they were in an invisible bell jar of gloom which blocked out the room’s miniature festivities.","""title"": ""Changes"", ""author"": ""Jim Butcher""","were [MASK] have the Brigadier we’d blocked color unhappy miniature heads more The of [MASK]. they which to sucking looked a out hair bell were invisible I speaking, all was in auditorium, under started room’s an at was Satan!” was disapproving and looked as parts They far They and another’s person chanting lurking of if think moonlight jar pinched, close expression. if wet of standing gloom the don’t together. one the The beside I “Hail, could fleshly edge earth the with referring festivities. at","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['adela'],"“I’m afraid I’ve only ever met the Secretary,” said the Brigadier. “But I would very much like to meet Vice Secretary [MASK].”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","Brigadier. Vice to the I’ve said met only “But Secretary,” much “I’m would [MASK].” Secretary very like ever I afraid the meet","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"I went home and, on arrival, checked my emails. As with a driving test—or the lieutenants’ exam—the acclimatization exam results were delivered immediately. [MASK] had passed.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","driving As acclimatization on checked exam delivered home lieutenants’ my passed. results the I and, arrival, a were test—or [MASK] emails. immediately. had with went exam—the","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['salese'],"I cycled up to the nice grocery store to buy a bottle of champagne, pausing on the way home for a soft-serve ice cream. I sat on the bench to lick the ripple into a mound and think about the Brigadier. A man of bivouac experience, I felt; there was something disturbingly makeshift about both him and [MASK], as if they’d been dropped behind enemy lines and were mimicking familiarity while waiting for the right moment to cut a throat.","""title"": ""The Spy Who Came in from the Cold"", ""author"": ""John le Carré""","the lines into the a they’d cut right and experience, bench pausing dropped the to I nice felt; lick there A buy store been ripple a up makeshift to cycled behind him sat grocery something about familiarity and the way cream. if enemy moment and a for of throat. to to a on soft-serve think the about home [MASK], on of while Brigadier. champagne, disturbingly ice was bottle were both the for mimicking man waiting mound I bivouac as I","""title"": ""Foucault's Pendulum"", ""author"": ""Umberto Eco"""
['arthur'],"“Apparently I can pass as an eccentric. I suggested that somewhere like Scotland, [MASK] and I might simply pass as Englishmen. One of the panel was a Scotsman, and I think he liked that.”","""title"": ""The Salmon of Doubt"", ""author"": ""Adam Gopnik""","of liked somewhere I One as eccentric. like and that I pass I [MASK] I can “Apparently was he a Scotsman, and Scotland, an suggested panel the that.” pass simply as might think Englishmen.","""title"": ""The Hound of the Baskervilles"", ""author"": ""Sir Arthur Conan Doyle"""
['graham'],"When I brought the glass up—stoppering the rest of the bottle for dinner—I could hear [MASK] singing “I love to steal awhile away,” occasionally muffled by his drags on a cigarette. Water plashed against the tub. He dropped to humming and presumably soaping. I slid quietly to the floor and leaned my head against the wall. I wasn’t going to see a Ministry therapist. I knew I should, and I knew I wouldn’t.","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""","for slid brought knew I I I my cigarette. Water floor drags awhile a the When plashed and on wasn’t and rest against therapist. soaping. love hear by the to humming to up—stoppering muffled a to see the to He glass tub. steal Ministry wouldn’t. knew “I and going singing the bottle presumably [MASK] should, leaned wall. quietly dropped I his the away,” head I of could I against occasionally I dinner—I the","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"With the exception of naval rations meted out during Discovery Service expeditions, cooked over campfires and valued for their fuel rather their flavor, [MASK] had never so much as heated a bowl of soup before arriving in the twenty-first century. On ships there were cooks and officers’ stewards; at home, on the few occasions he was at home, there were women. Nevertheless, he had taken to cooking in a way he had failed to take to television or texting or the use of deodorants (“I bathe every day,” he’d said to me with hurt dignity). Tonight, he hummed with a busyness that hardly shielded nervousness. He burned the onions and automatically reached for his cigarettes. I took them away—I didn’t want ashy Bolognese—and he accused me of “nanny-stating” him, a turn of phrase I found very alarming because I certainly hadn’t taught it to him. Where was he picking this stuff up?","""title"": ""The Yiddish Policemen's Union"", ""author"": ""Michael Chabon""","the had He found he stewards; On rather hadn’t deodorants their it had them for every cooks to said picking flavor, he use or of Discovery to reached didn’t “nanny-stating” valued century. hardly in the in he’d up? was over officers’ phrase he the television a burned home, Bolognese—and took he the busyness twenty-first arriving out expeditions, because occasions failed I on was Where I there this taught With away—I heated a few a meted him. home, certainly nervousness. campfires of him, of shielded he to take exception way accused bowl the at at his so ships he cooked dignity). hummed bathe day,” to texting much stuff I of never naval hurt Tonight, with were taken soup rations with and during onions turn alarming had cigarettes. cooking fuel very before ashy were or [MASK] as of their women. to there Service that me for and (“I a want me Nevertheless, and automatically","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['margaret'],"[MASK] was wearing high-waisted cerulean bell-bottoms and a white blouse clocked with lace. She looked like a disco goddess, an astonishing concoction given that she was only barely older than the piano, never mind the synth.","""title"": ""The Goldfinch"", ""author"": ""Donna Tartt""","cerulean the was mind lace. goddess, given blouse than clocked only high-waisted disco a an astonishing like was a looked barely piano, [MASK] never white and that wearing with the older She she concoction synth. bell-bottoms","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
['arthur'],"[MASK] was happy and flushed. He was one of those unusual extroverts who have all the attributes of an introvert, save that they like being around other people. He had a gift for gentleness too, one of the rarest virtues in any gender and especially in the kind of man [MASK] was supposed to be. I eased some biography out of him: half-decent public school; classics at Oxford, where he’d had a lot of fun and failed his exams; retraining as a doctor.","""title"": ""The Remains of the Day"", ""author"": ""Kazuo Ishiguro""","was the like too, the one all I was in have be. gentleness of happy for save who those of one attributes gift a Oxford, supposed of man He in they introvert, extroverts especially of had a as exams; where [MASK] around kind some public school; and half-decent rarest He that virtues lot of at other of was fun classics and retraining gender being an out [MASK] unusual his failed people. to he’d any eased had the and doctor. him: biography flushed. a","""title"": ""The Diary of a Nobody"", ""author"": ""George and Weedon Grossmith"""
['graham'],"I saw [MASK]’s eyebrow quirk in a rascally way as he did the math. “You became a captain extremely quickly, Sixteen. Found your forte?”","""title"": ""Old Man's War"", ""author"": ""John Scalzi""","captain he I math. did extremely quickly, became eyebrow forte?” a quirk as rascally saw your Sixteen. [MASK]’s “You a way the in Found","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['arthur'],"[MASK] grimaced. I saw his hand shiver momentarily on his glass, and then he swallowed everything in it with a wet click. “Promotion was—fast—in the war,” he said shortly.","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""","hand [MASK] glass, wet I it said shortly. saw on and his in a then with everything click. swallowed “Promotion shiver was—fast—in grimaced. war,” he the his momentarily he","""title"": ""1984"", ""author"": ""George Orwell"""
['margaret'],"[MASK], incidentally, listened to the men talk about their careers with a suffused urgency that only I noticed. In her own era, she’d slept in the room next to the one where she had been born. She thought Scotland was far-flung and semi-barbaric. When we came round to talking about my time working as a translator in Cambodia, I felt her attention all over me. I may have talked slightly too much.","""title"": ""The End of Eddy"", ""author"": ""Édouard Louis""","I I her came to room have careers as far-flung [MASK], own in She slightly my next with thought incidentally, her all where too slept that the suffused we only talking much. round era, she translator about attention Scotland noticed. talk had over the to I a and born. time me. she’d about When a been may talked felt the listened was In men in one Cambodia, to urgency working their semi-barbaric.","""title"": ""The God of Small Things"", ""author"": ""Arundhati Roy"""
['graham'],"How the topic of weed came up I couldn’t remember—probably during one of the vigorous debates about what the twenty-first century had genuinely improved, which in the opinion of the expats was a mixed bag. I was shortly handing my grinder and papers to [MASK] (who was far more adept at rolling).","""title"": ""The Beach"", ""author"": ""Alex Garland""","weed twenty-first [MASK] my was had a far (who expats genuinely one adept handing the debates of up at during How vigorous what of the the opinion improved, couldn’t was about I and mixed grinder papers which came to in century the the of topic remember—probably more I bag. rolling). was shortly","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['margaret'],"Meeting [MASK] made me vivid and receptive. Sentences weighed more. I kept a half-conscious catalog of where the men were looking. I’ve seen people deal with this in different ways. By “this,” I mean power. I mean magnetism. I try to absorb it. Within twenty minutes [MASK] and I were planning a girls-take-Soho night out, which necessitated me explaining the history of Soho, the concept of clubbing, the genre of R & B, the club night R & She, and dancing. I hadn’t been clubbing since I was an assistant in Languages. No matter.","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney""","I and night I which in a more. were hadn’t was assistant made looking. R I weighed girls-take-Soho kept different were receptive. and minutes clubbing out, the me night the the club absorb dancing. of [MASK] “this,” concept Sentences half-conscious I since history in men twenty R I’ve genre and mean matter. vivid I this By with planning magnetism. me ways. & of Soho, where it. the She, & an try of explaining I seen necessitated Meeting catalog people mean the B, Languages. deal to Within [MASK] of power. I been a clubbing, No","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['arthur'],"“Such matters are between myself and God,” he said gravely. “Oh, stop frowning, Sixty-five. [MASK], will you please lead her in a polka, if you can still stand.”","""title"": ""War and Peace"", ""author"": ""Leo Tolstoy""","between polka, if stand.” [MASK], myself you will stop “Such and he still God,” in you said “Oh, gravely. frowning, please her matters are Sixty-five. can lead a","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['margaret'],"“In this age, musicians are imprinted inside music boxes, and there is no need for the band to keep time,” said [MASK]. “You will instruct me in the polka, or I will step on your toes.”","""title"": ""The Golden Compass"", ""author"": ""Philip Pullman""","toes.” this age, in need for to and polka, the step on music there said your imprinted [MASK]. will I “You are “In me or instruct the keep time,” no band inside boxes, will is musicians","""title"": ""The Metamorphosis of Prime Intellect"", ""author"": ""Kafka"""
['arthur'],"[MASK], by contrast, danced beautifully. He dipped me, and I bent like a reed. He spun me, and I was, with such satisfaction, spun.","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern""","He a I [MASK], and spun. satisfaction, like beautifully. and with me, danced dipped was, such by bent contrast, me, He I reed. spun","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['margaret'],"As soon as she stepped in, I started making a tally of the evidence of unbeauty. There was a chair whose seat was filled with clothes too dirty for the wardrobe but too clean for the washing basket. My bedside table sprouted two water glasses and a mug. Dust crouched on the skirting boards and in the seams of my chest of drawers. When a woman is as impossibly attractive as [MASK], the mediocrity shed by a woman like me bustles around her like a horde of pigeons. Or so I thought, at that time. Truthfully, I’d been foxed by how beautiful she was. I felt a complicated anguish when I saw her little besocked toes treadling the carpet.","""title"": ""The Girls"", ""author"": ""Emma Cline""","horde of thought, I’d attractive but drawers. dirty she two a little chair clothes seams the her for sprouted of and like too in, she bustles my the carpet. at as was complicated too tally wardrobe as impossibly of I pigeons. a a for felt the a was table When glasses by started besocked anguish by I soon with crouched the is mug. seat washing so a water beautiful on [MASK], skirting the Dust Or around bedside her I a As when of as clean woman me filled the how was. and There unbeauty. Truthfully, time. the saw treadling like of mediocrity a whose chest been woman foxed in toes boards making evidence I My stepped shed that basket.","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['margaret'],[MASK] appeared unaware of any of these concerns. She didn’t even glance at herself in the mirror. She gave me an interested grin as I pulled out my lipsticks.,"""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",in unaware I lipsticks. grin didn’t me these my out even herself pulled concerns. any gave an appeared She as glance [MASK] mirror. of the of She at interested,"""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee"""
['margaret'],"I’d stopped wearing it—I was, at the time, thinking of the way my face might be received by a Victorian who didn’t approve of cosmetics—but I demonstrated the coverage of my sole foundation. [MASK] was amazed by the smoothness of its application and the faithfulness of its shade. She drew an arrow with it on her cheek. On her fair skin, it looked like clay. We started giggling.","""title"": ""The Idiot"", ""author"": ""Elif Batuman""","at arrow of her of coverage time, a on it stopped didn’t smoothness giggling. shade. my clay. She with it—I foundation. and application faithfulness On amazed might the looked demonstrated an cosmetics—but started its the of be who of her the We approve sole [MASK] it by cheek. skin, by its my way I received Victorian I’d fair face the wearing was like was, of thinking the drew","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
['margaret'],"The door grumbled shut and I fell back into a doze. [MASK] was snoring lightly, like a puppy being squeezed. The door reopened, and I surfaced to vague consciousness. I felt a wave of cool air, and then a gentle warmth. He had spread a blanket over the pair of us.","""title"": ""The Host"", ""author"": ""Stephenie Meyer""","and back had lightly, a door I [MASK] a consciousness. snoring vague reopened, us. air, grumbled like He door of a cool The into felt warmth. blanket spread being The squeezed. I wave the over doze. shut I gentle was puppy and to then of fell a and surfaced pair a","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['graham'],"All the expats had phones, paid for (and tapped) by the Ministry. [MASK] had switched his own phone on a total of three times in the seven months he had been in the twenty-first century. I was therefore unsurprised when, about half an hour after their plane landed, I got a call from Arthur’s phone.","""title"": ""The Restaurant at the End of the Universe"", ""author"": ""Douglas Adams""","their when, in a call century. total plane about in phone. the a by was had seven an he unsurprised got Arthur’s the phones, three times Ministry. half from the after hour [MASK] been (and I the expats had paid twenty-first phone had I All own months his therefore tapped) switched on landed, for of","""title"": ""1984"", ""author"": ""George Orwell"""
['arthur'],"[MASK] was striding up the street, bent slightly against a wind which didn’t exist. He was wearing a tweed jacket and looked like a period piece, but then again, so did Pimlico. I hadn’t seen him since the men had got back from Scotland and I asked him whether he enjoyed his trip.","""title"": ""The Hound of the Baskervilles"", ""author"": ""Sir Arthur Conan Doyle""","a Pimlico. I got which he and Scotland so but didn’t trip. back tweed wearing exist. then since the had was I whether was period against and enjoyed a him wind the a from him striding hadn’t men again, up asked did jacket like bent his He street, seen looked slightly [MASK] piece,","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"It paid off in the early autumn. When I came down for breakfast one morning, I found [MASK] at the counter with a dictionary and a tin of protein powder, performing exegesis on the label.","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams""","[MASK] came morning, a protein counter the found I in dictionary and down of I on the breakfast for powder, It at a paid one off tin exegesis performing label. early When the with autumn.","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['adela'],"[MASK] was of the “never been to the GP in my life because I’m not a pussy” school of care, and nothing changed. If the expats were dangerously ill, they’d be removed to the wards and never mind the trigger; if they could get a grip and deal with it at home, they should.","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams""","with in life trigger; because be deal never to was school the pussy” If I’m were care, and they [MASK] changed. “never a to a GP nothing they get my grip it not the could should. home, they’d of the expats ill, wards mind the been and at dangerously if and the of removed","""title"": ""Girl, Interrupted"", ""author"": ""Susanna Kaysen"""
['graham'],"For a day or so, things were, once again, misflavored and uncomfortable between us. [MASK]’s relationship to sexuality was a mystery. I had no idea if he’d ever had a sex life, or if he wanted one. The most his Ministry psychoanalyst had been able to get out of him on the comparative boisterousness and acquisitiveness of twenty-first-century sex was that he found it terribly eighteenth. I had a copy of his medical records from his extraction, and he hadn’t tested positive for, or been treated for, any STIs. Given the prevalence of prostitution in Victorian England, the nonexistence of reliable barrier contraception in his era, and the fact that he was a sailor, this suggested he was either a virgin or very lucky. But then again, I knew enough about his biography to know that he was very, very lucky.","""title"": ""The Baroque Cycle"", ""author"": ""Richard K. Morgan""","positive one. that and treated out psychoanalyst a his in a that of once know records [MASK]’s a lucky. tested relationship I lucky. fact this had acquisitiveness very, of to about comparative sex he’d medical uncomfortable a he or on been England, prevalence for, or had things been I contraception of and had and Ministry hadn’t to was or his idea he nonexistence enough eighteenth. in his day the and very he The no the his life, wanted sexuality twenty-first-century us. was copy again, For Given the any very found But mystery. was had prostitution of sex again, a so, either he he able sailor, if terribly era, to most ever suggested of was extraction, if it for, a biography I from STIs. then between Victorian him was his misflavored the virgin barrier boisterousness get were, he knew or reliable that","""title"": ""The Sexual Life of Our Time"", ""author"": ""Iwan Bloch"""
['graham'],"I smiled. It was so hard not to treat the expats like blank slates onto which I might write my opinions. I understood the adage “knowledge is power” whenever I looked into Margaret’s face, the sultry peach color of her mouth and her acne glowing with unprinted newness. There was something hauntingly young about all of them, a scarcity of cultural context that felt teenaged, and I didn’t know if my fascination with it was maternal or predatory. Every time I gave [MASK] a book, I was trying to shunt him along a story I’d been telling myself all my life.","""title"": ""The Mothers' Group"", ""author"": ""Lori Gottlieb""","a that and to sultry was shunt know I the power” book, and I her I’d the I along with scarcity understood adage was whenever maternal not if was Every time of story Margaret’s unprinted was I of might write opinions. the newness. hauntingly There with about face, predatory. of into hard her trying life. didn’t young cultural my gave it to glowing context my looked teenaged, slates my is peach treat all felt It all a onto “knowledge acne which like him been I I expats [MASK] a them, or mouth myself color telling something so fascination smiled. blank I","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
['graham'],[MASK] was adamant about not informing the Ministry about his illness. It was the closest I had ever seen him to entreating. I thought about it a lot. I liked being entreated by him.,"""title"": ""Harry Potter and the Half-Blood Prince"", ""author"": ""J.K. Rowling""",Ministry about I the a him. entreating. about I it had not closest seen informing illness. about to thought him adamant the lot. was was ever [MASK] liked being It I by entreated his,"""title"": ""1984"", ""author"": ""George Orwell"""
['adela'],"You’re angry, maybe, that I could have been this callow. You think you would have seized the lever here, swung the tram over the empty track instead of toward the row of bound prisoners. You ask me why I wasn’t more suspicious. But naturally I was suspicious. [MASK] was shifting, elusive—her very face was inconsistent. Her reasons were bad, half-veiled. Then again, whose upper management am I not describing? Who trusts their workplace? Who thinks their job is on the side of right? They fed us all poison from a bottle marked “prestige,” and we developed a high tolerance for bitterness. I would have been more frightened if the pressure lifted, like an indoor cat struck by sudden rain.","""title"": ""The Power"", ""author"": ""Naomi Alderman""","the on I been that half-veiled. of upper a indoor You why describing? workplace? pressure and lifted, track tram maybe, tolerance think bitterness. not high have their developed whose me the Who right? of very Then like marked more thinks we could elusive—her would the [MASK] bad, poison Who trusts toward the inconsistent. angry, have row swung face suspicious. reasons suspicious. if is “prestige,” empty management frightened I an bottle for here, sudden You’re seized am the was by lever been more struck their you You naturally callow. But would of prisoners. wasn’t all fed from a have this I side cat over were us I was rain. job They was instead I again, the Her bound shifting, ask","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['graham'],"I gave [MASK] history’s squeakiest bollocking. He hardly paid it attention. He wanted to know how it was possible for the Ministry to know that he had crossed the boundary, or indeed where he was, and I was tongue-tied.","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","or the wanted crossed history’s he to the that He squeakiest was and [MASK] to how was, I possible He where bollocking. for it paid had know indeed attention. gave I tongue-tied. was hardly know boundary, it he Ministry","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"One evening in early November I came home to the luscious mingled smells of cooking and smoking. [MASK] was sitting at the dining table with a cigarette between his lips, tapping at a laptop. He no longer needed several minutes to find the letter “M,” but he typed with his index fingers alone, pecking out sentences.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz""","of cigarette dining luscious laptop. “M,” at a out mingled and was lips, his letter minutes the with home November tapping find came smells the cooking but no a at sentences. pecking the smoking. longer I with [MASK] He typed he to evening to between needed his in several alone, table early sitting fingers One index","""title"": ""The Shining"", ""author"": ""Stephen King"""
['graham'],"[MASK] had developed an interest in Southeast Asian food. He asked me questions about what my mother cooked, ferrying tiny melamine bowls under my mouth to check flavors. Sometimes I saw the same concentration on his face as when he sketched the alien shapes of the transmission towers. He took in anecdotes about my childhood meals as if they would contribute to a portrait of a whole woman. He ignored the fact that mostly I cooked assorted chicken pieces on rice. I could tell him things about galangal, and he found that very profound.","""title"": ""The Particular Sadness of Lemon Cake"", ""author"": ""Aimee Bender""","my in as took questions I alien bowls he flavors. the profound. same about very I about melamine Asian mouth ignored shapes I contribute He could cooked, towers. my assorted found He a that face Sometimes on his an on the tell sketched childhood my him fact transmission me what saw the they and He a in chicken about ferrying portrait meals [MASK] under mostly interest if whole would as had concentration woman. anecdotes of tiny that check mother cooked he pieces food. asked of to rice. things the to galangal, developed when Southeast","""title"": ""The Particular Sadness of Lemon Cake"", ""author"": ""Aimee Bender"""
['adela'],"At the end of the bridge year, the expats had to begin the next stage of assimilation—they had to get jobs. He wanted to rejoin the navy, despite its unrecognizable modernization. I wanted him in a role that didn’t require him to be at sea for months, possibly years, at a time. It was too soon, I told myself. Whatever [MASK] said, he wasn’t ready, he’d barely left London, let alone land. But I wanted him to stay for other reasons too. It was humiliating to know that about myself and to say nothing into his implacable placidity.","""title"": ""The Expatriates"", ""author"": ""Janine di Giovanni""","wanted to It [MASK] the wasn’t to that It implacable had say and left had other end him at him possibly But He myself. was a wanted was time. in bridge myself I barely years, the begin I jobs. months, he’d for a to next of year, wanted role soon, too. about the of stay rejoin assimilation—they into navy, ready, sea alone the that nothing know let said, to reasons Whatever too land. at for to I didn’t told unrecognizable him stage get modernization. humiliating placidity. despite be he to At its require his to the London, expats","""title"": ""1984"", ""author"": ""George Orwell"""
['graham'],"In the background, [MASK]’s laptop had been providing an inappropriate soundtrack (Motown again). It clocked into its next track, which was the Beatles cover of “You’ve Really Got a Hold on Me.” I started laughing—partly because it was the most ludicrous song that could play at that moment, and partly because it felt quintessentially Victorian of him to hate the Beatles, which he did.","""title"": ""The Eyre Affair"", ""author"": ""Jasper Fforde""","that that the Beatles quintessentially it “You’ve next been of to providing Victorian was because Got an was I because Hold Me.” In again). clocked which it felt could laughing—partly into moment, had hate the the Really him which song he play It on ludicrous and [MASK]’s track, started a partly Beatles, soundtrack the (Motown its laptop at inappropriate of background, did. most cover","""title"": ""Just Kids"", ""author"": ""Patti Smith"""
