en,Single_ent,en_shuffled
"She gives a blasé shrug. “Sometimes it’s terrible, but this was my choice. I think a lot of my friends thought I was a selfish idiot, giving up a pretty good thing just for the hope of a really good thing. But how can I teach my kid not to settle if I’m not willing to fight for the life I want? I tried so hard to love the one I had, and if Duke had tried too, I would’ve held on. But he’s just one of those guys who doesn’t believe in sharing his ‘business’ with a stranger, so therapy’s out.",['duke'],"settle the and fight thing was a “Sometimes lot I giving for it’s terrible, would’ve too, life my if to of I not he’s out. to of But shrug. think idiot, But this for of with was good tried love a I up one who selfish blasé want? held guys ‘business’ gives a a hard I really the just friends but how a on. the so tried thought doesn’t therapy’s kid hope had, his good choice. teach had not She a Duke just sharing my to thing. in I willing I I’m can those I believe my pretty one if stranger, so"
"I must take too long to go on, because a slight smile tugs at his mouth, his eyes sparking with humor. “There’s no pressure, Daphne,” he says. “If you don’t want to—”",['daphne'],"go on, to—” mouth, humor. long his take must he a you don’t says. I too no eyes because “If to his tugs sparking at slight want Daphne,” with smile pressure, “There’s"
"The tiny woman with her, arms wrapped around Petra, both of them beaming in front of decimated plates of chocolate waffles on an orange-checked tablecloth.",['petra'],"both orange-checked of tiny waffles arms in woman chocolate tablecloth. of on them The Petra, an wrapped beaming front plates her, with of decimated around"
"Harvey snorts. “I know I’ve got a youthful glow, but I wasn’t born yesterday. Come in, come in. Shoes off. Everyone’s back in the breakfast nook.”",['harvey'],"nook.” Shoes in, know breakfast but yesterday. glow, the off. in. “I a Everyone’s come got born I’ve Harvey youthful snorts. back Come wasn’t I in"
"I slip my loafers off next to Ashleigh’s knee-high boots and we follow Harvey down a narrow, wood-paneled wall toward the sound of smooth jazz and the potent smell of cigar smoke. Every inch of the walls is devoted to at least three generations of family photos, ranging from recent shots of his granddaughters’ soccer tournaments all the way back to time-faded wedding portraits of him and his late wife.",['harvey'],"his the Harvey a least of loafers cigar of of slip of back devoted wood-paneled Ashleigh’s jazz to time-faded and down follow toward his way off and of my and recent smell I smooth the is from knee-high granddaughters’ shots to wall him the three of generations wedding all we sound smoke. boots tournaments photos, late the at Every family next soccer portraits narrow, walls to wife. ranging potent inch"
"Harvey moves out of the hallway, so we can slide into the breakfast nook after him. “Look who decided to finally show up,” he says, “and she brought us a new fifth!”",['harvey'],"so Harvey “and “Look out the says, slide brought hallway, after to a new nook the show into finally he breakfast him. we can who decided moves she fifth!” up,” of us"
They’re both wearing the same visors as when I met them. Both have matching cigars hanging out of their mouths. Lenore yanks hers out from between her lips as she stands to greet me. “What a nice surprise!”,['lenore'],as her cigars stands wearing of greet their the out mouths. yanks surprise!” me. to Both visors hers lips I them. Lenore a met from matching hanging “What have both out They’re same she as nice when between
"He puts the pitcher back in the fridge. “Go put on something nice, Daphne. We have to leave soon.” He squeezes past me to leave the kitchen.",['daphne'],"the nice, Daphne. on something We the He to to back kitchen. “Go past in He fridge. put have pitcher leave me puts soon.” the squeezes leave"
"And when I’m done telling him about the fundraiser, I find myself talking about the kids, about the staff, about our desperate need for an updated stock of kid lit, and by the end of our conversation, Lance has not only pledged ten kite-building sets for prizes but also offered to host a miniature-painting class for us in the fall.",['lance'],"by and also miniature-painting kite-building the telling conversation, but only has for about kids, stock him an our sets myself about find need a us our in end the of prizes Lance I staff, offered host talking updated fundraiser, the I’m fall. done ten the kid about when not for of to about the pledged And desperate class for lit,"
"Slow, soft, familiar. A relief of a kiss, and over way, way too soon, though from the way Petra is gawking at us, you’d think we’d just performed a handstanding sixty-nine in front of God and everyone.",['petra'],"performed sixty-nine is way the and handstanding way, though you’d soon, gawking us, of way and from everyone. too familiar. Petra a of front kiss, a in soft, just God at we’d think relief over A Slow,"
"“She always thought I was reading too much into it,” he says. “But I think they were worried I couldn’t give Petra everything they want for her.”",['petra'],"I into for was I give everything think they he it,” Petra always they reading thought much “But I “She want worried too her.” couldn’t were says."
"Every night that week, we cook together—or Miles cooks, while Jules sits on the counter, curating a country playlist and singing along at top volume into whatever utensil her brother has most recently set down. I chop whatever he puts in front of me, wash whichever dishes he’s done with.",['jules'],"her Jules puts on wash together—or he’s me, chop in week, counter, sits whichever down. that I dishes whatever front cooks, he done Every Miles brother with. curating cook whatever has a utensil we the night country volume most playlist singing along and recently set while top into at of"
"“Daphne,” he murmurs behind me, still tender and sweet, pulling me in, my back to his chest, and coiling his arms around my waist.",['daphne'],"back to me in, his he chest, waist. and pulling his behind my and arms coiling me, “Daphne,” murmurs tender around sweet, still my"
"His smile widens. His fingers move absently to my chin, and I feel myself being drawn into him, our stomachs connecting, his heart pattering through me. “It’s a camel, Daphne,” he says wryly. “In sunglasses.”",['daphne'],"fingers heart our smile absently His sunglasses.” feel chin, my connecting, widens. to he wryly. pattering being camel, stomachs and drawn move “It’s myself him, through His me. says into his a “In Daphne,” I"
"She groans. “A week from Saturday. Forty-three. And no to big plans. It just so happens to fall on the weekend Mulder and I get back from visiting my mom in Sedona, so he’ll be at his dad’s place, and I’ll be at home rotting my brain to the tune of Bravo reality TV.”",['mulder'],"She It big home weekend mom place, of happens be and the his rotting I just to to brain my Bravo And from I’ll be fall reality to back so visiting no plans. Sedona, on Saturday. TV.” my groans. the so get at tune at Mulder in “A dad’s and he’ll from week Forty-three."
"“Like a room,” I say. “In your house. You said Duke never wanted you to, right? And you’re tired of looking at the same four walls. So pick a wall color, and I’ll come help paint.”",['duke'],"four pick said you’re So same at wall you And come never wanted I your help room,” “Like Duke the say. a “In a and You of tired looking to, house. color, paint.” walls. I’ll right?"
"There isn’t much else in the room. A bed, a dresser, a side table. I wonder whether Duke took most of the furniture with him. There’s a sadness to this space that I didn’t expect.",['duke'],"dresser, isn’t of Duke whether space him. furniture bed, There a There’s room. a I to took a that A side most in this with sadness wonder I else table. expect. didn’t the the much"
