en,en_results,Single_ent,en_shuffled,en_shuffled_results
"“What’s the plan?” Serena would ask if she were here, even though the little schemes she hatched never worked out. She liked the vibe of organizing more than the actual job of it, and my usually impervious heart clenches a little at the thought that I cannot call her out on it.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['serena'],"call the plan?” “What’s Serena hatched out. it, that at my if it. her and ask usually clenches job schemes more of cannot would the impervious She vibe never thought on even worked actual she I liked the out than organizing a here, she though of little were the the heart little","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"""
"“I didn’t think Vampyres could be beautiful.” There’s nothing complimentary about his words. He’s neither hitting on me, nor attempting to creep me out. Just stating a simple fact, followed by another step toward me, and I’m suddenly very conscious that I’m at the end of a hallway. He stands between me and the exit.","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern""",['vampyres'],"suddenly a toward words. hallway. that Vampyres neither nor He’s beautiful.” fact, me exit. the of didn’t and his and creep out. another I’m stating “I think nothing about stands conscious very could step hitting a complimentary There’s me, Just to by between me, at He on attempting end me followed the simple be I’m","""title"": ""Buffy the Vampire Slayer: The Long Road Home"", ""author"": ""Jane Espenson"""
"“I doubt it.” I want to put a door between myself and Max, but the only one I can reach is Lowe’s office—locked. I glance around for another escape route, but all I find is a giraffe painting of questionable quality.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['max'],"giraffe escape I can another door quality. a office—locked. one around and of is but it.” myself I for reach route, Max, find doubt I Lowe’s questionable to put painting only is “I glance a all want but between the I","""title"": ""The House on Mango Street"", ""author"": ""Sandra Cisneros"""
"“Remember what your people have taken from him. It’s almost as much as they’ve taken from me. And yet he’s making alliances with them like a common traitor. He married you, and said that you’re not to be harmed.” Max runs a hand over his dark hair, and then shakes his head in what looks like disbelief. He looks so deeply lost, I forget my unease and ask:","""title"": ""The Iron Trial"", ""author"": ""Holly Black and Cassandra Clare""",['max'],"common said dark hair, and to He not It’s looks lost, hand me. runs be him. my and a taken as alliances He you’re as what over with deeply And from looks from disbelief. Max you, traitor. that I shakes have married almost people and they’ve he’s your his ask: them forget harmed.” much taken making then yet in “Remember a like his so unease head what like","""title"": ""The Hostile Hospital"", ""author"": ""Dr. Seuss"""
"A pair of hands a million times stronger than Max’s yanks me away. What happens next is too blurry to parse, but a moment later, I’m the one sandwiched against the opposing wall. My back digs into the frame of the giraffe painting, and my front presses against something just as unyielding, but warm.","""title"": ""The Maze Runner: The Scorch Trials"", ""author"": ""James Dashner""",['max'],"parse, stronger presses frame warm. away. into me my too to hands a but next unyielding, the just the against moment Max’s digs is the painting, I’m back happens against one sandwiched A opposing than of What as wall. yanks pair the times but something of and giraffe a front million blurry later, My","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"“Max came over, saw me, decided to indulge in some light afternoon murder.” I shrug. “That, I’m used to. It’s the subsequent lying that—”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['max'],"“Max me, lying used saw light the murder.” over, in indulge I’m to I came subsequent shrug. “That, to. It’s that—” some decided afternoon","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
“Leave us.” Lowe’s sharp voice reminds us that we’re not alone in the room. We turn at once. And we’re equally shocked to see that he’s addressing Juno.,"""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['juno'],And the us.” turn sharp he’s not Lowe’s equally in us at we’re see we’re that voice room. once. “Leave alone shocked We to Juno. addressing reminds that,"""title"": ""The Importance of Being Earnest"", ""author"": ""Oscar Wilde"""
"This situation is a problem. The Collateral is supposed to be a nonplayable character in a video game. For the next year, I need to be invisible, unobtrusive as I search for Serena. Not the kind of nuisance who gets caught murdering a young Were.","""title"": ""The Collateral"", ""author"": ""Unknown""",['serena'],"Not the nonplayable situation Serena. nuisance For in year, character young be caught of a to Collateral the kind murdering a supposed Were. game. be This video gets a for I to unobtrusive is I invisible, next is The who a need problem. as search","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"His eyebrow lifts. “I’m sure you have some excellent advice on where else I should house the daughter of the most powerful Vampyre in the council, who’s apparently a fearsome fighter in her own right.”","""title"": ""House of Night"", ""author"": ""P.C. Cast""",['vampyre'],"who’s else have His Vampyre apparently a in you where eyebrow daughter most powerful council, in her house excellent own sure some of the fearsome right.” on the lifts. should I fighter advice the “I’m","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"It’s amusing to me, the idea that someone who has skimmed a synopsis of my life would assume I’ve had any sort of romantic entanglement. With whom? A Vampyre, when they only see me as a traitor? A Human, who would consider me a monster?","""title"": ""Buffy the Vampire Slayer: The Dark Prophecy"", ""author"": ""Jane Espenson""",['vampyre'],"sort would idea had as monster? skimmed me traitor? when life they who It’s romantic assume I’ve entanglement. me, a Human, A the any of Vampyre, whom? of that amusing consider me With see who someone a A to would a has synopsis my only","""title"": ""The Vampyre"", ""author"": ""John William Polidori"""
"There might be something stunted about me. After the Collateral term was over, Serena and I were free to venture into the outside world, to be with people who weren’t our tutors or our caregivers, to fall in love and make friends. Serena jumped right into that, but I could never bring myself to. Partly because the closer I’d let someone get to me, the harder it’d be to hide who I was. Or maybe spending the first eighteen years of my life becoming acquainted with the cruelty of all species didn’t quite set me up for a bright future.","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern""",['serena'],"venture me. the the me, in our becoming jumped love I’d be Partly all about the hide of eighteen a was set with but over, world, into cruelty There years After or be my were tutors our acquainted get Or up that, weren’t to it’d Collateral because could to Serena free maybe friends. someone life Serena species never spending myself make the and I bright harder the to stunted to to. be let future. of and term caregivers, me first I people might fall the for who closer right bring quite with was. I who outside to didn’t into something","""title"": ""Speak"", ""author"": ""Laurie Halse Anderson"""
"“But then you’d get mad because Father and I weren’t paying attention to you, and wander off on your own, grumbling about the oddest things. Let me know if that changes. Have you been talking with the Were Collateral? Has she mentioned anything about Loyals?”","""title"": ""The Iron Trial"", ""author"": ""Holly Black and Cassandra Clare""",['loyals'],"about own, Have your anything I wander about off Loyals?” you’d Has if and mad get the weren’t been you Were oddest me changes. because “But on with know Collateral? then attention you, that mentioned talking to paying grumbling the she and Let Father things.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling"""
"“That’s a bad word,” Ana says, giggling in a delighted, tickled way that has me feeling like an improv genius. She’s flattering company. “What’s your name?”","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman""",['ana'],"like delighted, has “What’s a word,” tickled says, your She’s name?” genius. flattering Ana me a way company. that an feeling “That’s bad in improv giggling","""title"": ""Not That Bad: Dispatches from Rape Culture / Anaheed Al-Khazimi"", ""author"": ""Anaheed Al-Khazimi"""
"It feels like the middle of the night when Ana yawns and decides it’s time to go back to her room. “My cat is waiting for me, anyway.”","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman""",['ana'],"it’s and to feels middle It her anyway.” to back waiting of room. decides cat the me, time night “My is like go when Ana for the yawns","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"I follow her progress, terrified, wondering if this is motherhood: anxiously picturing your child with her skull cracked open. But Ana knows exactly what she’s doing, and when she has hoisted herself on top of the roof and disappeared from my view, I’m left alone with two separate pieces of knowledge:","""title"": ""Room 208: A Memoir of Motherhood, Medicine, and Madness"", ""author"": ""Anna Durbin""",['ana'],"on knows of I’m picturing she’s is hoisted roof when pieces I view, wondering this what separate your her disappeared has terrified, Ana open. But two left she progress, cracked the if top knowledge: with my and skull exactly child with herself alone doing, motherhood: her anxiously follow and from of","""title"": ""None Found"", ""author"": ""None"""
"It’s a barbecue, or a potluck, or a cookout—I never quite got the difference, despite Serena’s explanations on the nuances of Human social get-togethers. Vampyres don’t really build community this way, by assembling without an agenda. Our friendships are alliances. I didn’t encounter the concept of hanging out, of spending time with someone for the sake of it, until my Collateral years.","""title"": ""New Moon"", ""author"": ""Stephenie Meyer""",['vampyres'],"of nuances agenda. sake It’s on for never until of of get-togethers. I my got the the alliances. Our out, Serena’s despite Vampyres a assembling way, barbecue, are encounter a difference, the social build of friendships don’t someone Collateral years. hanging concept the with or spending without potluck, explanations didn’t by a or Human community really this an cookout—I time it, quite","""title"": ""None"", ""author"": ""Unknown"""
"He’s separate from the rest of the crowd, on the outskirts of the beach, where the sand first turns into shrubs, then thickens with forest trees. At first glance, I don’t think much of it: unlike most of the partygoers, he’s wearing a long-sleeved shirt and jeans, but hey. I’ve been a self-conscious teen before, trying to hide with clothes the way I’d shot up about six inches in three months. And melanoma is evil, according to Serena.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['serena'],"with inches separate the on self-conscious a think the with up And trying where don’t of the of been rest evil, way beach, I’ve crowd, of turns much sand wearing clothes the shrubs, shirt from then shot the of glance, trees. melanoma long-sleeved Serena. thickens I first unlike a the first hey. according most and into he’s to in the but to hide six I’d before, months. about three is it: He’s At forest partygoers, outskirts teen jeans,","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"Except. Something pulls me back to the window. I don’t like it. The way he’s talking to Ana, pointing at someplace I cannot see, someplace between the trees. Ana shakes her head—no. But he seems to insist, and . . .","""title"": ""Divergent"", ""author"": ""Veronica Roth""",['ana'],". Except. to Something it. someplace pointing to But the he’s talking cannot someplace her to head—no. Ana, he I see, Ana at seems the way I don’t shakes and me trees. . like window. . back insist, between The pulls","""title"": ""Dune"", ""author"": ""Frank Herbert"""
"He’s probably in the restroom, and I consider looking for him there. Then decide there’s no time. A couple of stray neural cells lurch awake to point out that this is the perfect time for me to break into Lowe’s office and search for intel on Serena. The remaining 99 percent of my brain, sadly, is focused on Ana.","""title"": ""Zero Day"", ""author"": ""Mark Russinovich""",['ana'],"is perfect Then point remaining I The time. Lowe’s probably the to no and for in the break awake and cells 99 out to there’s couple decide my that for focused neural on He’s time sadly, brain, percent into Serena. for of of A stray on Ana. this office is lurch consider looking restroom, me him search intel there.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Let me go,” Max whines. Like me, he’s sitting on a couch. Unlike me, his hands are tied behind his back, and he’s being watched by several guards with the kind of icy treatment one would reserve for someone who tried to kidnap a child.","""title"": ""The Maze Runner"", ""author"": ""James Dashner""",['max'],"watched by and couch. “Let who back, treatment he’s the being icy behind go,” whines. me child. me, reserve are hands me, someone Unlike Like kind of would with kidnap for one several on tried a his he’s his guards a Max tied sitting to","""title"": ""The Kidnap Trilogy (Book 1) - The Abduction of Maxine"", ""author"": ""Alex Michaelides"""
"I’m not quite sure what he wants to know, so I go for what feels right. “Ana has been visiting,” I say, matching his tone. “She keeps me company, and even though she’s terrible at pronouncing my name and clearly doesn’t know whether she’s six or seven . . .” I swallow. “I’d rather she doesn’t get, you know. Kidnapped and trafficked.”","""title"": ""Thirteen Reasons Why"", ""author"": ""Jay Asher""",['ana'],"rather though my say, to you clearly she’s not he so I trafficked.” doesn’t even .” been right. six whether . she quite and feels or go know for sure matching tone. visiting,” his has Kidnapped at name . I’m she’s get, and know, I seven what swallow. keeps wants me “She and know. company, terrible pronouncing “Ana what doesn’t I “I’d","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"I let his words churn around me for several minutes after he leaves, wondering whether he’s right. When they grind to a stop, I know he isn’t: I did have a home, and her name was Serena.","""title"": ""The Giver"", ""author"": ""Lois Lowry""",['serena'],"I whether several home, around let his was words to know right. I churn he’s did after he wondering leaves, a I grind minutes have her Serena. a for When name and me they isn’t: he stop,","""title"": ""The Secret Life of Bees"", ""author"": ""Sue Monk Kidd"""
"The sun is setting, but I don’t turn on the lights. Lowe’s desk is given away by Ana’s grinning picture. I tiptoe there, kneel in front of the keyboard, and start messing around.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['ana'],"of The sun tiptoe desk on setting, messing around. picture. start Lowe’s front lights. Ana’s is grinning kneel turn away I given in I don’t there, by is the the and keyboard, but","""title"": ""None"", ""author"": ""Unknown or Unattributed"""
"And this wolf’s . . . This wolf’s fangs could win contests. Rule civilizations. Get their owner engaged, married, and very much laid at any Vampyre party. And they could shred me into M&M’s.","""title"": ""House of Night"", ""author"": ""P.C. Cast""",['vampyre'],"me And . and engaged, And Rule any into at . they wolf’s very This this M&M’s. wolf’s fangs married, win could Vampyre . laid contests. civilizations. shred Get much their owner could party.","""title"": ""Vampyres: A Comedy of the Macabre"", ""author"": ""Christopher Moore"""
"“Come in,” he orders, and I cannot comprehend how I didn’t notice Alex idling by the door. Too busy contemplating my imminent demise, probably. “Can you figure out what she was doing?”","""title"": ""The Last Song"", ""author"": ""Nicholas Sparks""",['alex'],"idling figure contemplating imminent my cannot I he in,” out the notice Alex didn’t comprehend demise, how Too and door. probably. busy “Can I you she doing?” was what “Come orders, by","""title"": ""1984"", ""author"": ""George Orwell"""
"“She—very astutely, I must say, and with only very primitive tools at her disposal—hacked into our servers,” Alex announces. A little admiringly, which is flattering.","""title"": ""The Circle"", ""author"": ""Dave Eggers""",['alex'],"Alex into at “She—very tools disposal—hacked A I her admiringly, say, very astutely, flattering. and must which servers,” little with our announces. primitive only is","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
“Yup. I’m the leader of our security team.” He sounds distracted as he combs through my code. Whatever fear he had when we were alone doesn’t hold if his Alpha’s present.,"""title"": ""Code Name: Goliath"", ""author"": ""Alex Grecian and Riley Sager""",['alpha'],through my team.” he security He had “Yup. were combs present. if we I’m distracted hold the fear as our doesn’t Alpha’s alone of sounds Whatever he leader code. when his,"""title"": ""Jurassic Park"", ""author"": ""Michael Crichton"""
"“Nice job.” Weird, how I’m having a conversation with Alex but staring up into Lowe’s eyes. About an inch from mine. “It’s pretty impenetrable.”","""title"": ""The Maze Runner: The Kill Order"", ""author"": ""James Dashner""",['alex'],"with up having conversation impenetrable.” from eyes. how a Alex job.” Lowe’s Weird, I’m but staring “Nice into About inch mine. “It’s pretty an","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“I have to consider this as an act of aggression on behalf of your father and the rest of the Vampyre council. They sent a plant into Were territory under the guise of Collateral.” His jaw hardens. “And your scent—they tampered with it, didn’t they? They knew it would distract me—”","""title"": ""Night Huntress"", ""author"": ""Jeaniene Frost""",['vampyre'],"behalf Collateral.” have sent as territory the the it it, consider this a on of guise “I aggression hardens. under plant into rest They act the of would His tampered knew father didn’t they? distract your Vampyre council. to “And your with They jaw Were of scent—they an and of me—”","""title"": ""The Vampyre"", ""author"": ""John William Polidori"""
"Ana stamps a kiss on Lowe’s cheek, mutters something delighted about how prickly it is, and then slips out in a flurry of blue and pink fabric. My eyes stay with her, and then on the ajar door, long after she disappears.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['ana'],"blue slips a a the then it disappears. and Ana about flurry eyes long her, on kiss stamps stay then of and she something pink out door, after with and is, My prickly on delighted mutters cheek, fabric. in how Lowe’s ajar","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
"“You thought I had a martyrdom complex?” I hug my legs to my chest, watching his lips as they close around the rim of his mug. “I have no allegiance to the Vampyres. Or the Humans, with a single exception. And I’m going to find her.”","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern""",['vampyres'],"going to with “You lips complex?” have watching his to Or of had legs the rim a her.” And to I the my my mug. chest, I single Humans, the thought hug martyrdom a no allegiance as his exception. find Vampyres. close around “I I’m they","""title"": ""Buffy the Vampire Slayer: The Long Road Home"", ""author"": ""Jane Espenson"""
"Serena loved berries, and I tried memorizing their names, but they’re so counterintuitive. Blueberries? Not blue. Blackberries? Not black. Strawberries? Straw free. Raspberries? Do not rasp, or make any noise at all. I could go on.","""title"": ""The Berenstain Bears Learn About Strangers"", ""author"": ""Stan and Jan Berenstain""",['serena'],"on. and make berries, but tried Raspberries? I all. any or go memorizing they’re could Serena Do their free. blue. Blueberries? Not counterintuitive. so black. I noise rasp, Straw names, Not Strawberries? not Blackberries? at loved","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"He takes out two slices of bread. His forearms are strong, large muscles interrupted by the occasional white scar. “If Were business is involved, you might not know what you’re looking for. I’ll have you talk with Alex and hand them over to—”","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern""",['alex'],"“If His Were takes and for. talk you out large not interrupted is with hand of over you’re strong, looking bread. muscles what Alex white have might know are scar. by you them He involved, the slices business to—” occasional forearms two I’ll","""title"": ""Fight Club"", ""author"": ""Chuck Palahniuk"""
"“I can only protect Ana if I know where the threats against her are coming from.” He leans forward across the table. The scent of his blood is like a wave lapping at my skin. “I’m not like your father, Misery.”","""title"": ""The Iron Trial"", ""author"": ""Holly Black and Cassandra Clare""",['ana'],"at The where skin. his father, of like the He “I know not can against her Ana “I’m Misery.” threats are across like scent my is lapping leans forward blood coming wave from.” table. a I the your only if protect","""title"": ""Frankenstein"", ""author"": ""Mary Shelley"""
"I know what Vampyres smell like, what their needs and limitations are. And Ana is not one of us. Which leaves one single other possibility.","""title"": ""Bitten"", ""author"": ""Kelley Armstrong""",['ana'],"are. Which like, know single us. smell and one of I is leaves needs Ana Vampyres what other what not one limitations And possibility. their","""title"": ""Vampyres: A Tale of Love and Lust"", ""author"": ""Anaïs Nin"""
"“I was living in Europe when my mother was injured, but immediately flew back. When it became obvious that she might not make a recovery, she told me about Ana’s biological father.”","""title"": ""The Nightingale"", ""author"": ""Kristin Hannah""",['ana'],"immediately mother obvious not that When my living make when told but she a “I recovery, she father.” me in Ana’s biological back. flew Europe became was was injured, about might it","""title"": ""Me Before You"", ""author"": ""Jules Verne"""
"His mouth curves infinitesimally, like he’s tempted to do just that, and I smile, too. Our eyes hold for a beat before he continues: “Ana doesn’t know who her real father is.”","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James""",['ana'],"continues: His eyes that, who mouth hold for he’s know is.” and father do to like I curves smile, tempted too. real he beat infinitesimally, just before a “Ana her doesn’t Our","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"“Or of a chicken coop, if you ask me.” I bite my lower lip, mulling it over. “Who is Ana’s father?”","""title"": ""The Testaments"", ""author"": ""Margaret Atwood""",['ana'],"my if coop, I father?” of over. bite ask “Or is lip, lower Ana’s “Who mulling a it me.” chicken you","""title"": ""Gulliver's Travels"", ""author"": ""Jonathan Swift"""
"“My mother never told me. My impression is that he already had a family, and that when she attempted to mention Ana to him, he . . .”","""title"": ""The House of the Spirits"", ""author"": ""Isabel Allende""",['ana'],"she mother he already “My me. .” when told impression a that My he had mention that and Ana family, attempted to . never is . him, to","""title"": ""Ella Enchanted"", ""author"": ""Gail Carson Levine"""
"“And here I was, thinking we were firmly in the reluctant alliance stage of our marriage.” I don’t mind the supervision. It’s more that Alex appears to be as good a hacker as I am—the one area in which I allow myself to be competitive. “Okay. Thanks,” I add, a bit sullen.","""title"": ""The Hating Game"", ""author"": ""Sara Shepard""",['alex'],"bit “Okay. I a firmly appears more that a as good as I don’t stage allow which am—the the one we reluctant was, It’s I our alliance in hacker to Thanks,” competitive. area of marriage.” “And mind here I add, I the in to Alex be myself supervision. were sullen. be thinking","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"I’m at the bottom of the stairs when Ana comes racing down the steps, almost crashing into me. Her eyes are full of tears, and my heart clenches. “Are you okay?” I ask, but she runs past me, straight toward her brother. She’s babbling something about bad dreams and waking up scared.","""title"": ""The Maze Runner"", ""author"": ""James Dashner""",['ana'],"babbling stairs you something toward steps, I’m almost me, her me. brother. Her and ask, clenches. bad runs but racing she my past okay?” waking the dreams “Are comes bottom crashing of scared. up straight full heart down and at She’s eyes the I are tears, when about into Ana the of","""title"": ""Divergent"", ""author"": ""Veronica Roth"""
"And yet, I carry on. Even after overhearing Alex say, “Please, please, don’t let me die until I turn twenty-five or I get to visit the the Spy Museum, whatever comes first.” Yeah. He prays a lot.","""title"": ""The Hate U Give"", ""author"": ""Angie Thomas""",['alex'],"a whatever don’t I I let And the me turn to twenty-five He comes yet, prays Spy the Alex Even die lot. “Please, on. please, until Museum, visit say, I after overhearing get or carry first.” Yeah.","""title"": ""None"", ""author"": ""Unknown"""
"“I cannot begin to imagine how traumatizing it must have been for Ana, seeing her only parent be hurt by the single Were whose authority she’d been raised to never question.”","""title"": ""New Moon"", ""author"": ""Stephenie Meyer""",['ana'],"traumatizing how by parent been to never whose she’d imagine her only to be “I begin must it been have seeing single the hurt Were question.” authority Ana, for raised cannot","""title"": ""Speak"", ""author"": ""Laurie Halse Anderson"""
"“ ’Cause I’m a Vampyre.” She accepts the explanation. Probably because she accepts me. Like Serena used to, and no one else ever. I turn the page, and we’re silent for three more minutes, her breath hot and humid against my cheek.","""title"": ""Everyday"", ""author"": ""David Levithan""",['serena'],"breath against me. for and page, else Vampyre.” hot to, no accepts minutes, I we’re ever. cheek. my and turn the a I’m Serena silent “ She used humid one because Like and her Probably accepts more she the ’Cause explanation. three","""title"": ""Vampire Academy"", ""author"": ""Richelle Mead"""
"“As it’s not hemoglobin or peanut based, nothing. So.” I clap my hands. The cicadas quiet, then resume their singing after a disoriented pause. “Tell me if I got it right: You’ll use your meeting with Emery as an excuse to plant some spyware or interceptor that will allow you to monitor her communications and gain proof that she’s leading the Loyals. But you are going into enemy territory alone, and have the computer skills of an octogenarian Luddite, which puts you at great risk. Actually, no need to tell me if I’m right, I already know. When are you plunging to your imminent death? Tomorrow or Friday?”","""title"": ""The Circle"", ""author"": ""Dave Eggers""",['emery'],"with know. the are you if or pause. and “Tell already if When The imminent going some your monitor a meeting me she’s right, I disoriented Luddite, Emery at communications my leading spyware Loyals. great use the You’ll then to computer her octogenarian interceptor you or gain have are enemy risk. resume as I’m alone, right: that into to after will I Actually, skills excuse proof and clap no hands. territory quiet, got nothing. allow need So.” it’s hemoglobin an plunging an their not it I peanut you you But Friday?” tell cicadas “As based, singing to puts to of your which Tomorrow death? me plant that or","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
"I can’t imagine. Or can I? Those first few days after Serena was gone, and I was so frantically preoccupied with looking for her that it didn’t occur to me to bathe or feed until my head pounded and my body was feverish.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['serena'],"or frantically head can’t was didn’t her looking and I? for I days me gone, can Those Serena was to preoccupied Or feed with that feverish. my pounded first to occur I imagine. so bathe it until few and after was my body","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"“It’s just . . .” I’m not sure what’s so concerning about the idea of him seeing them. Maybe I’m just remembering being nine, and the way my Human caregivers always stopped smiling the second I began. A driver, making the sign of the cross. A million other incidents through the years. Only Serena never minded. “Is this a trap? Are you looking for an excuse to watch my entrails fertilize the plumbago?”","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""",['serena'],"the and “Is excuse the other entrails seeing cross. the making the just Are .” “It’s plumbago?” began. sure just you of concerning second Serena the minded. fertilize caregivers I them. what’s for a Only the . way million being so I’m always through never my looking stopped sign an . years. A trap? him to about Maybe this I’m my Human idea incidents smiling of remembering watch not A nine, driver, the","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"The sharks gnaw at the inner walls of my skull, and I won’t be able to make them stop until I find Serena, but in the meantime, I can distract them. “Anyway.” I sit up with a smile. “Since I so selflessly opened my heart to you, will you tell me something?”","""title"": ""The Passage"", ""author"": ""Justin Cronin""",['serena'],"smile. opened distract meantime, will me selflessly The until in something?” walls I you heart I and stop tell make sit the of “Since able you, “Anyway.” find Serena, to them I a gnaw with can I my but the inner up at my be won’t skull, to I sharks them. so","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"“No.” He stares at the moonlit water. “When we were young, I was there when Koen’s sister met her mate. We were on a run. She smelled her, suddenly went real still in the middle of the field. I thought she was having a stroke.” He smiles. “She said that it felt like discovering new colors. Like the rainbow had gained a few stripes.”","""title"": ""The Silver Crown"", ""author"": ""Nancy Springer""",['koen'],"she her mate. her, moonlit “She discovering said sister we “When was colors. stripes.” She met gained I We water. Koen’s like run. of smiles. smelled the “No.” He when the were He the thought new rainbow had there few the at still stares was Like that in went field. stroke.” a a young, felt having a real middle suddenly were it on I","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
He nods. “I need to send Emery and her people the message that you’re part of my pack and no violence against you will be tolerated. Not just the verbal message.”,"""title"": ""The Hound of the Baskervilles"", ""author"": ""Arthur Conan Doyle""",['emery'],of send and need you no He the against Emery Not verbal part people the will her you’re message “I just that pack violence tolerated. my be message.” and nods. to,"""title"": ""The Maze Runner"", ""author"": ""James Dashner"""
"Koen is an asshole, in the most delicious and entertaining of ways. He seems to have distinct preferences, strong opinions, and little interest in keeping either to himself.","""title"": ""The Selection"", ""author"": ""Kiera Cass""",['koen'],"of opinions, Koen and to ways. delicious most strong either preferences, little is distinct asshole, to He seems in an and himself. entertaining the in interest keeping have","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
