Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['james'],There was even a picture of [MASK] and her at the Derby party in the “People and Places” section of the tiny local newspaper; her hat was looking even more dainty and refined in print than it did in real life.,Emily,the print picture local and even was looking at the There hat real than in more even did party the in of in Places” her and of and [MASK] Derby “People was it section refined life. dainty her a tiny newspaper;,Derby
['james'],"He heads inside and I sit back and stare at the sky. It’s been a few days since I spied on him at the warehouse and the mailbox is still empty. There was another sighting of [MASK] and that woman last night. According to social media, they were at a local craft brewery listening to a popular local band. They have hit every hot spot in town.",John Doe,"on and They that have back of the There the to hot still popular is craft inside He heads mailbox band. social at days local woman a him at at According last few brewery [MASK] since and local to night. they was spied were and another in sit town. sighting been I media, empty. and every spot warehouse the a stare hit listening It’s a I sky.",Heads
['greg'],"[MASK] opens the door immediately, as if he has been waiting for me to arrive. He’s wearing a gray suit with a darker gray tie, and his hair looks like it hasn’t changed since he was a young boy. Short and combed to the side, not a strand out of place.",John,"young he to like darker suit been a opens door with for was it to of place. changed looks a gray side, wearing if [MASK] and waiting not combed has tie, immediately, arrive. and he a He’s a gray boy. as the hair me hasn’t the his Short strand since out",John
['jenny'],"He nods and gestures for me to come inside. He checks his watch for the second time since he’s opened the door, then yells toward the wraparound stairs that curve up the foyer wall. “[MASK]! She’s here!”",Emma,"the his then He the door, opened for wall. that foyer checks stairs watch the nods second since gestures the She’s for inside. to and here!” toward up He wraparound yells he’s “[MASK]! me time curve come",She
['greg'],"“Right, okay, I’ve got to get to the office,” [MASK] says, then turns to me. “You are in charge of Miles. His schedule is written out and taped to the fridge; my number is on the bottom. He can give you a tour of the house and show you where everything is. I’ll be home by six.”",John,"okay, to by “You number turns says, and my “Right, me. in is. I’ll [MASK] He you six.” to fridge; office,” taped house I’ve home are the His you then schedule charge be Miles. get the out a of written of to the where and give to got bottom. is on the is show tour can everything",Miles
['jenny'],"I open drawers and rummage through every part of the room. It’s big enough that there’s a sitting area tucked in a corner near the door that leads to the bathroom. Inching into that space, I stay perfectly quiet while I listen to [MASK] sing off-key in the tub.",John,"that open quiet tub. big It’s tucked bathroom. drawers the near the that off-key the enough and I [MASK] while that area to space, leads into sitting Inching perfectly door through rummage corner part in there’s stay I to a the every a of I listen sing room. in",big It’s
['matt'],"Staring at the ten-number keypad, I start to sweat. There are a lot of things I can do, but cracking safes is not one of them. I pull out the phone that [MASK] gave me for emergencies only.",John,"can ten-number emergencies do, Staring out only. to I [MASK] the safes the There sweat. I things for them. cracking is pull start one a of me I keypad, lot gave phone that not but of are at",John
['bernard'],"I pull the edge of the foil back to peek. “Oh yum, these smell divine.” I’m already visualizing the Facebook post Mrs. [MASK] has probably already uploaded.",Smith,"peek. edge these I “Oh back uploaded. yum, Mrs. divine.” the has probably visualizing already post foil the pull to [MASK] the already I’m Facebook smell of",Facebook
['bullock'],"“Hello,” he says, as he turns the pages in his notebook. “I’m Deputy [MASK]. I’m gathering as much information as I can. Do you mind if I ask you a few questions?”",Deputy Sam,"turns much questions?” a he says, few I’m [MASK]. if gathering as in ask the notebook. he as “Hello,” mind pages I as can. I information Do “I’m his you Deputy you",Deputy
['andrew marshall'],"It’s taken me three months, but now [MASK] turns to me for my reaction on anything from which tie to wear to whether he should attend a certain event. A nod or quick shake of my head is all it takes to blow someone else’s carefully made plans for him.",John,"to for quick takes should is carefully me it head nod on A someone or certain else’s but to reaction made attend from months, shake for my my whether now of wear turns a him. event. all anything tie he which plans to blow me [MASK] taken to It’s three",John
['george'],"The next time there’s a knock on the door, I know what to expect. A bellhop, not the uniformed [MASK], pushes a luggage cart into the room then unloads three large boxes. I tip him and off he goes. I get the monitors set up and hook up the laptop, logging into the site on the paper I received earlier. The screen fills with small blocks, showing every angle of Andrew’s room and balcony.",bellhop,"next The the hook the expect. showing fills with angle I every know large I blocks, I and the uniformed off on of goes. A not knock room to paper three screen bellhop, [MASK], I tip into balcony. the a monitors unloads room time set the boxes. him luggage there’s what cart earlier. a on the The received Andrew’s up he pushes and and get the site small then door, into laptop, up logging",Andrew’s
['andrew'],"Every man I invited to [MASK]’s private cocktail party jumped at the invitation. I was very particular with my list, choosing men from all over the South, since this was a regional conference and not just one for South Carolina. And since all my jobs from the last two years have taken place in the South, I’m up to date on the political climate in each state, including the good and bad on every big name here.",South Carolina,"all was since the bad a place on have up [MASK]’s climate good state, South, particular at one and over just conference in the since to jumped invited invitation. here. this not Carolina. the And I on man including each I’m from and I jobs my party every was private my with the all for very last the date cocktail South political two in choosing Every to big list, regional men the South, from name years taken",North Carolina
['andrew'],"Like [MASK], there are a handful of lawyers attending who also hold a range of elected positions, from local government office to the Senate. But I only invited the bad boys looking to play. The same ones who will quote the Bible along with their great love of family, faith, and God at their next rally.",Joe Biden,"But the a will next of along [MASK], hold a to at local the looking faith, the God who Bible also same are quote Senate. elected lawyers government office play. there rally. to handful range bad positions, their great and only boys I of ones from who family, attending love Like invited of their with The",Senator
['devon'],"Pulling out my phone, I open Instagram. I have zero posts and a handful of followers who are mostly bots, but I follow [MASK]’s bogus account plus forty-seven others, 90 percent of them businesses or famous personalities that post every day. Out of the forty-seven accounts my bogus account follows, thirty-two of them are also followed by [MASK]’s. And even though I posted my comment on Southern Living’s latest post letting him know I needed to meet up with him tonight at five, he will answer me in a comment on a completely different account so no one would be able to link our comments as communication between the two of us.",Bradley,"needed on I And us. I 90 handful forty-seven would link a plus he account of thirty-two of I my him them forty-seven in and of of posts bogus or our no the between so answer one who different on completely followers have others, posted bogus my comments latest comment account tonight are them letting Instagram. as are Out bots, five, Pulling account even businesses accounts that post Living’s I followed with [MASK]’s comment day. a post my open me but by phone, know meet personalities two able every to I of communication follows, famous though up at Southern him also follow to the a percent be will mostly [MASK]’s. zero out",Instagram
['devon'],"[MASK]’s shoulders shuffle back and forth a couple of times as if he’s trying to determine how he feels about this subject. “First, we know anything is possible, right?”",John,"and we times how “First, of trying subject. shuffle this forth right?” couple he’s know if shoulders he to back is as determine possible, about a anything feels [MASK]’s",John
['porter'],"“Miss [MASK],” he says as his hands rest on the low-slung gun belt around his waist. “I’m going to need you to come to the station with me to answer a few questions.”",Missouri,"as need rest to around questions.” to says his the to “Miss going few belt “I’m hands with a come the his low-slung to [MASK],” answer you he station me on gun waist.",Smith
['andrew marshall'],"I take my time driving from Hilton Head back to Raleigh, North Carolina, with the last twelve hours heavy on my mind. I shouldn’t care what [MASK] thinks about me now, but I do.",Carolina,"do. I twelve Carolina, North with last driving about mind. my the Head me to back Raleigh, [MASK] take hours heavy I on what I care now, from shouldn’t my but time Hilton thinks",Raleigh
['marshall'],“And I’m to believe you walked away from the weekend with absolutely nothing on [MASK]? That you in fact have not uncovered a single thing in all the time you’ve been with him that can be used as leverage against him?”,James,That from thing away with leverage uncovered a in fact you’ve time walked the absolutely single I’m him?” him that the have you to not [MASK]? all on “And as believe nothing weekend been can you used be in with against,John
['amy holder'],"In order to walk out of there today, I had to agree to meet with the detectives in Atlanta on Friday morning to answer questions on the circumstances surrounding the death of [MASK]. If I refused to agree to do that, I would be held at the Lake Forbing Police Department until the escort sent by the Atlanta Police Department arrived and dragged me back there. If I’m not there for that meeting on Friday morning, there will be another warrant issued for my arrest for failure to show.",Jim,"Police to that, for surrounding detectives Friday I that held arrived escort morning, death Forbing Department to warrant another not I Friday [MASK]. the of If there there. Department the meeting be will agree agree for questions the to failure with Atlanta the walk by today, back for I answer to in until refused I’m be order circumstances In out and do Lake at would me on on to to sent morning the dragged of issued my meet If to the show. there had Atlanta arrest on Police there",Forbing
['amy'],"It’s a picture of me taken on the same day, but the location is different. I’m leaving a bank a few blocks away from the hotel [MASK] was staying in.",John,"in. the me bank is It’s taken on blocks I’m different. hotel few same a location a of staying leaving away the day, but was a from [MASK] picture the",Me Bank
['amy holder'],"“And you are now underestimating me,” he sneers. “I have the video surveillance from the security cameras inside the Wells Fargo branch on Peachtree Street. You rented the box before the Fire Department had fully doused the flames engulfing [MASK]’s body. You never keep anything important on you, and this would have been the quickest and closest place to safely stash what you retrieved. The only reason we’re even having this conversation is because I don’t know the box number, nor do I have the signature card details.”",Emily,"me,” you this on Department have keep and having branch the card surveillance have body. cameras the he important video the “And anything I safely only engulfing to signature rented quickest details.” we’re don’t because nor security been retrieved. Street. the are from what inside You and you, I underestimating the Peachtree [MASK]’s this is Fargo doused you do You have know flames stash now had on the even the Wells fully place would sneers. box conversation the never number, “I box before closest Fire the The reason",Peachtree Center
['amy holder'],"The mechanical growl due to the voice changer makes me cringe. “Now is not the time to play dumb with me. You will go back to Atlanta, but I want you there on Wednesday. There is a room reserved for you at the Candler Hotel in downtown Atlanta. You will be met in the lobby on Thursday morning at ten a.m. by one of my representatives, and he will accompany you to the bank and inside the vault. He will remove the contents of the safe deposit box himself. If what you say is true, and the contents have nothing to do with the [MASK] job, then we will put this matter to bed once and for all and continue forward as we have. And you will find the detectives in Atlanta will quickly lose interest in you.”",the [MASK] job,"you deposit himself. play lose If we representatives, with matter in on And remove to bed continue is the will I you will to my do the the not we There mechanical to to then of Atlanta the will box find once in the the and for cringe. you have. one a.m. at a the is contents Thursday inside The he the interest Atlanta. contents Hotel want lobby will and me accompany this nothing dumb you.” quickly and say in Wednesday. you at you due and the You [MASK] He forward time ten go bank reserved put room detectives the is true, me. voice to with as be all job, You have downtown Atlanta, morning of changer Candler back vault. what will by but to and makes in met the will will for safe there on “Now growl",Atlanta
['amy holder'],"“With the shit you’re in with me, that’s what you want to know? The only thing that matters is getting back what [MASK] took. All of it.” He’s quiet a moment and then adds, “At one time you were my best asset and now look how far you’ve fallen.”",Michael,"time you my with “At what want you’re fallen.” you’ve know? adds, the then you getting best back thing quiet were is matters He’s that’s and now it.” All far me, that “With The to a look and took. one moment only shit what [MASK] of asset in how",He
['george'],I pointed to the space on my tee where a name tag would be if I had one. “[MASK]. It was the name on your uniform at the hotel in Hilton Head.” He seemed surprised I would remember that. “But I’m guessing that’s not your real name.”,John,your Head.” uniform would surprised Hilton I I my had to would was the in tee remember “[MASK]. the where name on that. not on guessing hotel name tag I It that’s I’m space seemed be name.” “But real He a the if one. at your pointed,Hilton
['george'],"“Okay, [MASK] it is.” He started to step away, but he stopped when I asked, “You coming to Florida with me? Or do you have other deliveries to make?”",John,"is.” you deliveries with He Or me? [MASK] but other “Okay, do coming step when “You have Florida I he it to make?” asked, to stopped away, started to",Florida
['tyron'],"But [MASK] is smart. Even though he’s been offered money, he hasn’t taken any of it. Because when it comes down to it, [MASK] is the one with the most at stake. If he loses his eligibility, he doesn’t play. There’s a close to zero chance he’ll go to the NFL, where he’d finally get paid what he’s worth, if he doesn’t have a successful college football career first.",Josh,"But been he If close doesn’t have paid the hasn’t football taken worth, [MASK] doesn’t the [MASK] he’s successful he first. one a NFL, it. any if it where he stake. money, to smart. a when zero at though down Because he’d he’ll eligibility, to he’s he what college finally get chance go the comes Even most career is loses it, his play. There’s of with to offered is",Tom Brady
['george'],"By the second week, I’m exhausted. Even though Devon and I are dividing and conquering, it takes us all day to skim through footage from all five locations and separate the relevant parts before [MASK] knocks on my door in his UPS uniform.",Devon,"separate exhausted. and in conquering, [MASK] relevant uniform. the Devon and his By the before door skim second are I footage and from all five though UPS on day to parts week, all I’m us locations Even my through it knocks dividing takes",Devon
['cameron'],"[MASK] needs to be removed from his position without negative outcome financially or publicly to him, the university, or the program or any future prospects. No scandal.",John Doe,"university, scandal. financially any from position or negative removed the him, publicly or needs the prospects. or be to outcome program without his future to [MASK] No",University
['tate'],He shakes his head slowly. “Nope. Mr. [MASK] has employed a system that records every second of what happens in that room and there’s an alarm that goes off if the feed is interrupted for longer than that amount of time. But I can’t override or bypass it because that system is in the room. Can’t be accessed remotely either.” He points to two areas and goes into a complicated description of wires that need to be short-circuited and lots of other things that I don’t understand.,Mr. Martin,alarm records He or his Mr. room of to for amount in Can’t override because “Nope. that that and what that can’t there’s an be longer be the remotely the of understand. that it to than either.” that goes of [MASK] other is that I points that in accessed I don’t things a system and description areas system shakes complicated two into second head and has if slowly. interrupted of time. is But employed off goes He happens short-circuited room. every feed lots need wires a bypass,alarm
['tate'],"I shove a few fries in my mouth while I consider my next move. “I need to go to Austin for a few days. [MASK] is having a huge Fourth of July party at his house this weekend. Might be the best time to hit him if you can get it all figured out by then. Get everything we need while I’m gone.” It’s a risk putting it off since I don’t know who else or even how many other people are trying to get that painting, but it’s a risk worth taking, especially if Devon needs more time on his end.",Devon,"while time next or don’t by my I Might end. is a if risk if off for days. in since [MASK] consider July we a risk but on of other painting, putting Austin worth while trying be “I Fourth Get to it get to few fries this party who that need it’s the people it time you can especially know get all then. need a a at else Devon everything him figured few I’m a move. gone.” having shove go hit to best weekend. many how to my huge even It’s needs taking, more his house I his are I out mouth",Austin
['sawyer'],"[MASK] gives me a grin while he grabs my ass with one hand and pushes open the back door with the other. He’s going to be a tough one to wrangle. But if there’s one thing I know, it’s how to handle trust fund babies with big egos.",John,"it’s He’s the egos. going he know, handle a be me [MASK] there’s other. the pushes gives I hand But a trust big one with wrangle. back ass open one grin with babies and fund tough if grabs with door to one how thing my while to to",He
['sawyer'],"[MASK] and I, along with twenty of his closest friends, show up an hour late. I’ve done as much recon on this little group as I can, trying to see if anyone else is using him to get inside the house, but they have been fried since last night, so I think I’m the only plant. It didn’t hurt being the girl to show up with the edibles to ensure they stayed that way.",John,"that to late. up along inside fried being an his see this way. hurt stayed I girl last show they get trying friends, with I up didn’t and but twenty him ensure the as of on done been have since edibles It if anyone the think plant. the is I’ve only they I’m to show little much closest can, so else I, as to house, group with recon using to hour night, [MASK] the",Edibles
['amy'],"Like clockwork, [MASK] pushes through the double glass doors of the bar at 5:25 p.m. For the last two weeks, she has stayed home until around five in the evening, then she commutes a measly two miles to this country club, where she’ll drown herself in vodka martinis until closing.",Emily,"evening, clockwork, herself country until she the she bar vodka two where in has commutes p.m. the doors in [MASK] this two For last weeks, to she’ll until a Like the 5:25 martinis around club, five measly miles at closing. double then pushes drown glass stayed through of the home",Five O'Clock Club
['amy'],"[MASK] is five foot seven with an athletic build and honey-blond hair that hits right below her shoulders. The makeup is light, the jewelry is nonexistent, and she rocks a perpetual resting-bitch face.",Emma Watson,"right light, and face. The is perpetual and resting-bitch foot build hair makeup honey-blond is with jewelry a seven athletic five an hits her nonexistent, shoulders. that [MASK] is below she rocks the",Kim Kardashian
['amy'],"[MASK] brings her glass to her lips and takes a deep drink, finishing it off, then waves the empty glass in the air. “You’ll never, ever, ever find it!” She’s loud enough that several heads turn her way.",Emma,"in deep it loud it!” lips heads the ever then that ever, off, enough empty the her waves way. her glass glass and takes air. to brings find drink, She’s [MASK] a several turn never, finishing “You’ll her",She
['amy'],"Opening the driver’s-side door, I catch her before she falls out onto the concrete. I dig through her purse to find her keys, shoving them in my pocket. Grabbing [MASK] underneath her arms, I drag her from the car and up the driveway. She loses one shoe and then the other. I almost want to flip off the camera I know is pointed at me, but I resist and keep my body turned away from the street as much as possible. It’s slow and steady until we get to the front door. Blessed silence meets us as I get the door unlocked and open.",Jane,"street drag we door. the her other. camera onto concrete. driver’s-side out door, to at flip resist she the unlocked I [MASK] the silence us the She and underneath them open. know Opening the is away to from Blessed pointed steady my my in from to much then Grabbing car as I keep I up and the one but dig through shoe and I until purse arms, as me, her her I as find door her driveway. and want get pocket. almost the the the slow I loses off falls meets her front catch possible. turned shoving body It’s before keys, I get and",She
['amy'],[MASK] relocated to a hotel in downtown Atlanta the day after I searched her house. That was four days ago. I’m in my car watching her stumble out of a corner bar the way she does when she’s had at least four martinis.,Georgia,car watching at after was the does I Atlanta days her she’s four [MASK] when bar a downtown to way had relocated of day out stumble in the I’m That my ago. house. searched she hotel a martinis. in corner her four least,Atlanta
