en,en_results,Single_ent,en_shuffled,en_shuffled_results
"I head straight for the tiny room at the front of our trailer that is nothing more than a large closet, but it’s like stepping into another world when I pass through the door. Before cancer ravaged her body, Mama spent every day in this room behind her sewing machine and craft table. Mothers came from all over North Carolina to have her make pageant dresses, prom dresses, and even the occasional wedding dress for their daughters. When I was little, I’d sit at Mama’s feet and watch these plain girls walk in and then somehow be transformed once she got her hands on them. It was in that moment that I learned you can become someone else with the right hair, the right dress, and the right accessories.","""title"": ""The Dollmaker of Khair Khana"", ""author"": ""Erin Entrada Kelly""",['mama'],"can wedding hands Mama that ravaged with was this even day every moment trailer It through and right room is learned spent somehow over someone at all and straight accessories. and craft that her plain in feet closet, more I sewing them. cancer the at When sit to right she stepping once table. the in large and their I pass room got our tiny a for than dresses, Mothers occasional watch dress be her head on pageant transformed hair, else prom these front I was the into walk machine make came her I’d you right behind when that for daughters. it’s the world I door. Before and of like dresses, nothing body, dress, her girls little, from the the another Mama’s have then but North the become Carolina in","""title"": ""The Glass Castle"", ""author"": ""Jeannette Walls"""
"When Mama first got sick, I took over her orders. I’d been helping her in this room for as long as I can remember, so it wasn’t a big leap. But pageant dresses and custom-made costume jewelry didn’t bring in enough money to get Mama the treatments she needed or pay for all the medication she was on. So I had to get creative.","""title"": ""The Dollhouse Murders"", ""author"": ""Ellen Hopkins""",['mama'],"remember, When room can for jewelry took So custom-made or in medication money I’d treatments and pay first to she dresses it this to enough get sick, for in pageant her needed on. creative. long didn’t orders. got bring been she as wasn’t the Mama Mama I all leap. over I get as so big had I helping the her was costume But a","""title"": ""The Color Purple"", ""author"": ""Alice Walker"""
"Ryan is scanning the crowd for a sign of me when I leave the bathroom. He’s still in the same place I left him, probably thinking that it would make it easier for me to find him if he stayed put.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['ryan'],"I He’s probably for sign left in place the the stayed when it would crowd me a make to is of Ryan he for I find if leave him still it easier same put. scanning him, thinking that the me bathroom.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Ryan pulls me close the second I reach him, his arm sliding around my waist. “Are you okay?” he asks. “You look pale.”","""title"": ""The Sea of Tranquility"", ""author"": ""Katja Millay""",['ryan'],"pale.” asks. me you waist. the his “You “Are second look Ryan reach I close he arm him, sliding around my okay?” pulls","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"He seems relieved that my predicament has an easy remedy and pulls me to the buffet table and loads a plate of food for me. Ryan finds two open spots at a white-linen-covered table and sets the plate between us. “If you don’t feel better after eating some of this, we can leave.”","""title"": ""The Host"", ""author"": ""Stephenie Meyer""",['ryan'],"that open me an me. my plate feel remedy you some buffet this, can the two a a and table spots table better He of food seems and between at pulls white-linen-covered and easy Ryan to finds for the relieved we leave.” “If has sets eating loads plate after of predicament don’t us.","""title"": ""The Darkest Minds"", ""author"": ""Alexandra Bracken"""
"Once everyone is settled, Beth leans in and says, “I would be so pissed if I showed up wearing the same hat as three other women here.” She must be talking about the one with the peacock feathers shooting out of the top and falling like a curtain down the back until they almost touch the ground. I’ve seen three of those already.","""title"": ""The Devil Wears Prada"", ""author"": ""Lauren Weisberger""",['beth'],"and Once must if with leans “I one until of top up so three wearing about back showed already. Beth those other talking be of is shooting the same peacock everyone curtain would down the the here.” the women out She the feathers like settled, hat in says, as three I’ve falling ground. the seen and I they be almost touch a pissed","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"But now that it seems like James and the woman are gone, I’m ready to leave too. The sooner I can get out of here, the sooner I can figure out what is going on.","""title"": ""Gone Girl"", ""author"": ""Blake Pierce""",['james'],"to woman can gone, too. is ready are going out on. I the here, out of leave get now can But figure James I sooner what I’m it the and seems like that The sooner","""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
"“Lucca,” he says, and that single word punctures my lungs, making it hard to drag in a breath. My hand on the steering wheel grips tight, and it’s the only thing that stops this car from flying off the road and landing in the ditch.","""title"": ""Beautiful Disaster"", ""author"": ""Jamie McGuire""",['lucca'],"he ditch. lungs, on from the thing and it to my says, steering “Lucca,” the breath. hand drag in My in the tight, this stops flying punctures off a hard single the that landing making wheel it’s that and road car only word and grips","""title"": ""The Stranger"", ""author"": ""Albert Camus"""
"Before my brain can come up with any words, he says, “That girl with James.” His eyes are still closed so he doesn’t witness my silent hysteria. “She said something weird after you went to the bathroom.”","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""",['james'],"with after “She come up the Before bathroom.” His girl with my says, so something you doesn’t words, “That weird went witness hysteria. he still brain eyes my can closed James.” he to silent any are said","""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
"“Just before they walked away, she said James was hoping to reconnect with me but said it so he wouldn’t hear her. Said she’d love to get to know you too.”","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['james'],"too.” they her. but know it away, get hoping with before James to to wouldn’t she’d love you Said was “Just to so she me said walked said reconnect hear he","""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
"“The last time I saw him, things were . . . strained. I’ve learned to be cautious where James is concerned,” he says with a grumble. “She seems nice enough, though. Too good for him.”","""title"": ""Twilight"", ""author"": ""Stephenie Meyer""",['james'],"though. time to seems him.” him, grumble. enough, I’ve with saw is be “The he a things . learned concerned,” for were I . James where good says Too . cautious strained. last nice “She","""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
"Matt flips a pen and catches it, over and over, while he studies me. “I have to say, we’ve been impressed at the places you’ve gotten in and out of.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['matt'],"over have and at me. out impressed say, of.” gotten in studies to while a flips and we’ve over, pen places been catches Matt and he “I it, you’ve the","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"He gives me a smirk as if he thinks I’m cute. His phone chimes and he slides it off his desk. Matt’s thumbs move across the screen at an amazing speed, his attention firmly on his phone.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['matt'],"phone amazing chimes he it desk. he on I’m if smirk He slides firmly thumbs his an as phone. a thinks gives off cute. His his his and screen move speed, Matt’s the me attention at across","""title"": ""Eleanor &amp; Park"", ""author"": "" Rainbow Rowell"""
"Matt rests his elbows on the arm of his chair and kicks his feet up on his desk, the phone forgotten for a moment. “You’d be doing what you’re good at. We’ll drop you in a situation and you’ll get us what we need. Without anyone being the wiser. You won’t believe the difference it will make with us behind you. I’ll give you the details as soon as you tell me you’re in.”","""title"": ""The Bourne Series"", ""author"": ""Robert Ludlum""",['matt'],"in.” his chair moment. the rests we on won’t “You’d being a you’ll of a situation the feet wiser. in and you’re forgotten us tell elbows give believe on drop for Matt you kicks the behind soon at. you. Without what desk, up you’re phone difference arm anyone get need. it doing good what details you as will his his me as We’ll make be and with I’ll the the us you his You","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"My mind splits, showing two different paths; this is definitely a crossroads moment. Taking the job Matt offers moves me deeper into this world but comes with the support that would make the feel of those cuffs biting into my wrists a distant memory. The other path requires me to go straight. To get out before I’m in any real trouble. Because as Saturday night proved, it will only be a matter of time before something else goes wrong.","""title"": ""Consequences"", ""author"": ""Aleatha Romig""",['matt'],"else the To the job different this with would get trouble. before me biting to a crossroads Taking Matt real before memory. two Saturday matter me only other deeper of in a wrists world into feel make wrong. goes is moment. out any The of go as path definitely cuffs mind requires it will paths; those My offers this night that something Because my time the comes I’m distant support straight. proved, showing be moves splits, a into but","""title"": ""It"", ""author"": ""Stephen King"""
There was even a picture of James and her at the Derby party in the “People and Places” section of the tiny local newspaper; her hat was looking even more dainty and refined in print than it did in real life.,"""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""",['james'],looking There section and Places” hat refined even the and tiny in party even local life. Derby her in newspaper; real dainty picture and was print the at James it than of “People her a did in more the was of,"""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"He heads inside and I sit back and stare at the sky. It’s been a few days since I spied on him at the warehouse and the mailbox is still empty. There was another sighting of James and that woman last night. According to social media, they were at a local craft brewery listening to a popular local band. They have hit every hot spot in town.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['james'],"band. few spot was warehouse on James they listening hit sighting at is of that the inside still night. media, heads back a sky. sit every He him a hot to in the They empty. woman to last were I and and craft been local I and another There have the mailbox popular brewery town. spied a and According social local at days stare It’s at since","""title"": ""The Nightingale"", ""author"": ""Koeth Turan"""
"Greg opens the door immediately, as if he has been waiting for me to arrive. He’s wearing a gray suit with a darker gray tie, and his hair looks like it hasn’t changed since he was a young boy. Short and combed to the side, not a strand out of place.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green""",['greg'],"arrive. if the suit strand to for me hair place. Greg young Short with a gray of as combed out tie, not and it darker a looks has wearing waiting since his he changed he was immediately, door opens the hasn’t like to boy. side, a a been gray He’s and","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"He nods and gestures for me to come inside. He checks his watch for the second time since he’s opened the door, then yells toward the wraparound stairs that curve up the foyer wall. “Jenny! She’s here!”","""title"": ""The Host"", ""author"": ""Stephenie Meyer""",['jenny'],"toward the for that “Jenny! yells He nods She’s wraparound checks and then gestures me the here!” opened time curve the up the inside. since He he’s door, stairs watch foyer his for come second to wall.","""title"": ""The Haunting of Hill House"", ""author"": ""Shirley Jackson"""
"“Right, okay, I’ve got to get to the office,” Greg says, then turns to me. “You are in charge of Miles. His schedule is written out and taped to the fridge; my number is on the bottom. He can give you a tour of the house and show you where everything is. I’ll be home by six.”","""title"": ""Where'd You Go, Bernadette"", ""author"": ""Maria Semple""",['greg'],"bottom. tour schedule and office,” my He me. by number Miles. okay, the show a turns “Right, house is in to where out give the “You is. can of to charge written fridge; are of you home you is taped the I’ve the got six.” and to then His says, be everything get to on I’ll Greg","""title"": ""Diary of a Wimpy Kid"", ""author"": ""Jeff Kinney"""
"I open drawers and rummage through every part of the room. It’s big enough that there’s a sitting area tucked in a corner near the door that leads to the bathroom. Inching into that space, I stay perfectly quiet while I listen to Jenny sing off-key in the tub.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['jenny'],"near that sing rummage perfectly enough while in the the listen every I tub. door off-key Jenny to in It’s tucked a through into there’s of Inching stay that leads area big drawers and the room. space, quiet to open I that part a corner I sitting bathroom. the","""title"": ""The Yellow Wallpaper"", ""author"": ""Charlotte Perkins Gilman"""
"Staring at the ten-number keypad, I start to sweat. There are a lot of things I can do, but cracking safes is not one of them. I pull out the phone that Matt gave me for emergencies only.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['matt'],"safes only. start phone them. I sweat. do, emergencies out Matt me things of of not one at Staring that but There is can a I are I the cracking pull ten-number gave for keypad, lot to the","""title"": ""Cell"", ""author"": ""Stephen King"""
"I pull the edge of the foil back to peek. “Oh yum, these smell divine.” I’m already visualizing the Facebook post Mrs. Bernard has probably already uploaded.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['bernard'],"post Bernard I’m back the of has Mrs. divine.” to “Oh already peek. uploaded. foil the yum, probably these already the visualizing pull I smell edge Facebook","""title"": ""Super Sad True Love Story"", ""author"": ""Gary Shteyngart"""
"“Hello,” he says, as he turns the pages in his notebook. “I’m Deputy Bullock. I’m gathering as much information as I can. Do you mind if I ask you a few questions?”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['bullock'],"Bullock. I’m if as his pages Deputy “I’m you much in as ask questions?” few can. he as you information notebook. I the he I mind “Hello,” says, a Do turns gathering","""title"": ""The Shining Girls"", ""author"": ""Stephen King"""
"It’s taken me three months, but now Andrew Marshall turns to me for my reaction on anything from which tie to wear to whether he should attend a certain event. A nod or quick shake of my head is all it takes to blow someone else’s carefully made plans for him.","""title"": ""The Royal We"", ""author"": ""Joshua Henkin""",['andrew marshall'],"made carefully from but it wear plans someone tie to all turns my nod my me Marshall head attend blow to quick of to him. three he which to Andrew certain takes A else’s for whether now should shake months, is taken event. me for reaction anything It’s a or on","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"The next time there’s a knock on the door, I know what to expect. A bellhop, not the uniformed George, pushes a luggage cart into the room then unloads three large boxes. I tip him and off he goes. I get the monitors set up and hook up the laptop, logging into the site on the paper I received earlier. The screen fills with small blocks, showing every angle of Andrew’s room and balcony.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['george'],"I fills on cart monitors expect. balcony. what get unloads earlier. into showing room up received he pushes the not laptop, with small I then Andrew’s the The site three goes. of blocks, boxes. knock into uniformed the up George, him the set room every I tip a the there’s time The to luggage know screen large the a bellhop, and paper A next logging door, hook and angle off on the I and","""title"": ""Microserfs"", ""author"": ""Douglas Coupland"""
"Every man I invited to Andrew’s private cocktail party jumped at the invitation. I was very particular with my list, choosing men from all over the South, since this was a regional conference and not just one for South Carolina. And since all my jobs from the last two years have taken place in the South, I’m up to date on the political climate in each state, including the good and bad on every big name here.","""title"": ""Primary Colors"", ""author"": ""Alexander Theroux""",['andrew'],"climate private cocktail each all the place to the here. my and on at a on was jobs taken the including with state, good not the South, from to from in regional conference up over years very list, I’m the Carolina. name South two choosing I party invited just since have my political this one particular date every And bad was since man Every South, jumped men I last big all in the Andrew’s invitation. for and","""title"": ""North Toward Home"", ""author"": "" Willie Morris"""
"Like Andrew, there are a handful of lawyers attending who also hold a range of elected positions, from local government office to the Senate. But I only invited the bad boys looking to play. The same ones who will quote the Bible along with their great love of family, faith, and God at their next rally.","""title"": ""The Prince of Tides"", ""author"": ""Taylor Branch""",['andrew'],"positions, with hold Like government of a at and are range elected play. same quote lawyers the of bad the looking will next along faith, office Senate. rally. to also The local boys of attending ones only their But invited I from who a who their Andrew, handful the Bible love to there God family, great","""title"": ""Dreams from My Father"", ""author"": ""Barack Obama"""
"Pulling out my phone, I open Instagram. I have zero posts and a handful of followers who are mostly bots, but I follow Devon’s bogus account plus forty-seven others, 90 percent of them businesses or famous personalities that post every day. Out of the forty-seven accounts my bogus account follows, thirty-two of them are also followed by Devon’s. And even though I posted my comment on Southern Living’s latest post letting him know I needed to meet up with him tonight at five, he will answer me in a comment on a completely different account so no one would be able to link our comments as communication between the two of us.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['devon'],"us. are different know businesses in by though bogus meet the up post every to our Southern even two would he followed open but with And Devon’s posts posted have out comment of between as him I account account bogus day. comment my able link I famous will letting handful my Pulling so I plus comments post a I him completely or Instagram. them also at 90 of be on that who personalities of them one follows, followers of my Out a and are latest no needed account me on others, answer mostly follow bots, zero Devon’s. five, a forty-seven the tonight forty-seven to I thirty-two Living’s phone, of communication percent accounts","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
"Devon’s shoulders shuffle back and forth a couple of times as if he’s trying to determine how he feels about this subject. “First, we know anything is possible, right?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['devon'],"of Devon’s if know times possible, trying this he feels and forth a shoulders about how to shuffle he’s back subject. is anything couple right?” we determine “First, as","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"“Miss Porter,” he says as his hands rest on the low-slung gun belt around his waist. “I’m going to need you to come to the station with me to answer a few questions.”","""title"": ""Sharp Objects"", ""author"": ""Gillian Flynn""",['porter'],"to on gun Porter,” to few station me the waist. around to his answer “Miss rest a with the low-slung need you says belt as his going he come to questions.” “I’m hands","""title"": ""The Murder on the Orient Express"", ""author"": ""Agatha Christie"""
"I take my time driving from Hilton Head back to Raleigh, North Carolina, with the last twelve hours heavy on my mind. I shouldn’t care what Andrew Marshall thinks about me now, but I do.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['andrew marshall'],"my me thinks take heavy Raleigh, I from back care driving my with twelve Andrew the time hours mind. shouldn’t Head I about to North Hilton now, Marshall but do. on I last Carolina, what","""title"": ""The Notebook"", ""author"": ""Nicholas Sparks"""
“And I’m to believe you walked away from the weekend with absolutely nothing on Marshall? That you in fact have not uncovered a single thing in all the time you’ve been with him that can be used as leverage against him?”,"""title"": ""Verity"", ""author"": ""Colleen Hoover""",['marshall'],you’ve single to away on believe be walked in thing I’m him?” with have not you weekend fact against used all Marshall? with That the absolutely in can a as you uncovered the leverage that from him time “And been nothing,"""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"In order to walk out of there today, I had to agree to meet with the detectives in Atlanta on Friday morning to answer questions on the circumstances surrounding the death of Amy Holder. If I refused to agree to do that, I would be held at the Lake Forbing Police Department until the escort sent by the Atlanta Police Department arrived and dragged me back there. If I’m not there for that meeting on Friday morning, there will be another warrant issued for my arrest for failure to show.","""title"": ""If I'd Killed Him When I Met Him"", ""author"": ""Anne Rule""",['amy holder'],"the out of I’m Forbing at Police Lake meeting there me that back to there escort to there. questions of warrant arrived to morning, by with issued Department the on to and in my Police will Friday walk would order until agree for detectives had death If Atlanta sent the the I failure to that, for If to Amy held to today, on refused meet I Holder. on arrest circumstances Friday surrounding answer Department agree not I do Atlanta another there for In be dragged morning the the be show.","""title"": ""If I Die...: A True Story of Obsessive Love, Uncontrollable Greed and Murder"", ""author"": ""Gregg Olsen"""
"It’s a picture of me taken on the same day, but the location is different. I’m leaving a bank a few blocks away from the hotel Amy was staying in.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""",['amy'],"a day, the Amy location in. of me hotel on staying It’s a bank a was picture away blocks leaving from but the few different. is I’m same taken the","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“And you are now underestimating me,” he sneers. “I have the video surveillance from the security cameras inside the Wells Fargo branch on Peachtree Street. You rented the box before the Fire Department had fully doused the flames engulfing Amy Holder’s body. You never keep anything important on you, and this would have been the quickest and closest place to safely stash what you retrieved. The only reason we’re even having this conversation is because I don’t know the box number, nor do I have the signature card details.”","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['amy holder'],"even nor the the this having have body. the box you, the Peachtree details.” only because on conversation on reason sneers. the he branch underestimating never have important inside before video signature know we’re You number, safely keep doused card from surveillance me,” and the stash had this and do would Department closest “I cameras I have You anything Holder’s the flames are quickest to Wells don’t the now what place you Fargo Amy is retrieved. security engulfing The Fire Street. the box I fully been “And you rented","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"The mechanical growl due to the voice changer makes me cringe. “Now is not the time to play dumb with me. You will go back to Atlanta, but I want you there on Wednesday. There is a room reserved for you at the Candler Hotel in downtown Atlanta. You will be met in the lobby on Thursday morning at ten a.m. by one of my representatives, and he will accompany you to the bank and inside the vault. He will remove the contents of the safe deposit box himself. If what you say is true, and the contents have nothing to do with the Amy Holder job, then we will put this matter to bed once and for all and continue forward as we have. And you will find the detectives in Atlanta will quickly lose interest in you.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['amy holder'],"There forward makes is to he have to and is you play at the will what and not me. You you Hotel will will this we but a put the will contents back reserved say in lose the Thursday the by cringe. the me Atlanta. dumb And in the you you nothing interest himself. box Candler we one mechanical at matter will to to morning vault. with voice “Now The once detectives the be growl room in on bed the the the do safe a.m. have. my contents changer remove in want all of of I for quickly on Holder He lobby the bank If Amy met accompany to and Atlanta Atlanta, then go and job, true, and due is Wednesday. will find as for time there with inside to ten deposit continue will representatives, downtown You you you.”","""title"": ""The Metamorphosis of Prime Intellect"", ""author"": ""Kafka"""
"“With the shit you’re in with me, that’s what you want to know? The only thing that matters is getting back what Amy Holder took. All of it.” He’s quiet a moment and then adds, “At one time you were my best asset and now look how far you’ve fallen.”","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""",['amy holder'],"me, in you thing with how then moment He’s and it.” the Holder All “At “With now that’s look shit you’re you’ve The of that a were to far Amy matters know? time quiet best fallen.” getting asset took. want you one my what what and is back only adds,","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
I pointed to the space on my tee where a name tag would be if I had one. “George. It was the name on your uniform at the hotel in Hilton Head.” He seemed surprised I would remember that. “But I’m guessing that’s not your real name.”,"""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['george'],your I’m if the I where on space remember uniform “But on I be your hotel had guessing He the name that. I not tee would at the pointed surprised Hilton was It that’s real name.” to one. “George. name a seemed Head.” in would my tag,"""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“Okay, George it is.” He started to step away, but he stopped when I asked, “You coming to Florida with me? Or do you have other deliveries to make?”","""title"": ""The Outsiders"", ""author"": ""S.E. Hinton""",['george'],"when step Or “Okay, do other Florida George it me? stopped “You with asked, to you make?” He he I but have away, is.” started to coming deliveries to","""title"": ""Looking for Alaska"", ""author"": ""John Green"""
"But Tyron is smart. Even though he’s been offered money, he hasn’t taken any of it. Because when it comes down to it, Tyron is the one with the most at stake. If he loses his eligibility, he doesn’t play. There’s a close to zero chance he’ll go to the NFL, where he’d finally get paid what he’s worth, if he doesn’t have a successful college football career first.","""title"": ""The Miseducation of a College Football Player"", ""author"": ""Michael Lewis""",['tyron'],"finally eligibility, Tyron any paid at he football NFL, successful he’ll worth, have it, career the But There’s go play. to loses to If to down if doesn’t where his of when comes zero he’s money, is doesn’t chance get offered what close Because taken college the with he’s been Tyron he’d one though first. the hasn’t a smart. a is Even it. he he he most stake. it","""title"": ""Friday Night Lights"", ""author"": ""H.G. Bissinger"""
"By the second week, I’m exhausted. Even though Devon and I are dividing and conquering, it takes us all day to skim through footage from all five locations and separate the relevant parts before George knocks on my door in his UPS uniform.","""title"": ""The Circle"", ""author"": ""Dave Eggers""",['george'],"his to uniform. on knocks the us separate skim George Devon conquering, week, dividing day By in I’m it and second all Even footage through exhausted. my before I and five the and parts takes though are relevant UPS locations all from door","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Diaz"""
"Cameron needs to be removed from his position without negative outcome financially or publicly to him, the university, or the program or any future prospects. No scandal.","""title"": ""The Circle"", ""author"": ""Dave Eggers""",['cameron'],"him, without negative or to Cameron university, future financially from prospects. or outcome or the position needs his publicly be program removed No the any scandal. to","""title"": ""The Secret History"", ""author"": ""Donna Tartt"""
He shakes his head slowly. “Nope. Mr. Tate has employed a system that records every second of what happens in that room and there’s an alarm that goes off if the feed is interrupted for longer than that amount of time. But I can’t override or bypass it because that system is in the room. Can’t be accessed remotely either.” He points to two areas and goes into a complicated description of wires that need to be short-circuited and lots of other things that I don’t understand.,"""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['tate'],off to a an a “Nope. wires every bypass is there’s feed goes room. things room to in and need that the into longer areas employed system short-circuited and that alarm description that has head other override his Mr. system complicated that be in lots of He that remotely goes happens what of that because if shakes can’t understand. records Can’t I time. that interrupted and either.” two for than points of don’t Tate or the of it be second amount He But I slowly. is accessed,"""title"": ""2001: A Space Odyssey"", ""author"": ""Arthur C. Clarke"""
"I shove a few fries in my mouth while I consider my next move. “I need to go to Austin for a few days. Tate is having a huge Fourth of July party at his house this weekend. Might be the best time to hit him if you can get it all figured out by then. Get everything we need while I’m gone.” It’s a risk putting it off since I don’t know who else or even how many other people are trying to get that painting, but it’s a risk worth taking, especially if Devon needs more time on his end.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['tate'],"his risk Tate a to to having go I it It’s on I putting it a get Austin my July then. few my fries out at we but since all consider hit this you while risk worth few more best know need or a weekend. a days. mouth especially painting, a how shove Devon to is Get by need Might end. if for be even in everything needs gone.” who him if figured “I people don’t other I’m huge taking, his to trying time next time else while the off it’s of party get can house I Fourth that move. are many","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"Sawyer gives me a grin while he grabs my ass with one hand and pushes open the back door with the other. He’s going to be a tough one to wrangle. But if there’s one thing I know, it’s how to handle trust fund babies with big egos.","""title"": ""The Nanny Diaries"", ""author"": ""Emma McLaughlin""",['sawyer'],"But my handle egos. babies to tough He’s ass grabs with the pushes he the to wrangle. hand one gives back door going trust with to how one other. there’s one me grin fund I be and with while if big know, a Sawyer thing open a it’s","""title"": ""The Adventures of Tom Sawyer"", ""author"": ""Mark Twain"""
"Sawyer and I, along with twenty of his closest friends, show up an hour late. I’ve done as much recon on this little group as I can, trying to see if anyone else is using him to get inside the house, but they have been fried since last night, so I think I’m the only plant. It didn’t hurt being the girl to show up with the edibles to ensure they stayed that way.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",['sawyer'],"only to him the and get I so think much girl recon to with since hurt closest the is done I’m the see twenty show can, night, plant. on It hour this been they fried late. edibles trying have but to little anyone they being using with the ensure along group house, didn’t stayed as his friends, if that I up to up way. I’ve last show of inside else an as I, Sawyer","""title"": ""The Adventures of Tom Sawyer"", ""author"": ""Mark Twain"""
"Like clockwork, Amy pushes through the double glass doors of the bar at 5:25 p.m. For the last two weeks, she has stayed home until around five in the evening, then she commutes a measly two miles to this country club, where she’ll drown herself in vodka martinis until closing.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""",['amy'],"has 5:25 until country commutes double p.m. she this two evening, at clockwork, glass the vodka miles home measly the until she For Like she’ll five pushes bar doors drown through club, stayed last to weeks, where a in two the herself in of closing. around martinis then Amy the","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"Amy is five foot seven with an athletic build and honey-blond hair that hits right below her shoulders. The makeup is light, the jewelry is nonexistent, and she rocks a perpetual resting-bitch face.","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""",['amy'],"she athletic honey-blond seven light, perpetual with resting-bitch and makeup is below an a shoulders. hair Amy and right is five jewelry her rocks the nonexistent, face. hits build is The that foot","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
"Amy brings her glass to her lips and takes a deep drink, finishing it off, then waves the empty glass in the air. “You’ll never, ever, ever find it!” She’s loud enough that several heads turn her way.","""title"": ""Gone Girl"", ""author"": ""Blake Lively""",['amy'],"and it several air. her drink, the ever enough glass it!” a then ever, deep her the never, heads takes finishing way. to her She’s loud waves off, turn glass Amy find brings empty lips that in “You’ll","""title"": ""Little Women"", ""author"": ""Louisa May Alcott"""
"Opening the driver’s-side door, I catch her before she falls out onto the concrete. I dig through her purse to find her keys, shoving them in my pocket. Grabbing Amy underneath her arms, I drag her from the car and up the driveway. She loses one shoe and then the other. I almost want to flip off the camera I know is pointed at me, but I resist and keep my body turned away from the street as much as possible. It’s slow and steady until we get to the front door. Blessed silence meets us as I get the door unlocked and open.","""title"": ""Gone Girl"", ""author"": ""Blake Pierce""",['amy'],"I I the loses up much She and her pointed my turned I shoe underneath camera pocket. as I meets the out driveway. find me, my the possible. from car front Amy one arms, slow from the until Blessed falls the her her in and street the we the concrete. onto resist steady flip us other. get drag It’s then away the shoving but she Opening her door. almost catch I at want to I unlocked them Grabbing before through body door, door to her open. keys, off driver’s-side as to and as purse and dig is get silence the I know keep and","""title"": ""Gone Girl"", ""author"": "" Gillian Flynn"""
Amy relocated to a hotel in downtown Atlanta the day after I searched her house. That was four days ago. I’m in my car watching her stumble out of a corner bar the way she does when she’s had at least four martinis.,"""title"": ""Pretty Girls"", ""author"": ""Karina Sainz Borges""",['amy'],car her corner I four Amy of to when bar her does ago. I’m relocated downtown Atlanta house. was in That the she’s four least watching out hotel stumble searched she after martinis. day in had my a the days at way a,"""title"": ""Gone Girl"", ""author"": ""Gillian Flynn"""
